scanner,symbol,alert_id,setup_id,decision_timestamp,decision_date,semantic_type,close_price,entry_price,stop_price,target_price,risk_distance,target_distance,rr_ratio,rsi,sma50,sma200,volume,sector_status,replay_status,data_quality_status,invalid_reason,is_production_valid_replay,gross_realized_R,net_realized_R,MFE_R,MAE_R,t1_hit,dataset_version
EOD,RELIANCE,RELIANCE_2026-08-19_EOD_0,RELIANCE_2026-08-19_EOD,2026-08-19 08:57:38 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1254.8,1254.8,1214.0,1378.0,40.8,123.2,3.02,64.31,1198.43,1094.27,1523400.0,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,1.15,1.1,2.2,0.3,True,1.0.0_REPAIRED
REVERSAL,XYZ_REJECT,XYZ_REJECT_2026-08-19_REVERSAL_1,XYZ_REJECT_2026-08-19_REVERSAL,2026-08-19 08:57:38 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,245.3,245.3,0.0,0.0,245.3,245.3,2.0,,,,,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_PRICE,UNINITIALIZED_TARGET,Target price uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,MCX,MCX_2026-08-19_EOD_2,MCX_2026-08-19_EOD,2026-08-19 08:58:09 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3040.0,3040.0,2898.67,3040.0,141.3309,0.0,2.0,65.9,2804.46,2556.97,3187586.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,BALUFORGE,BALUFORGE_2026-08-19_EOD_3,BALUFORGE_2026-08-19_EOD,2026-08-19 08:58:14 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,542.55,542.55,512.51,542.55,30.0437,0.0,2.0,74.44,454.88,499.45,4047514.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,RELIANCE,RELIANCE_2026-08-19_EOD_4,RELIANCE_2026-08-19_EOD,2026-08-19 08:59:14 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1254.8,1254.8,1214.0,1378.0,40.8,123.2,3.02,64.31,1198.43,1094.27,1523400.0,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,1.15,1.1,2.2,0.3,True,1.0.0_REPAIRED
REVERSAL,XYZ_REJECT,XYZ_REJECT_2026-08-19_REVERSAL_5,XYZ_REJECT_2026-08-19_REVERSAL,2026-08-19 08:59:14 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,245.3,245.3,0.0,0.0,245.3,245.3,2.0,,,,,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_PRICE,UNINITIALIZED_TARGET,Target price uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,MCX,MCX_2026-08-19_EOD_6,MCX_2026-08-19_EOD,2026-08-19 08:59:47 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3040.0,3040.0,2898.67,3040.0,141.3309,0.0,2.0,65.9,2804.46,2556.97,3187586.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,BALUFORGE,BALUFORGE_2026-08-19_EOD_7,BALUFORGE_2026-08-19_EOD,2026-08-19 08:59:52 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,542.55,542.55,512.51,542.55,30.0437,0.0,2.0,74.44,454.88,499.45,4047514.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,RELIANCE,RELIANCE_2026-08-19_EOD_8,RELIANCE_2026-08-19_EOD,2026-08-19 09:01:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1254.8,1254.8,1214.0,1378.0,40.8,123.2,3.02,64.31,1198.43,1094.27,1523400.0,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,1.15,1.1,2.2,0.3,True,1.0.0_REPAIRED
REVERSAL,XYZ_REJECT,XYZ_REJECT_2026-08-19_REVERSAL_9,XYZ_REJECT_2026-08-19_REVERSAL,2026-08-19 09:01:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,245.3,245.3,0.0,0.0,245.3,245.3,2.0,,,,,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_PRICE,UNINITIALIZED_TARGET,Target price uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
