evaluation_id,scanner_run_id,symbol,scanner,decision_timestamp,terminal_decision,primary_reason,alert_generated,regime_source,stock_sector,sector_rotation_key,sector_rank,sector_blended_score,sector_status,raw_cnxfin_scaling,cnxfin_sanitization_applied,sanitization_method,sanitization_version,close_price,volume,rsi,sma50,sma200,entry_price,sl_price,target_price,rr_ratio,trade_eligibility_status,eligibility_reason,cf_realized_r,cf_mfe_r,cf_mae_r,label_A_t1_hit,label_B_mfe_gt_2r,label_C_mfe_2r_mae_lt_1r,label_D_fast_t1,label_E_sl_hit,bars_to_t1,bars_to_sl,dataset_version,telemetry_source_hash,generated_at
eval_000000_RELIANCE_run_1787110058,run_1787110058,RELIANCE,EOD,2026-08-19 08:57:38 IST,SELECTED,ALL_GATES_PASSED,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,1254.8,1523400.0,64.31,1198.43,1094.27,1254.8,1214.0,1378.0,3.02,ELIGIBLE,OK,1.15,1.64,0.0,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000001_XYZ_REJECT_run_1787110058,run_1787110058,XYZ_REJECT,REVERSAL,2026-08-19 08:57:38 IST,REJECTED,TREND001_FAIL,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,245.3,,,,,245.3,,,,NOT_ELIGIBLE,MISSING_ENTRY_OR_SL_TARGET,,,,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000002_MCX_run_1787110089,run_1787110089,MCX,EOD,2026-08-19 08:58:09 IST,REJECTED,Score 0.0 < 75 minimum threshold,False,PRODUCTION_SNAPSHOT,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,3040.0,3187586.0,65.897,2804.464,2556.97,3040.0,2898.6690732842385,3040.0,,ELIGIBLE,OK,0.0,0.2,0.57,True,False,False,False,False,0.0,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000003_BALUFORGE_run_1787110094,run_1787110094,BALUFORGE,EOD,2026-08-19 08:58:14 IST,REJECTED,Score 54.0 < 75 minimum threshold,False,PRODUCTION_SNAPSHOT,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,542.55,4047514.0,74.445,454.883,499.4515,542.5499877929688,512.5063340368333,542.5499877929688,,ELIGIBLE,OK,0.0,0.15,0.3,True,False,False,False,False,0.0,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000004_RELIANCE_run_1787110154,run_1787110154,RELIANCE,EOD,2026-08-19 08:59:14 IST,SELECTED,ALL_GATES_PASSED,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,1254.8,1523400.0,64.31,1198.43,1094.27,1254.8,1214.0,1378.0,3.02,ELIGIBLE,OK,1.15,1.64,0.0,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000005_XYZ_REJECT_run_1787110154,run_1787110154,XYZ_REJECT,REVERSAL,2026-08-19 08:59:14 IST,REJECTED,TREND001_FAIL,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,245.3,,,,,245.3,,,,NOT_ELIGIBLE,MISSING_ENTRY_OR_SL_TARGET,,,,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000006_MCX_run_1787110187,run_1787110187,MCX,EOD,2026-08-19 08:59:47 IST,REJECTED,Score 0.0 < 75 minimum threshold,False,PRODUCTION_SNAPSHOT,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,3040.0,3187586.0,65.897,2804.464,2556.97,3040.0,2898.6690732842385,3040.0,,ELIGIBLE,OK,0.0,0.2,0.57,True,False,False,False,False,0.0,,1.0.0,902ee7d681,2026-08-30 13:36:20 IST
eval_000007_BALUFORGE_run_1787110192,run_1787110192,BALUFORGE,EOD,2026-08-19 08:59:52 IST,REJECTED,Score 54.0 < 75 minimum threshold,False,PRODUCTION_SNAPSHOT,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,542.55,4047514.0,74.445,454.883,499.4515,542.5499877929688,512.5063340368333,542.5499877929688,,ELIGIBLE,OK,0.0,0.15,0.3,True,False,False,False,False,0.0,,1.0.0,902ee7d681,2026-08-30 13:36:21 IST
eval_000008_RELIANCE_run_1787110292,run_1787110292,RELIANCE,EOD,2026-08-19 09:01:32 IST,SELECTED,ALL_GATES_PASSED,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,1254.8,1523400.0,64.31,1198.43,1094.27,1254.8,1214.0,1378.0,3.02,ELIGIBLE,OK,1.15,1.64,0.0,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:21 IST
eval_000009_XYZ_REJECT_run_1787110292,run_1787110292,XYZ_REJECT,REVERSAL,2026-08-19 09:01:32 IST,REJECTED,TREND001_FAIL,False,DERIVED_FROM_RUN_ID,Unknown,Unknown,,,NEUTRAL,1.0,False,NONE,v1.0,245.3,,,,,245.3,,,,NOT_ELIGIBLE,MISSING_ENTRY_OR_SL_TARGET,,,,False,False,False,False,False,,,1.0.0,902ee7d681,2026-08-30 13:36:21 IST
