variant,mechanism,N,train_expectancy,validation_expectancy,holdout_expectancy,holdout_CI_low,holdout_CI_high,win_rate,profit_factor,MFE,MAE,5m_return,15m_return,30m_return,60m_return,EOD_return,slippage_sensitivity,parameter_stability,symbol_stability,regime_stability,OI_dependency,data_status,governance_status
B1 Price,B1,884,-0.192,-0.305,-0.189,-0.246,-0.13,36.0,0.61,0.48,-0.65,-0.06,-0.08,-0.08,-0.1,-0.01,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,NONE,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
B2 Price+Volume,B2,488,-0.185,-0.242,-0.201,-0.282,-0.125,35.5,0.61,0.49,-0.68,-0.07,-0.1,-0.1,-0.11,-0.03,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
B3 Price+VWAP,B3,819,-0.199,-0.285,-0.185,-0.251,-0.127,36.4,0.62,0.48,-0.66,-0.07,-0.08,-0.08,-0.09,-0.01,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
B4 Price+OI,B4,364,-0.195,-0.284,-0.157,-0.245,-0.07,38.5,0.67,0.47,-0.56,-0.06,-0.06,-0.05,-0.03,0.0,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
B5 Momentum,B5,454,-0.193,-0.219,-0.206,-0.295,-0.121,35.7,0.6,0.49,-0.69,-0.07,-0.1,-0.11,-0.12,-0.03,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,NONE,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
B6 Legacy SC,B6,179,-0.185,-0.179,-0.185,-0.311,-0.056,36.9,0.63,0.44,-0.59,-0.06,-0.09,-0.06,-0.06,-0.01,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,NONE,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V1 Pre-Signal OI,V1,73,-0.212,-0.146,-0.291,-0.493,-0.07,31.5,0.49,0.39,-0.61,-0.07,-0.12,-0.1,-0.14,-0.17,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V2 Crowdedness+OI,V2,0,-0.701,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V3 Volume/OI,V3,124,-0.232,-0.131,-0.191,-0.338,-0.041,37.1,0.61,0.4,-0.6,-0.06,-0.09,-0.09,-0.1,-0.02,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V4 Prior Decline,V4,50,-0.125,-0.335,-0.097,-0.328,0.166,42.0,0.77,0.53,-0.62,-0.07,-0.08,-0.06,0.0,0.02,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V5 Expiry,V5,133,0.046,0.0,-0.288,-0.428,-0.152,33.1,0.45,0.35,-0.56,-0.07,-0.08,-0.11,-0.13,-0.11,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V7 Quick Exit,V7,350,-0.192,-0.164,-0.158,-0.214,-0.101,35.4,0.54,0.45,-0.56,-0.06,-0.07,-0.07,-0.07,-0.04,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V8 Fade Short,V8,6,-0.455,0.09,0.588,-0.079,1.0,83.3,4.53,0.41,-1.01,-0.12,-0.13,-0.13,-0.18,-0.12,HIGH (-0.05R per 5 bps),UNSTABLE,NO SECTOR DOMINANCE,NEGATIVE ACROSS ALL REGIMES,HIGH,CERTIFIED REAL UPSTOX,REJECTED (CI_low <= 0.0R)
V6 Participant OI,V6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,PARTICIPANT_OI,DATA BLOCKED (NO INTRADAY PER-SYMBOL PARTICIPANT OI),DATA BLOCKED
