scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_vcp_tightness,gate_vol_contraction,gate_pivot_breakout
ACCUMULATION,360ONE,2021-03-31 15:30:00 IST,BULL,2021-03-31 09:15:00 IST,309.85,294.13,333.44,341.3,349.16,357.02,2021-04-09 15:30:00 IST,294.13,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2022-01-17 15:30:00 IST,BULL,2022-01-17 09:15:00 IST,408.4,390.25,435.62,444.7,453.78,462.85,2022-01-18 15:30:00 IST,390.25,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2022-07-12 15:30:00 IST,BULL,2022-07-12 09:15:00 IST,398.95,375.2,434.57,446.44,458.31,470.18,2022-08-01 15:30:00 IST,415.1,TIME_EXPIRY,0.6801,14,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2023-05-29 15:30:00 IST,BULL,2023-05-29 09:15:00 IST,419.75,403.42,444.25,452.42,460.59,468.76,2023-06-16 15:30:00 IST,440.65,TIME_EXPIRY,1.2795,14,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2023-07-03 15:30:00 IST,BULL,2023-07-03 09:15:00 IST,475.7,455.24,506.4,516.63,526.86,537.09,2023-07-17 15:30:00 IST,516.63,TARGET,2.0,10,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2023-11-02 15:30:00 IST,BULL,2023-11-02 09:15:00 IST,551.55,526.83,588.63,600.99,613.35,625.71,2023-11-07 15:30:00 IST,526.83,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2025-12-01 15:30:00 IST,BULL,2025-12-01 09:15:00 IST,1189.3,1144.43,1256.61,1279.04,1301.48,1323.92,2025-12-03 15:30:00 IST,1144.43,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,360ONE,2026-08-06 15:30:00 IST,BULL,2026-08-06 09:15:00 IST,1186.0,1136.51,1260.24,1284.98,1309.73,1334.48,2026-08-26 15:30:00 IST,1197.2,TIME_EXPIRY,0.2263,14,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2020-01-23 15:30:00 IST,BULL,2020-01-23 09:15:00 IST,22409.7,21797.47,23328.04,23634.16,23940.27,24246.39,2020-01-31 15:30:00 IST,23634.16,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2020-07-10 15:30:00 IST,BULL,2020-07-10 09:15:00 IST,19504.05,18614.46,20838.43,21283.23,21728.02,22172.82,2020-07-20 15:30:00 IST,21283.23,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2020-07-28 15:30:00 IST,BULL,2020-07-28 09:15:00 IST,21512.2,20731.49,22683.27,23073.62,23463.98,23854.34,2020-08-04 15:30:00 IST,20731.49,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2020-12-03 15:30:00 IST,BULL,2020-12-03 09:15:00 IST,22713.4,21598.07,24386.39,24944.06,25501.72,26059.39,2020-12-21 15:30:00 IST,21598.07,STOP_LOSS,-1.0,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2022-07-08 15:30:00 IST,BULL,2022-07-08 09:15:00 IST,22871.05,21770.86,24521.34,25071.44,25621.53,26171.63,2022-07-15 15:30:00 IST,21770.86,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2022-10-06 15:30:00 IST,BULL,2022-10-06 09:15:00 IST,25130.7,23912.82,26957.51,27566.45,28175.39,28784.33,2022-10-11 15:30:00 IST,23912.82,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2023-11-08 15:30:00 IST,BULL,2023-11-08 09:15:00 IST,31479.85,30548.2,32877.33,33343.16,33808.98,34274.81,2023-11-17 15:30:00 IST,30548.2,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,3MINDIA,2024-06-18 15:30:00 IST,BULL,2024-06-18 09:15:00 IST,37068.55,34909.34,40307.36,41386.97,42466.57,43546.18,2024-07-08 15:30:00 IST,39294.7,TIME_EXPIRY,1.031,14,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,AARTIDRUGS,2025-04-23 15:30:00 IST,BULL,2025-04-23 09:15:00 IST,364.6,343.36,396.45,407.07,417.69,428.31,2025-05-01 15:30:00 IST,343.36,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,AAVAS,2019-11-20 15:30:00 IST,BULL,2019-11-20 09:15:00 IST,1695.3,1603.23,1833.4,1879.43,1925.47,1971.5,2019-11-22 15:30:00 IST,1603.23,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
ACCUMULATION,AAVAS,2020-01-02 15:30:00 IST,BULL,2020-01-02 09:15:00 IST,1987.9,1886.28,2140.33,2191.14,2241.95,2292.76,2020-01-22 15:30:00 IST,1944.6,TIME_EXPIRY,-0.4261,14,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
