symbol,row_count,min_price,max_price,max_single_session_move_pct,timestamp_granularity_pass,price_sanity_pass,etf_exclusion_pass,overall_pass,failure_reason
360ONE,1742,196.05,1297.15,18.13,True,True,True,True,CLEAN
3BBLACKBIO,111,1102.8,1523.5,11.15,True,True,True,True,CLEAN
3MINDIA,2476,10162.1,40020.6,16.89,True,True,True,True,CLEAN
AADHARHFC,589,329.45,556.5,9.61,True,True,True,True,CLEAN
AARTIDRUGS,2476,109.45,1011.85,19.99,True,True,True,True,CLEAN
AARTIPHARM,925,10.05,964.9,2768.16,True,False,True,False,UNADJUSTED_CORPORATE_ACTION_SPLIT_ANOMALY_2768.2PCT
AAVAS,1975,635.1,3195.8,20.0,True,True,True,True,CLEAN
ABB,2476,725.95,9020.0,13.38,True,True,True,True,CLEAN
ABBOTINDIA,2476,4022.5,35670.0,11.9,True,True,True,True,CLEAN
ABCAPITAL,2246,40.05,424.7,13.53,True,True,True,True,CLEAN
ABDL,556,285.85,715.05,9.18,True,True,True,True,CLEAN
ABSLAMC,1231,309.25,1199.0,11.88,True,True,True,True,CLEAN
ACC,2476,918.2,2772.25,14.94,True,True,True,True,CLEAN
ACCELYA,2476,709.5,2057.0,17.46,True,True,True,True,CLEAN
ACCENTMIC,690,181.6,725.75,19.94,True,True,True,True,CLEAN
ACE,2476,31.6,1606.4,23.38,True,True,True,True,CLEAN
ACMESOLAR,463,173.85,458.65,10.0,True,True,True,True,CLEAN
ACUTAAS,1250,403.3,3694.8,20.0,True,True,True,True,CLEAN
ADANIENSOL,2476,37.8,4105.4,20.0,True,True,True,True,CLEAN
ADANIENT,2476,61.65,4165.3,28.2,True,True,True,True,CLEAN
ADANIGREEN,2050,25.2,2970.5,21.77,True,True,True,True,CLEAN
ADANIPORTS,2476,207.8,1883.2,21.15,True,True,True,True,CLEAN
ADANIPOWER,2476,3.1,248.91,26.67,True,True,True,True,CLEAN
ADFFOODS,2476,24.9,347.65,20.0,True,True,True,True,CLEAN
ADOR,2476,161.65,1730.3,19.99,True,True,True,True,CLEAN
ADVAIT,170,1375.6,2450.6,12.27,True,True,True,True,CLEAN
ADVENZYMES,2476,99.5,549.9,19.99,True,True,True,True,CLEAN
AEGISLOG,2476,115.55,1486.0,19.19,True,True,True,True,CLEAN
AEGISVOPAK,329,161.65,318.3,10.0,True,True,True,True,CLEAN
AEROENTER,956,55.9,154.73,19.03,True,True,True,True,CLEAN
AEROFLEX,762,116.55,573.5,20.0,True,True,True,True,CLEAN
AETHER,1071,730.8,1767.0,12.87,True,True,True,True,CLEAN
AFFLE,1769,155.5,2146.7,14.74,True,True,True,True,CLEAN
AFSL,932,171.56,607.35,20.0,True,True,True,True,CLEAN
