scanner,symbol,entry_date_str,signal_regime,entry_price,stop_loss,entry_atr,entry_risk_distance,holding_cap,arm_a_exit_date,arm_a_exit_reason,arm_a_exit_price,arm_a_holding_days,arm_a_gross_r,arm_a_cost_r,arm_a_net_r,arm_b_exit_dates,arm_b_exit_reasons,arm_b_exit_prices,arm_b_holding_days,arm_b_gross_r,arm_b_cost_r,arm_b_net_r,paired_delta
ACCUMULATION,360ONE,2020-11-14,BULL,243.3,232.34,7.3067,10.96,14,2020-12-07,TIME_EXPIRY,251.1,14,0.7117,0.0226,0.6891,2020-12-01,TRAILING_STOP(100%),253.85,10,0.9623,0.0227,0.9396,0.2505
ACCUMULATION,360ONE,2021-03-31,BULL,309.85,294.13,10.48,15.72,14,2021-04-12,STOP_LOSS,294.13,7,-1.0,0.0192,-1.0192,2021-04-01;2021-04-05,TARGET_1(50%);TRAILING_STOP(50%),333.43;331.76,2,1.4469,0.0204,1.4264,2.4456
ACCUMULATION,360ONE,2021-07-08,BULL,307.4,293.79,9.0733,13.61,14,2021-07-16,TARGET,334.62,6,2.0,0.0236,1.9764,2021-07-15,TRAILING_STOP(100%),317.96,5,0.7761,0.023,0.7532,-1.2232
ACCUMULATION,360ONE,2022-01-14,BULL,409.0,390.72,12.1867,18.28,14,2022-01-18,STOP_LOSS,390.72,2,-1.0,0.0219,-1.0219,2022-01-18,STOP_LOSS(100%),390.72,2,-1.0,0.0219,-1.0219,0.0
ACCUMULATION,360ONE,2022-01-17,BULL,408.4,390.25,12.1,18.15,14,2022-01-18,STOP_LOSS,390.25,1,-1.0,0.022,-1.022,2022-01-18,STOP_LOSS(100%),390.25,1,-1.0,0.022,-1.022,0.0
ACCUMULATION,360ONE,2022-04-11,BULL,455.95,429.47,17.6533,26.48,14,2022-04-25,STOP_LOSS,429.47,8,-1.0,0.0167,-1.0167,2022-04-25,STOP_LOSS(100%),429.47,8,-1.0,0.0167,-1.0167,0.0
ACCUMULATION,360ONE,2022-07-12,BULL,398.95,375.2,15.8333,23.75,14,2022-08-01,TIME_EXPIRY,415.1,14,0.68,0.0171,0.6629,2022-07-21,TRAILING_STOP(100%),423.33,7,1.0267,0.0173,1.0094,0.3465
ACCUMULATION,360ONE,2023-01-24,BULL,486.95,468.36,12.3933,18.59,14,2023-01-27,STOP_LOSS,468.36,2,-1.0,0.0257,-1.0257,2023-01-27,STOP_LOSS(100%),468.36,2,-1.0,0.0257,-1.0257,0.0
ACCUMULATION,360ONE,2023-05-29,BULL,419.75,403.42,10.8867,16.33,14,2023-06-16,TIME_EXPIRY,440.65,14,1.2799,0.0263,1.2535,2023-06-16,TRAILING_STOP(100%),438.56,14,1.1517,0.0263,1.1254,-0.1281
ACCUMULATION,360ONE,2023-06-15,BULL,439.45,426.1,8.9,13.35,14,2023-06-23,STOP_LOSS,426.1,6,-1.0,0.0324,-1.0324,2023-06-22;2023-06-23,TARGET_1(50%);TRAILING_STOP(50%),459.47;458.05,6,1.4466,0.0336,1.413,2.4454
