scanner,symbol,entry_date_str,signal_regime,entry_price,stop_loss,entry_atr,entry_risk_distance,holding_cap,arm_a_exit_date,arm_a_exit_reason,arm_a_exit_price,arm_a_holding_days,arm_a_gross_r,arm_a_cost_r,arm_a_net_r,arm_b_exit_dates,arm_b_exit_reasons,arm_b_exit_prices,arm_b_holding_days,arm_b_gross_r,arm_b_cost_r,arm_b_net_r,paired_delta
EOD,360ONE,2020-01-17,BULL,339.2,314.28,16.6133,24.92,10,2020-01-31,TIME_EXPIRY,334.7,10,-0.1806,0.0135,-0.1941,2020-01-31,TIME_EXPIRY(100%),334.7,10,-0.1806,0.0135,-0.1941,0.0
EOD,360ONE,2021-09-09,BULL,418.65,393.6,16.7,25.05,10,2021-09-20,STOP_LOSS,393.6,6,-1.0,0.0162,-1.0162,2021-09-20,STOP_LOSS(100%),393.6,6,-1.0,0.0162,-1.0162,0.0
EOD,360ONE,2026-04-17,BULL,1113.3,1056.49,37.8733,56.81,10,2026-04-22,STOP_LOSS,1056.49,3,-1.0,0.0191,-1.0191,2026-04-22,STOP_LOSS(100%),1056.49,3,-1.0,0.0191,-1.0191,0.0
EOD,3MINDIA,2022-11-14,BULL,24483.7,23438.5,696.8,1045.2,10,2022-11-21,STOP_LOSS,23438.5,5,-1.0,0.0229,-1.0229,2022-11-21,STOP_LOSS(100%),23438.5,5,-1.0,0.0229,-1.0229,0.0
EOD,3MINDIA,2023-01-31,BULL,23329.05,22636.0,462.0333,693.05,10,2023-02-01,STOP_LOSS,22636.0,1,-1.0,0.0332,-1.0332,2023-02-01,STOP_LOSS(100%),22636.0,1,-1.0,0.0332,-1.0332,0.0
EOD,AADHARHFC,2026-06-19,BULL,515.1,492.83,14.8467,22.27,10,2026-06-24,STOP_LOSS,492.83,3,-1.0,0.0226,-1.0226,2026-06-24,STOP_LOSS(100%),492.83,3,-1.0,0.0226,-1.0226,0.0
EOD,AARTIDRUGS,2022-10-06,BULL,501.4,474.2,18.1333,27.2,10,2022-10-11,STOP_LOSS,474.2,3,-1.0,0.0179,-1.0179,2022-10-11,STOP_LOSS(100%),474.2,3,-1.0,0.0179,-1.0179,0.0
EOD,AARTIDRUGS,2023-04-10,BULL,408.75,373.9,23.2333,34.85,10,2023-04-25,TIME_EXPIRY,420.85,10,0.3472,0.0119,0.3353,2023-04-25,TIME_EXPIRY(100%),420.85,10,0.3472,0.0119,0.3353,0.0
EOD,AAVAS,2025-06-06,BULL,1922.3,1841.39,53.94,80.91,10,2025-06-11,STOP_LOSS,1841.39,3,-1.0,0.0233,-1.0233,2025-06-11,STOP_LOSS(100%),1841.39,3,-1.0,0.0233,-1.0233,0.0
EOD,ABB,2017-03-30,BULL,987.7,953.43,22.8467,34.27,10,2017-04-07,TARGET,1056.24,5,2.0,0.0298,1.9702,2017-04-03;2017-04-05,TARGET_1(50%);TRAILING_STOP(50%),1039.11;1028.53,3,1.3457,0.0295,1.3162,-0.654
EOD,ABB,2019-05-27,BULL,1261.45,1198.54,41.94,62.91,10,2019-06-06,STOP_LOSS,1198.54,7,-1.0,0.0196,-1.0196,2019-06-06,STOP_LOSS(100%),1198.54,7,-1.0,0.0196,-1.0196,0.0
EOD,ABB,2021-08-27,BULL,1850.05,1753.34,64.4733,96.71,10,2021-09-13,TIME_EXPIRY,1861.0,10,0.1132,0.0192,0.094,2021-09-13,TIME_EXPIRY(100%),1861.0,10,0.1132,0.0192,0.094,0.0
EOD,ABB,2021-12-09,BULL,2300.4,2153.02,98.2533,147.38,10,2021-12-20,STOP_LOSS,2153.02,7,-1.0,0.0151,-1.0151,2021-12-20,STOP_LOSS(100%),2153.02,7,-1.0,0.0151,-1.0151,0.0
EOD,ABB,2026-04-10,BULL,6859.5,6544.24,210.1733,315.26,10,2026-04-22,TARGET,7490.02,7,2.0,0.0228,1.9772,2026-04-21,TRAILING_STOP(100%),7214.41,6,1.1258,0.0223,1.1035,-0.8737
EOD,ABBOTINDIA,2019-06-11,BULL,8588.45,8262.23,217.48,326.22,10,2019-06-25,TIME_EXPIRY,8557.75,10,-0.0941,0.0263,-0.1204,2019-06-25,TIME_EXPIRY(100%),8557.75,10,-0.0941,0.0263,-0.1204,0.0
EOD,ABBOTINDIA,2023-08-03,BULL,24555.8,23936.87,412.62,618.93,10,2023-08-04,STOP_LOSS,23936.87,1,-1.0,0.0392,-1.0392,2023-08-04,STOP_LOSS(100%),23936.87,1,-1.0,0.0392,-1.0392,0.0
EOD,ABBOTINDIA,2025-06-26,BULL,33055.0,31983.25,714.5,1071.75,10,2025-06-27,TARGET,35198.5,1,2.0,0.0318,1.9682,2025-06-27;2025-06-27,TARGET_1(50%);TARGET_2(50%),34662.62;35734.38,1,2.0,0.0318,1.9682,0.0
EOD,ABCAPITAL,2019-11-22,BULL,100.15,94.59,3.7067,5.56,10,2019-11-25,TARGET,111.27,1,2.0,0.019,1.981,2019-11-25;2019-11-26,TARGET_1(50%);TRAILING_STOP(50%),108.49;112.05,2,1.8198,0.0189,1.8009,-0.1801
EOD,ABCAPITAL,2022-01-06,BULL,133.1,126.02,4.72,7.08,10,2022-01-19,STOP_LOSS,126.02,9,-1.0,0.0183,-1.0183,2022-01-19,STOP_LOSS(100%),126.02,9,-1.0,0.0183,-1.0183,0.0
EOD,ABCAPITAL,2026-05-05,BULL,360.85,342.19,12.44,18.66,10,2026-05-12,STOP_LOSS,342.19,5,-1.0,0.0188,-1.0188,2026-05-12,STOP_LOSS(100%),342.19,5,-1.0,0.0188,-1.0188,0.0
EOD,ABDL,2025-07-31,BULL,515.05,486.13,19.28,28.92,10,2025-08-11,STOP_LOSS,486.13,7,-1.0,0.0173,-1.0173,2025-08-11,STOP_LOSS(100%),486.13,7,-1.0,0.0173,-1.0173,0.0
EOD,ABSLAMC,2024-01-12,BULL,498.7,479.52,12.7867,19.18,10,2024-01-18,STOP_LOSS,479.52,4,-1.0,0.0255,-1.0255,2024-01-18,STOP_LOSS(100%),479.52,4,-1.0,0.0255,-1.0255,0.0
EOD,ABSLAMC,2024-06-03,BULL,574.8,547.86,17.96,26.94,10,2024-06-04,STOP_LOSS,547.86,1,-1.0,0.0208,-1.0208,2024-06-04,STOP_LOSS(100%),547.86,1,-1.0,0.0208,-1.0208,0.0
EOD,ABSLAMC,2026-06-10,BULL,1110.3,1049.22,40.72,61.08,10,2026-06-24,TIME_EXPIRY,1195.2,10,1.39,0.0189,1.3711,2026-06-22;2026-06-23,TARGET_1(50%);TRAILING_STOP(50%),1201.92;1204.54,9,1.5214,0.0189,1.5025,0.1314
EOD,ACCENTMIC,2026-03-18,BULL,360.6,341.05,13.0333,19.55,10,2026-04-06,TARGET,399.7,10,2.0,0.0194,1.9806,2026-04-06;2026-04-06,TARGET_1(50%);TARGET_2(50%),389.93;409.48,10,2.0,0.0194,1.9806,0.0
EOD,ACCENTMIC,2026-04-06,BULL,409.35,385.65,15.8,23.7,10,2026-04-21,TIME_EXPIRY,418.25,10,0.3755,0.0175,0.3581,2026-04-09,TRAILING_STOP(100%),426.6,3,0.7278,0.0176,0.7102,0.3521
EOD,ACE,2018-01-25,BULL,185.45,171.51,9.2933,13.94,10,2018-01-30,STOP_LOSS,171.51,2,-1.0,0.0128,-1.0128,2018-01-30,STOP_LOSS(100%),171.51,2,-1.0,0.0128,-1.0128,0.0
EOD,ACE,2021-02-02,BULL,155.35,144.39,7.3067,10.96,10,2021-02-16,TIME_EXPIRY,155.85,10,0.0456,0.0142,0.0314,2021-02-04,TRAILING_STOP(100%),164.0,2,0.7889,0.0146,0.7744,0.743
EOD,ACE,2022-08-16,BULL,241.8,230.33,7.6467,11.47,10,2022-08-22,STOP_LOSS,230.33,4,-1.0,0.0206,-1.0206,2022-08-19,TRAILING_STOP(100%),252.78,3,0.957,0.0216,0.9354,1.956
EOD,ACE,2022-11-04,BULL,327.75,306.92,13.8867,20.83,10,2022-11-21,STOP_LOSS,306.92,10,-1.0,0.0152,-1.0152,2022-11-21,STOP_LOSS(100%),306.92,10,-1.0,0.0152,-1.0152,0.0
EOD,ACE,2022-11-14,BULL,345.1,323.13,14.6467,21.97,10,2022-11-16,STOP_LOSS,323.13,2,-1.0,0.0152,-1.0152,2022-11-16,STOP_LOSS(100%),323.13,2,-1.0,0.0152,-1.0152,0.0
EOD,ACE,2023-05-03,BULL,439.7,418.13,14.38,21.57,10,2023-05-17,TIME_EXPIRY,448.7,10,0.4172,0.0206,0.3967,2023-05-17,TRAILING_STOP(100%),462.21,10,1.0436,0.0209,1.0227,0.626
EOD,ACE,2023-05-31,BULL,472.0,451.73,13.5133,20.27,10,2023-06-14,TIME_EXPIRY,486.95,10,0.7375,0.0237,0.7139,2023-06-02;2023-06-05,TARGET_1(50%);TRAILING_STOP(50%),502.4;498.24,3,1.3973,0.024,1.3734,0.6595
EOD,ACE,2023-07-06,BULL,551.9,523.94,18.64,27.96,10,2023-07-10,TARGET,607.82,2,2.0,0.0207,1.9793,2023-07-07;2023-07-10,TARGET_1(50%);TRAILING_STOP(50%),593.84;593.28,2,1.49,0.0205,1.4695,-0.5098
EOD,ACE,2026-06-17,BULL,962.1,915.49,31.0733,46.61,10,2026-07-02,TIME_EXPIRY,1016.7,10,1.1714,0.0212,1.1502,2026-06-23;2026-06-24,TARGET_1(50%);TRAILING_STOP(50%),1032.02;1031.46,5,1.4941,0.0214,1.4727,0.3225
EOD,ACUTAAS,2024-03-04,BULL,588.0,558.14,19.9067,29.86,10,2024-03-06,STOP_LOSS,558.14,2,-1.0,0.0192,-1.0192,2024-03-06,STOP_LOSS(100%),558.14,2,-1.0,0.0192,-1.0192,0.0
EOD,ACUTAAS,2025-10-15,BULL,1548.8,1479.84,45.9733,68.96,10,2025-10-20,TARGET,1686.72,3,2.0,0.0235,1.9765,2025-10-17;2025-10-20,TARGET_1(50%);TRAILING_STOP(50%),1652.24;1643.21,3,1.4346,0.0232,1.4114,-0.5651
EOD,ACUTAAS,2026-01-28,BULL,1862.4,1764.44,65.3067,97.96,10,2026-02-03,TARGET,2058.32,5,2.0,0.02,1.98,2026-01-30,TRAILING_STOP(100%),1935.35,2,0.7447,0.0194,0.7253,-1.2547
EOD,ADANIENSOL,2017-05-16,BULL,100.15,92.85,4.8667,7.3,10,2017-05-26,TARGET,114.75,8,2.0,0.0147,1.9853,2017-05-23,TRAILING_STOP(100%),106.82,5,0.9132,0.0142,0.8991,-1.0862
EOD,ADANIENSOL,2019-11-29,BULL,310.15,290.29,13.24,19.86,10,2019-12-11,TARGET,349.87,8,2.0,0.0166,1.9834,2019-12-02;2019-12-03,TARGET_1(50%);TRAILING_STOP(50%),339.94;334.73,2,1.3688,0.0163,1.3525,-0.6309
EOD,ADANIENSOL,2020-10-08,BULL,281.6,264.65,11.3,16.95,10,2020-10-22,TIME_EXPIRY,293.55,10,0.705,0.017,0.688,2020-10-14,TRAILING_STOP(100%),293.85,4,0.7227,0.017,0.7057,0.0177
EOD,ADANIENSOL,2025-10-29,BULL,967.55,932.93,23.08,34.62,10,2025-11-13,TIME_EXPIRY,1021.4,10,1.5555,0.0287,1.5267,2025-11-03,TRAILING_STOP(100%),992.46,3,0.7195,0.0283,0.6912,-0.8355
EOD,ADANIENSOL,2026-04-10,BULL,1157.9,1086.87,47.3533,71.03,10,2026-04-22,TARGET,1299.96,7,2.0,0.0173,1.9827,2026-04-17;2026-04-21,TARGET_1(50%);TRAILING_STOP(50%),1264.45;1267.82,6,1.5238,0.0171,1.5067,-0.476
