scanner,symbol,entry_date_str,signal_regime,entry_price,stop_loss,entry_atr,entry_risk_distance,holding_cap,arm_a_exit_date,arm_a_exit_reason,arm_a_exit_price,arm_a_holding_days,arm_a_gross_r,arm_a_cost_r,arm_a_net_r,arm_b_exit_dates,arm_b_exit_reasons,arm_b_exit_prices,arm_b_holding_days,arm_b_gross_r,arm_b_cost_r,arm_b_net_r,paired_delta
PULLBACK,360ONE,2020-03-06,BULL,365.05,333.33,21.1467,31.72,10,2020-03-12,STOP_LOSS,333.33,3,-1.0,0.011,-1.011,2020-03-12,STOP_LOSS(100%),333.33,3,-1.0,0.011,-1.011,0.0
PULLBACK,360ONE,2020-03-09,BULL,350.3,318.15,21.4333,32.15,10,2020-03-12,STOP_LOSS,318.15,2,-1.0,0.0104,-1.0104,2020-03-12,STOP_LOSS(100%),318.15,2,-1.0,0.0104,-1.0104,0.0
PULLBACK,360ONE,2021-02-01,BULL,260.5,247.4,8.7333,13.1,10,2021-02-08,TARGET,286.7,5,2.0,0.0209,1.9791,2021-02-03,TRAILING_STOP(100%),270.63,2,0.7735,0.0203,0.7533,-1.2258
PULLBACK,360ONE,2021-02-04,BULL,267.15,254.29,8.5733,12.86,10,2021-02-08,TARGET,292.87,2,2.0,0.0218,1.9782,2021-02-08;2021-02-08,TARGET_1(50%);TARGET_2(50%),286.44;299.3,2,2.0,0.0218,1.9782,0.0
PULLBACK,360ONE,2021-03-19,BULL,293.3,276.09,11.4733,17.21,10,2021-04-01,TARGET,327.72,8,2.0,0.018,1.982,2021-04-01,TRAILING_STOP(100%),309.21,8,0.9247,0.0175,0.9072,-1.0748
PULLBACK,360ONE,2021-03-22,BULL,301.2,283.09,12.0733,18.11,10,2021-04-05,TARGET,337.42,8,2.0,0.0176,1.9824,2021-04-01;2021-04-05,TARGET_1(50%);TRAILING_STOP(50%),328.37;330.96,8,1.5717,0.0174,1.5543,-0.4281
PULLBACK,360ONE,2021-05-07,BULL,298.55,275.22,15.5533,23.33,10,2021-05-18,STOP_LOSS,275.22,6,-1.0,0.0123,-1.0123,2021-05-18,STOP_LOSS(100%),275.22,6,-1.0,0.0123,-1.0123,0.0
PULLBACK,360ONE,2021-06-10,BULL,293.25,276.18,11.38,17.07,10,2021-06-18,STOP_LOSS,276.18,6,-1.0,0.0167,-1.0167,2021-06-18,STOP_LOSS(100%),276.18,6,-1.0,0.0167,-1.0167,0.0
PULLBACK,360ONE,2021-06-22,BULL,288.95,276.58,8.2467,12.37,10,2021-07-06,TIME_EXPIRY,302.7,10,1.1116,0.0239,1.0876,2021-07-06,TRAILING_STOP(100%),300.18,10,0.9076,0.0238,0.8838,-0.2038
PULLBACK,360ONE,2021-09-22,BULL,397.55,374.26,15.5267,23.29,10,2021-10-06,TIME_EXPIRY,392.1,10,-0.234,0.017,-0.251,2021-10-06,TIME_EXPIRY(100%),392.1,10,-0.234,0.017,-0.251,0.0
PULLBACK,360ONE,2021-09-29,BULL,396.0,372.12,15.92,23.88,10,2021-10-13,TIME_EXPIRY,412.2,10,0.6784,0.0169,0.6615,2021-10-13,TIME_EXPIRY(100%),412.2,10,0.6784,0.0169,0.6615,0.0
