scanner,symbol,entry_date_str,signal_regime,entry_price,stop_loss,entry_atr,entry_risk_distance,holding_cap,arm_a_exit_date,arm_a_exit_reason,arm_a_exit_price,arm_a_holding_days,arm_a_gross_r,arm_a_cost_r,arm_a_net_r,arm_b_exit_dates,arm_b_exit_reasons,arm_b_exit_prices,arm_b_holding_days,arm_b_gross_r,arm_b_cost_r,arm_b_net_r,paired_delta
TECHNICAL,360ONE,2021-02-05,BULL,282.6,268.67,9.2867,13.93,12,2021-02-11,TARGET,310.46,4,2.0,0.0213,1.9787,2021-02-09,TRAILING_STOP(100%),298.36,2,1.1311,0.0209,1.1103,-0.8684
TECHNICAL,360ONE,2021-08-04,BULL,397.4,367.18,20.1467,30.22,12,2021-08-23,TIME_EXPIRY,371.9,12,-0.8438,0.0127,-0.8565,2021-08-23,TIME_EXPIRY(100%),371.9,12,-0.8438,0.0127,-0.8565,0.0
TECHNICAL,360ONE,2021-09-09,BULL,418.65,393.6,16.7,25.05,12,2021-09-20,STOP_LOSS,393.6,6,-1.0,0.0162,-1.0162,2021-09-20,STOP_LOSS(100%),393.6,6,-1.0,0.0162,-1.0162,0.0
TECHNICAL,360ONE,2021-10-21,BULL,441.55,419.11,14.96,22.44,12,2021-10-22,STOP_LOSS,419.11,1,-1.0,0.0192,-1.0192,2021-10-22,STOP_LOSS(100%),419.11,1,-1.0,0.0192,-1.0192,0.0
TECHNICAL,360ONE,2023-01-19,BULL,485.0,466.86,12.0933,18.14,12,2023-01-27,STOP_LOSS,466.86,5,-1.0,0.0262,-1.0262,2023-01-27,STOP_LOSS(100%),466.86,5,-1.0,0.0262,-1.0262,0.0
TECHNICAL,360ONE,2023-09-11,BULL,549.9,526.97,15.2867,22.93,12,2023-09-13,STOP_LOSS,526.97,2,-1.0,0.0235,-1.0235,2023-09-13,STOP_LOSS(100%),526.97,2,-1.0,0.0235,-1.0235,0.0
TECHNICAL,360ONE,2023-12-06,BULL,649.45,617.94,21.0067,31.51,12,2023-12-14,TARGET,712.47,6,2.0,0.0216,1.9784,2023-12-14;2023-12-14,TARGET_1(50%);TARGET_2(50%),696.72;728.23,6,2.0,0.0216,1.9784,0.0
TECHNICAL,360ONE,2024-02-13,BULL,691.7,655.33,24.2467,36.37,12,2024-02-26,TARGET,764.44,9,2.0,0.02,1.98,2024-02-22,TRAILING_STOP(100%),732.78,7,1.1294,0.0196,1.1098,-0.8702
TECHNICAL,360ONE,2024-02-26,BULL,769.6,728.66,27.2933,40.94,12,2024-02-28,STOP_LOSS,728.66,2,-1.0,0.0183,-1.0183,2024-02-28,STOP_LOSS(100%),728.66,2,-1.0,0.0183,-1.0183,0.0
TECHNICAL,360ONE,2024-06-19,BULL,852.9,802.64,33.5067,50.26,12,2024-06-28,TARGET,953.42,7,2.0,0.018,1.982,2024-06-27;2024-06-28,TARGET_1(50%);TARGET_2(50%),928.29;978.55,7,2.0,0.018,1.982,0.0
TECHNICAL,360ONE,2024-06-26,BULL,889.2,836.1,35.4,53.1,12,2024-06-28,TARGET,995.4,2,2.0,0.0177,1.9823,2024-06-28;2024-06-28,TARGET_1(50%);TARGET_2(50%),968.85;1021.95,2,2.0,0.0177,1.9823,0.0
TECHNICAL,360ONE,2024-06-27,BULL,934.7,879.47,36.82,55.23,12,2024-06-28,TARGET,1045.16,1,2.0,0.0179,1.9821,2024-06-28;2024-07-01,TARGET_1(50%);TRAILING_STOP(50%),1017.55;1046.59,2,1.7629,0.0178,1.7451,-0.237
TECHNICAL,360ONE,2024-07-29,BULL,1068.15,1000.45,45.1333,67.7,12,2024-08-01,TARGET,1203.55,3,2.0,0.0168,1.9832,2024-08-01,TRAILING_STOP(100%),1116.53,3,0.7147,0.0161,0.6985,-1.2847
TECHNICAL,360ONE,2024-07-31,BULL,1132.3,1065.58,44.48,66.72,12,2024-08-02,STOP_LOSS,1065.58,2,-1.0,0.0165,-1.0165,2024-08-02,TRAILING_STOP(100%),1192.76,2,0.9062,0.0174,0.8888,1.9053
TECHNICAL,360ONE,2024-12-10,BULL,1198.4,1137.88,40.3467,60.52,12,2024-12-27,TIME_EXPIRY,1250.9,12,0.8675,0.0202,0.8472,2024-12-18,TRAILING_STOP(100%),1239.83,6,0.6845,0.0201,0.6644,-0.1828
TECHNICAL,360ONE,2025-10-14,BULL,1126.7,1087.99,25.8067,38.71,12,2025-10-31,STOP_LOSS,1087.99,12,-1.0,0.0286,-1.0286,2025-10-16,TRAILING_STOP(100%),1159.1,2,0.8369,0.0295,0.8074,1.836
