scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,360ONE,2020-01-17 15:30:00 IST,BULL,2020-01-17 09:15:00 IST,339.2,314.28,376.58,389.04,401.5,413.96,2020-01-31 15:30:00 IST,334.7,TIME_EXPIRY,-0.1806,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,360ONE,2021-09-09 15:30:00 IST,BULL,2021-09-09 09:15:00 IST,418.65,393.6,456.23,468.76,481.28,493.81,2021-09-17 15:30:00 IST,393.6,STOP_LOSS,-1.0,6,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,360ONE,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,1113.3,1056.49,1198.51,1226.91,1255.31,1283.72,2026-04-22 15:30:00 IST,1056.49,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,3MINDIA,2022-11-14 15:30:00 IST,BULL,2022-11-14 09:15:00 IST,24483.7,23438.5,26051.5,26574.1,27096.7,27619.3,2022-11-21 15:30:00 IST,23438.5,STOP_LOSS,-1.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,3MINDIA,2023-01-31 15:30:00 IST,BULL,2023-01-31 09:15:00 IST,23329.05,22636.0,24368.63,24715.16,25061.68,25408.21,2023-02-01 15:30:00 IST,22636.0,STOP_LOSS,-1.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,AADHARHFC,2026-06-19 15:30:00 IST,BULL,2026-06-19 09:15:00 IST,515.1,492.83,548.51,559.64,570.78,581.91,2026-06-24 15:30:00 IST,492.83,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,AARTIDRUGS,2022-10-06 15:30:00 IST,BULL,2022-10-06 09:15:00 IST,501.4,474.2,542.19,555.79,569.39,582.98,2022-10-11 15:30:00 IST,474.2,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,AARTIDRUGS,2023-04-10 15:30:00 IST,BULL,2023-04-10 09:15:00 IST,408.75,373.9,461.02,478.44,495.86,513.29,2023-04-24 15:30:00 IST,420.85,TIME_EXPIRY,0.3473,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,AAVAS,2025-01-23 15:30:00 IST,SIDEWAYS,2025-01-23 09:15:00 IST,1727.85,1684.32,1793.15,1814.92,1836.68,1858.45,2025-01-27 15:30:00 IST,1684.32,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,AAVAS,2025-06-06 15:30:00 IST,BULL,2025-06-06 09:15:00 IST,1922.3,1841.39,2043.66,2084.12,2124.58,2165.03,2025-06-11 15:30:00 IST,1841.39,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2017-03-30 15:30:00 IST,BULL,2017-03-30 09:15:00 IST,987.7,953.43,1039.11,1056.24,1073.38,1090.51,2017-04-06 15:30:00 IST,1056.24,TARGET,2.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2019-05-27 15:30:00 IST,BULL,2019-05-27 09:15:00 IST,1261.45,1198.54,1355.82,1387.28,1418.73,1450.19,2019-06-05 15:30:00 IST,1198.54,STOP_LOSS,-1.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2021-08-27 15:30:00 IST,BULL,2021-08-27 09:15:00 IST,1850.05,1753.34,1995.12,2043.48,2091.83,2140.19,2021-09-10 15:30:00 IST,1861.0,TIME_EXPIRY,0.1132,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2021-12-09 15:30:00 IST,BULL,2021-12-09 09:15:00 IST,2300.4,2153.02,2521.46,2595.15,2668.84,2742.52,2021-12-20 15:30:00 IST,2153.02,STOP_LOSS,-1.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2024-05-06 15:30:00 IST,SIDEWAYS,2024-05-06 09:15:00 IST,6940.35,6673.17,7341.12,7474.71,7608.3,7741.89,2024-05-13 15:30:00 IST,7474.71,TARGET,2.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABB,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,6859.5,6544.24,7332.39,7490.02,7647.66,7805.29,2026-04-22 15:30:00 IST,7490.02,TARGET,2.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABBOTINDIA,2019-06-11 15:30:00 IST,BULL,2019-06-11 09:15:00 IST,8588.45,8262.23,9077.79,9240.9,9404.01,9567.12,2019-06-25 15:30:00 IST,8557.75,TIME_EXPIRY,-0.0941,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABBOTINDIA,2023-08-03 15:30:00 IST,BULL,2023-08-03 09:15:00 IST,24555.8,23936.87,25484.2,25793.66,26103.12,26412.59,2023-08-04 15:30:00 IST,23936.87,STOP_LOSS,-1.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABBOTINDIA,2025-06-26 15:30:00 IST,BULL,2025-06-26 09:15:00 IST,33055.0,31983.25,34662.62,35198.5,35734.38,36270.25,2025-06-27 15:30:00 IST,35198.5,TARGET,2.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABCAPITAL,2019-11-22 15:30:00 IST,BULL,2019-11-22 09:15:00 IST,100.15,94.59,108.49,111.27,114.05,116.83,2019-11-25 15:30:00 IST,111.27,TARGET,2.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABCAPITAL,2022-01-06 15:30:00 IST,BULL,2022-01-06 09:15:00 IST,133.1,126.02,143.73,147.27,150.81,154.35,2022-01-19 15:30:00 IST,126.02,STOP_LOSS,-1.0,9,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABCAPITAL,2026-05-05 15:30:00 IST,BULL,2026-05-05 09:15:00 IST,360.85,342.19,388.84,398.17,407.5,416.83,2026-05-12 15:30:00 IST,342.19,STOP_LOSS,-1.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABDL,2025-07-31 15:30:00 IST,BULL,2025-07-31 09:15:00 IST,515.05,486.13,558.43,572.89,587.35,601.81,2025-08-11 15:30:00 IST,486.13,STOP_LOSS,-1.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABSLAMC,2024-01-12 15:30:00 IST,BULL,2024-01-12 09:15:00 IST,498.7,479.52,527.48,537.07,546.66,556.26,2024-01-18 15:30:00 IST,479.52,STOP_LOSS,-1.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABSLAMC,2024-06-03 15:30:00 IST,BULL,2024-06-03 09:15:00 IST,574.8,547.86,615.22,628.69,642.16,655.63,2024-06-04 15:30:00 IST,547.86,STOP_LOSS,-1.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ABSLAMC,2026-06-10 15:30:00 IST,BULL,2026-06-10 09:15:00 IST,1110.3,1049.22,1201.92,1232.46,1263.0,1293.54,2026-06-24 15:30:00 IST,1195.2,TIME_EXPIRY,1.39,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACCENTMIC,2026-03-18 15:30:00 IST,BULL,2026-03-18 09:15:00 IST,360.6,341.05,389.92,399.7,409.47,419.25,2026-04-02 15:30:00 IST,399.7,TARGET,2.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACCENTMIC,2026-04-06 15:30:00 IST,BULL,2026-04-06 09:15:00 IST,409.35,385.65,444.89,456.74,468.59,480.44,2026-04-21 15:30:00 IST,418.25,TIME_EXPIRY,0.3756,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACCENTMIC,2026-08-07 15:30:00 IST,SIDEWAYS,2026-08-07 09:15:00 IST,543.9,518.02,582.72,595.66,608.6,621.54,2026-08-18 15:30:00 IST,595.66,TARGET,2.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2018-01-25 15:30:00 IST,BULL,2018-01-25 09:15:00 IST,185.45,171.51,206.36,213.33,220.31,227.28,2018-01-29 15:30:00 IST,171.51,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2021-02-02 15:30:00 IST,BULL,2021-02-02 09:15:00 IST,155.35,144.39,171.79,177.27,182.75,188.23,2021-02-16 15:30:00 IST,155.85,TIME_EXPIRY,0.0456,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2022-08-16 15:30:00 IST,BULL,2022-08-16 09:15:00 IST,241.8,230.33,259.0,264.74,270.47,276.2,2022-08-22 15:30:00 IST,230.33,STOP_LOSS,-1.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2022-11-04 15:30:00 IST,BULL,2022-11-04 09:15:00 IST,327.75,306.92,359.0,369.41,379.83,390.24,2022-11-18 15:30:00 IST,306.92,STOP_LOSS,-1.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2022-11-14 15:30:00 IST,BULL,2022-11-14 09:15:00 IST,345.1,323.13,378.05,389.04,400.02,411.0,2022-11-16 15:30:00 IST,323.13,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,ACE,2023-05-03 15:30:00 IST,BULL,2023-05-03 09:15:00 IST,439.7,418.13,472.05,482.83,493.62,504.4,2023-05-17 15:30:00 IST,448.7,TIME_EXPIRY,0.4173,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
