symbol,count,mean_R,win_rate
AXISCADES,96,0.2083,0.302
HIRECT,93,0.1752,0.301
PFOCUS,90,0.1111,0.278
VIMTALABS,88,0.2273,0.307
GRAVITA,87,0.393,0.356
OLECTRA,79,0.2653,0.329
ASHAPURMIN,79,0.2658,0.316
LUMAXTECH,79,0.3165,0.329
ADANIENSOL,78,0.4777,0.385
KERNEX,78,0.4359,0.359
SKIPPER,77,0.2842,0.325
IZMO,77,0.4026,0.351
INDOTECH,77,0.3506,0.338
THANGAMAYL,75,0.517,0.387
GALLANTT,75,0.0667,0.267
SHREEPUSHK,75,0.0918,0.28
DATAMATICS,75,-0.0783,0.24
ARVSMART,75,0.4246,0.36
SAKAR,75,0.1733,0.293
UNIVCABLES,73,0.3299,0.342
KDDL,73,0.1778,0.301
DLINKINDIA,71,0.1271,0.296
GLOBUSSPR,71,0.2394,0.31
SCHNEIDER,71,0.1831,0.296
SEAMECLTD,70,0.2816,0.329
MANINDS,70,0.3714,0.343
GRSE,70,0.3879,0.357
MARATHON,70,0.2,0.3
HBLENGINE,70,0.4857,0.371
KINGFA,70,0.2,0.3
DSSL,70,0.5429,0.386
SALZERELEC,70,0.2907,0.329
ICEMAKE,69,0.2754,0.319
IMFA,69,0.6232,0.406
JINDRILL,69,0.2392,0.319
OPTIEMUS,69,0.1594,0.29
VENUSREM,68,0.6333,0.412
PGIL,68,0.4118,0.353
AURIONPRO,68,0.5294,0.382
ZENTEC,67,0.4328,0.358
SOLEX,67,0.3731,0.343
KIRLOSBROS,67,0.3211,0.343
VIYASH,67,0.4123,0.358
GANESHHOU,66,0.3939,0.348
BSE,66,0.7576,0.439
APLAPOLLO,66,0.3023,0.333
BFUTILITIE,65,0.1077,0.277
LTFOODS,65,0.2574,0.323
ESABINDIA,65,0.5184,0.415
THEJO,65,0.2308,0.308
RAMKY,64,0.375,0.344
TAJGVK,64,0.0878,0.266
GMDCLTD,64,0.25,0.312
SUBROS,64,-0.0346,0.25
NELCAST,64,0.125,0.281
NEULANDLAB,64,0.5625,0.391
WELCORP,64,0.4135,0.359
BHAGYANGR,64,-0.0625,0.234
ITI,64,-0.2139,0.203
CANTABIL,63,0.0467,0.27
SARDAEN,63,0.2916,0.333
CHENNPETRO,63,0.3968,0.349
TRITURBINE,63,0.1424,0.302
WELENT,63,0.3333,0.333
GENUSPOWER,63,0.2325,0.317
PITTIENG,63,0.5873,0.397
DEEPAKFERT,63,0.5238,0.381
MAITHANALL,62,0.0595,0.274
PANAMAPET,62,0.3548,0.339
ELGIEQUIP,62,0.2474,0.339
NAVA,62,0.3971,0.355
ADANIGREEN,62,0.5484,0.387
GMBREW,62,0.028,0.258
SHAKTIPUMP,62,0.4839,0.371
RADICO,62,0.6101,0.419
KIRIINDUS,62,-0.036,0.258
JPOLYINVST,61,0.377,0.344
BHARATWIRE,61,0.1148,0.279
POKARNA,61,0.4426,0.361
IIFLCAPS,61,0.1331,0.295
BBOX,61,0.5319,0.393
BDL,61,0.3292,0.361
VIDHIING,61,0.2136,0.311
GVT&D,61,0.6017,0.426
CEMPRO,60,0.5727,0.4
DEEPAKNTR,60,0.3736,0.35
NITINSPIN,60,0.2022,0.317
SURYAROSNI,60,0.2,0.3
ASTRAMICRO,60,0.2861,0.317
GAEL,60,0.1636,0.3
SHARDAMOTR,59,0.3075,0.339
AEGISLOG,59,0.2203,0.305
HSCL,59,0.4516,0.373
BORORENEW,59,0.2542,0.322
JAICORPLTD,59,0.1093,0.288
SHARDACROP,59,0.1947,0.305
ACE,59,0.5321,0.39
EIHAHOTELS,59,0.2322,0.305
GUFICBIO,58,0.3859,0.345
SHANTIGEAR,58,0.3153,0.345
BETA,58,0.4827,0.379
MMFL,58,0.3196,0.345
JSL,58,0.6233,0.414
VADILALIND,58,0.2725,0.328
GULPOLY,57,-0.0175,0.246
NLCINDIA,57,0.2046,0.333
GABRIEL,57,0.2123,0.316
COFORGE,57,0.561,0.404
MOTILALOFS,57,0.3027,0.351
PUNJABCHEM,57,0.2098,0.298
SMLMAH,57,0.209,0.298
POWERMECH,57,0.4114,0.368
UNOMINDA,57,0.4027,0.368
ASHIANA,57,0.0642,0.263
JBMA,57,0.4384,0.368
ELECON,57,0.4737,0.368
ADFFOODS,56,0.2143,0.304
FIEMIND,56,0.3182,0.357
HPL,56,0.2857,0.321
ANTELOPUS,56,0.2857,0.321
PHOENIXLTD,56,0.3336,0.357
PRAKASH,56,0.2143,0.304
MINDACORP,56,0.1239,0.304
ALLDIGI,56,-0.084,0.25
GNA,56,0.2143,0.304
TANLA,56,0.5714,0.393
RML,56,0.168,0.304
SCI,56,0.2857,0.321
INTELLECT,55,0.631,0.418
LINDEINDIA,55,0.5624,0.4
JUSTDIAL,55,0.1222,0.291
ADOR,55,0.2978,0.345
BRIGADE,55,0.4113,0.364
MUKANDLTD,55,0.0046,0.273
AVANTIFEED,55,0.2293,0.309
COSMOFIRST,55,0.2791,0.327
TCI,54,0.1202,0.315
VOLTAMP,54,0.5343,0.407
VMART,54,0.2967,0.333
KEI,54,0.6136,0.426
RCF,54,0.1161,0.296
EPL,54,-0.0755,0.259
SHRIPISTON,54,0.3738,0.352
DPABHUSHAN,54,0.5853,0.407
TIPSMUSIC,54,0.5556,0.389
SPAL,54,0.037,0.259
SAREGAMA,54,0.4815,0.37
ATULAUTO,54,-0.1428,0.222
TALBROAUTO,54,0.1111,0.278
JMFINANCIL,53,0.0566,0.264
ASTRAL,53,0.3073,0.358
ATGL,53,0.5849,0.396
NATIONALUM,53,0.434,0.358
ALKYLAMINE,53,0.3666,0.34
LUMAXIND,53,0.3491,0.358
BUTTERFLY,53,0.5094,0.377
PARAGMILK,53,-0.0943,0.226
MCX,53,0.4152,0.377
GNFC,53,0.3865,0.358
DIXON,53,0.8334,0.472
RPGLIFE,53,0.4532,0.377
ADANIENT,53,0.8513,0.491
INDRAMEDCO,53,0.1591,0.302
FORCEMOT,53,0.5094,0.377
AARTIDRUGS,53,0.1678,0.302
INDNIPPON,52,-0.0224,0.25
VISHNU,52,0.4494,0.385
TCPLPACK,52,0.7122,0.442
JKTYRE,52,0.2755,0.327
RSYSTEMS,52,0.0886,0.288
DCMSHRIRAM,52,0.3751,0.365
MASTEK,52,0.5914,0.404
SANGHVIMOV,52,0.3846,0.346
TRENT,52,0.7173,0.481
BHARATRAS,52,0.1517,0.308
MONTECARLO,52,0.1538,0.288
CHAMBLFERT,52,0.0778,0.288
HNDFDS,52,0.0,0.25
GODFRYPHLP,52,0.36,0.365
POWERINDIA,52,0.8132,0.462
BALAMINES,52,0.4615,0.365
HINDCOPPER,51,0.4118,0.353
PREMEXPLN,51,0.3333,0.333
ASHOKA,51,0.098,0.275
LGBBROSLTD,51,0.4413,0.373
TIMKEN,51,0.3349,0.373
ASAHIINDIA,51,0.3087,0.353
GOCLCORP,51,-0.0157,0.255
POLYMED,51,0.309,0.353
FSL,51,0.3333,0.353
CAPLIPOINT,51,0.0781,0.275
MIDHANI,50,0.0733,0.28
NAVINFLUOR,50,0.4801,0.4
BBTC,50,0.1698,0.3
CGPOWER,50,0.6253,0.42
INFOBEAN,50,0.12,0.28
PERSISTENT,50,0.6977,0.44
SPMLINFRA,50,0.36,0.34
APARINDS,50,0.8113,0.46
TIIL,50,0.4553,0.4
SOLARINDS,50,0.7245,0.48
ANUP,50,0.68,0.42
RAMCOSYS,50,0.28,0.32
ASTRAZEN,50,0.6163,0.46
BANCOINDIA,49,0.4274,0.367
BALRAMCHIN,49,0.2813,0.367
WABAG,49,0.2581,0.306
REPCOHOME,49,-0.1509,0.224
PFC,49,0.2541,0.327
KSL,49,0.4694,0.367
PRICOLLTD,49,0.5048,0.388
AHLUCONT,49,0.0389,0.306
BLISSGVS,49,0.1429,0.286
BLS,49,0.3878,0.347
BLUESTARCO,49,0.4157,0.367
PENIND,49,0.2875,0.327
INDIANB,49,0.2945,0.367
KCP,49,0.0341,0.265
IFBIND,49,0.2207,0.327
