scanner,symbol,entry_date,signal_regime,entry_price,stop_loss,target,exit_price,exit_reason,r_multiple,holding_days,stride,data_source,gate_uptrend,gate_pullback_zone,gate_vol_dryup
PULLBACK,360ONE,2020-03-06,BULL,365.05,333.33,428.49,333.33,STOP_LOSS,-1.0,3,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2020-03-09,BULL,350.3,318.15,414.6,318.15,STOP_LOSS,-1.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-02-01,BULL,260.5,247.4,286.71,286.71,TARGET,2.0,5,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-02-04,BULL,267.15,254.29,292.88,292.88,TARGET,2.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-03-19,BULL,293.3,276.09,327.72,327.72,TARGET,2.0,8,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-03-22,BULL,301.2,283.09,337.42,337.42,TARGET,2.0,8,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-05-07,BULL,298.55,275.22,345.21,275.22,STOP_LOSS,-1.0,6,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-06-10,BULL,293.25,276.18,327.38,276.18,STOP_LOSS,-1.0,6,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-06-22,BULL,288.95,276.58,313.7,302.7,TIME_EXPIRY,1.1111,10,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-09-22,BULL,397.55,374.26,444.13,392.1,TIME_EXPIRY,-0.234,10,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True
