scanner,symbol,entry_date,signal_regime,entry_price,stop_loss,target,exit_price,exit_reason,r_multiple,holding_days,stride,data_source,gate_ma_alignment,gate_vol_floor,gate_clv_floor,gate_breakout_pattern
TECHNICAL,360ONE,2021-02-05,BULL,282.6,268.67,310.46,310.46,TARGET,2.0,4,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2021-08-04,BULL,397.4,367.18,457.84,371.9,TIME_EXPIRY,-0.8438,12,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2021-09-09,BULL,418.65,393.6,468.76,393.6,STOP_LOSS,-1.0,6,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2021-10-21,BULL,441.55,419.11,486.44,419.11,STOP_LOSS,-1.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2023-01-19,BULL,485.0,466.86,521.28,466.86,STOP_LOSS,-1.0,5,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2023-09-11,BULL,549.9,526.97,595.75,526.97,STOP_LOSS,-1.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2023-12-06,BULL,649.45,617.94,712.47,712.47,TARGET,2.0,6,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-02-13,BULL,691.7,655.33,764.44,764.44,TARGET,2.0,9,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-02-26,BULL,769.6,728.66,851.47,728.66,STOP_LOSS,-1.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-06-19,BULL,852.9,802.64,953.42,953.42,TARGET,2.0,7,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-06-26,BULL,889.2,836.1,995.39,995.39,TARGET,2.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-06-27,BULL,934.7,879.47,1045.17,1045.17,TARGET,2.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-07-29,BULL,1068.15,1000.45,1203.55,1203.55,TARGET,2.0,3,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-07-31,BULL,1132.3,1065.58,1265.75,1065.58,STOP_LOSS,-1.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2024-12-10,BULL,1198.4,1137.88,1319.44,1250.9,TIME_EXPIRY,0.8675,12,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2025-10-14,BULL,1126.7,1087.99,1204.12,1087.99,STOP_LOSS,-1.0,12,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2025-10-15,BULL,1160.4,1119.0,1243.2,1119.0,STOP_LOSS,-1.0,9,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2025-10-20,BULL,1183.3,1137.84,1274.23,1137.84,STOP_LOSS,-1.0,6,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2025-11-28,BULL,1183.2,1135.89,1277.82,1135.89,STOP_LOSS,-1.0,4,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-08-23,BULL,14361.1,13829.19,15424.92,14620.85,TIME_EXPIRY,0.4883,12,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-11-03,BULL,15411.15,14947.62,16338.21,16338.21,TARGET,2.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-12-22,BULL,16935.7,16265.15,18276.8,18276.8,TARGET,2.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-12-26,BULL,17384.7,16708.64,18736.82,18736.82,TARGET,2.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-12-27,BULL,19216.3,18363.72,20921.46,18363.72,STOP_LOSS,-1.0,10,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2018-02-12,BULL,21706.7,20568.89,23982.32,20568.89,STOP_LOSS,-1.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2018-07-17,BULL,20398.3,19629.63,21935.64,21935.64,TARGET,2.0,2,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2018-07-19,BULL,21722.15,20926.68,23313.09,23313.09,TARGET,2.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2018-07-20,BULL,23338.75,22460.0,25096.26,23763.55,TIME_EXPIRY,0.4834,12,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2020-02-10,BULL,24662.45,23516.66,26954.03,23516.66,STOP_LOSS,-1.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2021-03-01,BULL,24148.65,22952.2,26541.55,26541.55,TARGET,2.0,5,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2022-09-16,BULL,23938.1,23071.28,25671.75,23071.28,STOP_LOSS,-1.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2022-11-14,BULL,24483.7,23438.5,26574.1,23438.5,STOP_LOSS,-1.0,5,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2023-01-31,BULL,23329.05,22636.0,24715.16,22636.0,STOP_LOSS,-1.0,1,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2023-05-30,BULL,24817.45,23967.71,26516.94,26516.94,TARGET,2.0,4,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2023-05-31,BULL,25153.45,24318.55,26823.25,26823.25,TARGET,2.0,3,1,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
