symbol,count,mean_R,win_rate
HIRECT,99,0.1311,0.283
AXISCADES,97,0.1959,0.299
PFOCUS,90,0.1111,0.278
VIMTALABS,89,0.2477,0.326
OLECTRA,86,0.2191,0.326
GRAVITA,83,0.4421,0.361
LUMAXTECH,80,0.323,0.35
DATAMATICS,80,-0.0888,0.25
KERNEX,79,0.4684,0.367
INDOTECH,79,0.4177,0.354
ASHAPURMIN,79,0.2904,0.329
ADANIENSOL,79,0.4708,0.38
SKIPPER,78,0.2712,0.333
GALLANTT,78,0.0957,0.269
KDDL,78,0.2271,0.321
THANGAMAYL,78,0.5184,0.397
IZMO,78,0.3846,0.346
SEAMECLTD,77,0.2679,0.351
SAKAR,77,0.2123,0.312
SHREEPUSHK,77,0.1168,0.286
UNIVCABLES,76,0.3915,0.368
ARVSMART,76,0.3389,0.368
MANINDS,75,0.3837,0.36
DLINKINDIA,75,0.1956,0.32
DSSL,74,0.4595,0.365
KINGFA,73,0.1709,0.315
SCHNEIDER,73,0.1899,0.301
VENUSREM,73,0.6062,0.425
GRSE,73,0.3805,0.356
ESABINDIA,72,0.4202,0.389
GLOBUSSPR,72,0.2426,0.306
ZENTEC,72,0.4086,0.375
MARATHON,72,0.1563,0.306
AURIONPRO,71,0.5295,0.394
TAJGVK,71,0.0826,0.31
KIRLOSBROS,71,0.3024,0.352
SALZERELEC,71,0.2734,0.324
IMFA,70,0.618,0.414
ICEMAKE,70,0.3079,0.329
HBLENGINE,70,0.492,0.386
OPTIEMUS,69,0.1594,0.29
JINDRILL,69,0.2603,0.319
GMDCLTD,69,0.2259,0.319
APLAPOLLO,69,0.3545,0.348
PANAMAPET,69,0.4005,0.362
PGIL,69,0.418,0.362
BSE,68,0.7059,0.426
THEJO,68,0.2629,0.324
SOLEX,68,0.3529,0.338
LTFOODS,68,0.2247,0.338
BFUTILITIE,68,0.0906,0.265
ITI,68,-0.2059,0.221
ELGIEQUIP,68,0.2454,0.353
VIYASH,68,0.4211,0.382
NELCAST,68,0.0972,0.279
CANTABIL,67,0.0215,0.299
POKARNA,67,0.455,0.373
WELCORP,67,0.3933,0.388
ANTELOPUS,66,0.3476,0.379
GANESHHOU,66,0.412,0.364
WELENT,66,0.3047,0.333
BHAGYANGR,66,0.0359,0.273
GVT&D,66,0.609,0.424
KIRIINDUS,65,-0.0507,0.246
TRITURBINE,65,0.1008,0.277
DEEPAKFERT,65,0.4692,0.369
JAICORPLTD,65,0.0928,0.308
VIDHIING,65,0.2138,0.338
RADICO,65,0.6518,0.462
GAEL,65,0.12,0.308
POWERMECH,64,0.3328,0.375
DEEPAKNTR,64,0.3608,0.375
RAMKY,64,0.375,0.344
GENUSPOWER,64,0.2632,0.328
SARDAEN,64,0.285,0.344
NEULANDLAB,64,0.5625,0.391
SHAKTIPUMP,64,0.4854,0.375
NAVA,64,0.4182,0.375
ASTRAMICRO,64,0.3622,0.375
SUBROS,63,-0.0105,0.254
PITTIENG,63,0.5588,0.413
BHARATWIRE,63,0.0794,0.27
NLCINDIA,63,0.1716,0.333
CHENNPETRO,63,0.3767,0.349
MINDACORP,63,0.1215,0.302
ACE,63,0.4609,0.381
GMBREW,63,0.0401,0.286
BDL,63,0.2812,0.349
GUFICBIO,63,0.3888,0.381
MAITHANALL,63,0.0805,0.286
SHANTIGEAR,63,0.3196,0.365
ADANIGREEN,62,0.5871,0.419
AEGISLOG,62,0.3424,0.355
BORORENEW,62,0.2711,0.339
SHARDACROP,62,0.0981,0.274
VADILALIND,62,0.3291,0.387
SPAL,62,0.1057,0.29
ALLDIGI,62,-0.0703,0.258
JPOLYINVST,62,0.3548,0.339
SURYAROSNI,62,0.2347,0.323
VOLTAMP,61,0.3794,0.41
FIEMIND,61,0.2701,0.361
TCI,61,0.023,0.344
BETA,61,0.597,0.41
PUNJABCHEM,61,0.1984,0.344
SHARDAMOTR,61,0.3566,0.361
BBOX,61,0.5309,0.393
ASTRAZEN,61,0.4375,0.426
IIFLCAPS,61,0.1475,0.295
CEMPRO,60,0.5993,0.417
LINDEINDIA,60,0.504,0.45
UNOMINDA,60,0.4892,0.45
TCPLPACK,59,0.5802,0.424
RCF,59,0.1111,0.305
LUMAXIND,59,0.3438,0.407
RML,59,0.1512,0.305
GNFC,59,0.3802,0.39
SMLMAH,59,0.283,0.356
EIHAHOTELS,59,0.2191,0.305
MOTILALOFS,59,0.2354,0.322
RPGLIFE,59,0.4214,0.407
INTELLECT,59,0.5539,0.407
LGBBROSLTD,59,0.3971,0.407
GABRIEL,59,0.2757,0.322
ASHIANA,59,0.0637,0.305
KEI,59,0.576,0.475
ADFFOODS,59,0.2037,0.305
MCX,58,0.4483,0.397
GNA,58,0.2672,0.345
COSMOFIRST,58,0.2809,0.328
INDNIPPON,58,-0.0267,0.259
SOLARINDS,58,0.6498,0.466
TIMKEN,58,0.2429,0.379
