scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_1h_trend,gate_30m_squeeze,gate_15m_thrust,gate_diurnal_rvol,naive_baseline_fired,data_source_flags
MULTI_TF,HAL,400 IST,SIDEWAYS,400 IST,4824.2,4785.61,4882.09,4901.39,4920.68,4939.98,406 IST,4829.6,SESSION_CLOSE,0.1399,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,VIJAYA,424 IST,BULL,424 IST,1560.0,1547.52,1578.72,1584.96,1591.2,1597.44,425 IST,1547.52,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,VIYASH,188 IST,SIDEWAYS,188 IST,264.5,262.38,267.67,268.73,269.79,270.85,194 IST,265.65,SESSION_CLOSE,0.5435,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,ACE,476 IST,SIDEWAYS,476 IST,1246.7,1236.73,1261.66,1266.65,1271.63,1276.62,482 IST,1240.5,SESSION_CLOSE,-0.6216,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SCHNEIDER,232 IST,SIDEWAYS,232 IST,1214.9,1205.18,1229.48,1234.34,1239.2,1244.06,237 IST,1205.18,STOP_LOSS,-1.0,5,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SHYAMMETL,72 IST,BULL,72 IST,1105.7,1096.85,1118.97,1123.39,1127.81,1132.24,73 IST,1096.85,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SHYAMMETL,424 IST,SIDEWAYS,424 IST,1106.6,1097.75,1119.88,1124.31,1128.73,1133.16,425 IST,1097.75,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,MARKSANS,400 IST,SIDEWAYS,400 IST,324.2,321.61,328.09,329.39,330.68,331.98,403 IST,321.61,STOP_LOSS,-1.0,3,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,INDHOTEL,396 IST,SIDEWAYS,396 IST,726.95,721.13,735.67,738.58,741.49,744.4,402 IST,738.58,TARGET,2.0,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,GICRE,108 IST,SIDEWAYS,108 IST,356.55,353.7,360.83,362.25,363.68,365.11,114 IST,355.25,SESSION_CLOSE,-0.4558,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,GICRE,324 IST,SIDEWAYS,324 IST,350.0,347.2,354.2,355.6,357.0,358.4,325 IST,347.2,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,BPCL,172 IST,SIDEWAYS,172 IST,320.85,318.28,324.7,325.98,327.27,328.55,178 IST,320.1,SESSION_CLOSE,-0.2922,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,IOC,400 IST,SIDEWAYS,400 IST,134.75,133.67,136.37,136.91,137.44,137.98,406 IST,135.12,SESSION_CLOSE,0.3432,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,AETHER,400 IST,SIDEWAYS,400 IST,1649.0,1635.81,1668.79,1675.38,1681.98,1688.58,406 IST,1643.4,SESSION_CLOSE,-0.4245,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,WABAG,200 IST,SIDEWAYS,200 IST,2023.1,2006.92,2047.38,2055.47,2063.56,2071.65,206 IST,2013.9,SESSION_CLOSE,-0.5684,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,WABAG,424 IST,SIDEWAYS,424 IST,2140.7,2123.57,2166.39,2174.95,2183.51,2192.08,425 IST,2123.57,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,CDSL,400 IST,SIDEWAYS,400 IST,1368.6,1357.65,1385.02,1390.5,1395.97,1401.45,406 IST,1373.6,SESSION_CLOSE,0.4567,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,DYCL,404 IST,SIDEWAYS,404 IST,453.8,450.17,459.25,461.06,462.88,464.69,408 IST,461.06,TARGET,2.0,4,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,ASKAUTOLTD,400 IST,SIDEWAYS,400 IST,627.1,622.08,634.63,637.13,639.64,642.15,401 IST,637.13,TARGET,2.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SYRMA,400 IST,BULL,400 IST,1669.6,1656.24,1689.64,1696.31,1702.99,1709.67,402 IST,1696.31,TARGET,2.0,2,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
