scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_uptrend,gate_pullback_zone,gate_vol_dryup
PULLBACK,360ONE,2020-03-09 15:30:00 IST,BULL,2020-03-09 09:15:00 IST,350.3,318.15,398.52,414.6,430.67,446.75,2020-03-11 15:30:00 IST,318.15,STOP_LOSS,-1.0,2,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-03-22 15:30:00 IST,BULL,2021-03-22 09:15:00 IST,301.2,283.09,328.37,337.42,346.48,355.54,2021-04-01 15:30:00 IST,337.42,TARGET,2.0,8,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2021-05-07 15:30:00 IST,BULL,2021-05-07 09:15:00 IST,298.55,275.22,333.54,345.21,356.87,368.54,2021-05-17 15:30:00 IST,275.22,STOP_LOSS,-1.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2022-01-07 15:30:00 IST,BULL,2022-01-07 09:15:00 IST,380.0,356.79,414.82,426.42,438.03,449.64,2022-01-21 15:30:00 IST,407.15,TIME_EXPIRY,1.1696,10,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2023-02-08 15:30:00 IST,BULL,2023-02-08 09:15:00 IST,459.55,432.12,500.69,514.4,528.12,541.83,2023-02-22 15:30:00 IST,446.3,TIME_EXPIRY,-0.4831,10,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2023-11-02 15:30:00 IST,BULL,2023-11-02 09:15:00 IST,551.55,526.83,588.63,600.99,613.35,625.71,2023-11-07 15:30:00 IST,526.83,STOP_LOSS,-1.0,3,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2023-11-20 15:30:00 IST,BULL,2023-11-20 09:15:00 IST,546.6,519.75,586.88,600.31,613.73,627.16,2023-12-01 15:30:00 IST,600.31,TARGET,2.0,9,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2024-04-01 15:30:00 IST,BULL,2024-04-01 09:15:00 IST,696.8,657.89,755.16,774.62,794.08,813.53,2024-04-15 15:30:00 IST,750.8,TIME_EXPIRY,1.3878,10,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2024-05-16 15:30:00 IST,BULL,2024-05-16 09:15:00 IST,764.6,701.11,859.84,891.58,923.33,955.07,2024-05-30 15:30:00 IST,781.55,TIME_EXPIRY,0.267,10,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2024-09-24 15:30:00 IST,BULL,2024-09-24 09:15:00 IST,1078.55,1021.94,1163.46,1191.77,1220.07,1248.38,2024-09-26 15:30:00 IST,1021.94,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
PULLBACK,360ONE,2024-11-26 15:30:00 IST,BULL,2024-11-26 09:15:00 IST,1092.15,1034.41,1178.76,1207.63,1236.5,1265.37,2024-12-10 15:30:00 IST,1207.63,TARGET,2.0,10,83.0,False,UPSTOX_V3_FRESH_2026-09-26,True,True,True
