scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_ma_alignment,gate_vol_floor,gate_clv_floor,gate_breakout_pattern
TECHNICAL,360ONE,2021-02-05 15:30:00 IST,BULL,2021-02-05 09:15:00 IST,282.6,268.67,303.49,310.46,317.42,324.38,2021-02-11 15:30:00 IST,310.46,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,360ONE,2021-10-21 15:30:00 IST,BULL,2021-10-21 09:15:00 IST,441.55,419.11,475.22,486.44,497.66,508.88,2021-10-22 15:30:00 IST,419.11,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-08-23 15:30:00 IST,BULL,2017-08-23 09:15:00 IST,14361.1,13829.19,15158.97,15424.92,15690.88,15956.83,2017-09-08 15:30:00 IST,14620.85,TIME_EXPIRY,0.4883,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-11-03 15:30:00 IST,BULL,2017-11-03 09:15:00 IST,15411.15,14947.62,16106.44,16338.21,16569.97,16801.74,2017-11-06 15:30:00 IST,16338.21,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2017-12-26 15:30:00 IST,BULL,2017-12-26 09:15:00 IST,17384.7,16708.64,18398.79,18736.82,19074.84,19412.87,2017-12-27 15:30:00 IST,18736.82,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,3MINDIA,2021-03-01 15:30:00 IST,BULL,2021-03-01 09:15:00 IST,24148.65,22952.2,25943.32,26541.55,27139.77,27738.0,2021-03-08 15:30:00 IST,26541.55,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AARTIDRUGS,2018-01-03 15:30:00 IST,BULL,2018-01-03 09:15:00 IST,177.0,168.21,190.18,194.57,198.97,203.36,2018-01-09 15:30:00 IST,194.57,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AARTIDRUGS,2019-03-06 15:30:00 IST,BULL,2019-03-06 09:15:00 IST,157.2,150.5,167.26,170.61,173.96,177.32,2019-03-08 15:30:00 IST,170.61,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AARTIDRUGS,2020-02-26 15:30:00 IST,BULL,2020-02-26 09:15:00 IST,186.75,175.25,204.0,209.75,215.5,221.25,2020-02-28 15:30:00 IST,175.25,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AARTIDRUGS,2020-08-05 15:30:00 IST,BULL,2020-08-05 09:15:00 IST,470.4,440.26,515.6,530.67,545.74,560.8,2020-08-06 15:30:00 IST,530.67,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AARTIDRUGS,2020-08-21 15:30:00 IST,BULL,2020-08-21 09:15:00 IST,783.4,714.4,886.91,921.41,955.91,990.41,2020-08-25 15:30:00 IST,921.41,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AAVAS,2019-02-20 15:30:00 IST,BULL,2019-02-20 09:15:00 IST,938.9,903.75,991.63,1009.2,1026.78,1044.36,2019-02-22 15:30:00 IST,1009.2,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AAVAS,2021-01-04 15:30:00 IST,BULL,2021-01-04 09:15:00 IST,1867.05,1761.31,2025.66,2078.53,2131.4,2184.27,2021-01-05 15:30:00 IST,2078.53,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AAVAS,2021-02-08 15:30:00 IST,BULL,2021-02-08 09:15:00 IST,2067.2,1931.02,2271.48,2339.57,2407.66,2475.75,2021-02-10 15:30:00 IST,2339.57,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,AAVAS,2021-06-04 15:30:00 IST,BULL,2021-06-04 09:15:00 IST,2422.35,2321.44,2573.72,2624.18,2674.63,2725.09,2021-06-22 15:30:00 IST,2548.1,TIME_EXPIRY,1.2461,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2022-09-01 15:30:00 IST,BULL,2022-09-01 09:15:00 IST,3403.7,3248.18,3636.99,3714.75,3792.51,3870.27,2022-09-16 15:30:00 IST,3248.18,STOP_LOSS,-1.0,11,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2023-12-05 15:30:00 IST,BULL,2023-12-05 09:15:00 IST,4846.6,4673.91,5105.63,5191.98,5278.32,5364.66,2023-12-20 15:30:00 IST,4673.91,STOP_LOSS,-1.0,11,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2024-03-27 15:30:00 IST,BULL,2024-03-27 09:15:00 IST,6279.35,6031.36,6651.34,6775.34,6899.34,7023.34,2024-04-12 15:30:00 IST,6644.85,TIME_EXPIRY,1.4738,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2024-05-06 15:30:00 IST,BULL,2024-05-06 09:15:00 IST,6940.35,6673.17,7341.12,7474.71,7608.3,7741.89,2024-05-13 15:30:00 IST,7474.71,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2024-10-09 15:30:00 IST,BULL,2024-10-09 09:15:00 IST,8458.05,8077.21,9029.31,9219.73,9410.15,9600.57,2024-10-23 15:30:00 IST,8077.21,STOP_LOSS,-1.0,10,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABB,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,6859.5,6544.24,7332.39,7490.02,7647.66,7805.29,2026-04-22 15:30:00 IST,7490.02,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2018-04-12 15:30:00 IST,BULL,2018-04-12 09:15:00 IST,6071.45,5873.02,6369.09,6468.3,6567.52,6666.73,2018-04-13 15:30:00 IST,6468.3,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2019-09-03 15:30:00 IST,BULL,2019-09-03 09:15:00 IST,9445.9,9020.24,10084.38,10297.21,10510.04,10722.86,2019-09-19 15:30:00 IST,10219.15,TIME_EXPIRY,1.8166,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2019-09-20 15:30:00 IST,BULL,2019-09-20 09:15:00 IST,10219.15,9857.27,10761.97,10942.91,11123.85,11304.79,2019-09-23 15:30:00 IST,10942.91,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2020-02-07 15:30:00 IST,BULL,2020-02-07 09:15:00 IST,14103.15,13634.2,14806.58,15041.06,15275.53,15510.01,2020-02-10 15:30:00 IST,15041.06,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2021-07-30 15:30:00 IST,BULL,2021-07-30 09:15:00 IST,19012.75,18523.93,19745.98,19990.39,20234.8,20479.21,2021-08-02 15:30:00 IST,19990.39,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABBOTINDIA,2023-11-08 15:30:00 IST,BULL,2023-11-08 09:15:00 IST,24265.7,23567.9,25312.39,25661.29,26010.19,26359.09,2023-11-10 15:30:00 IST,23567.9,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2021-02-23 15:30:00 IST,BULL,2021-02-23 09:15:00 IST,112.8,105.04,124.43,128.31,132.19,136.06,2021-03-01 15:30:00 IST,128.31,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2022-10-27 15:30:00 IST,BULL,2022-10-27 09:15:00 IST,117.35,112.84,124.11,126.36,128.62,130.87,2022-11-07 15:30:00 IST,126.36,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2022-11-04 15:30:00 IST,BULL,2022-11-04 09:15:00 IST,124.15,119.82,130.65,132.82,134.99,137.16,2022-11-09 15:30:00 IST,132.82,TARGET,2.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2025-06-17 15:30:00 IST,BULL,2025-06-17 09:15:00 IST,255.11,245.01,270.25,275.3,280.35,285.4,2025-06-26 15:30:00 IST,275.3,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2025-12-09 15:30:00 IST,BULL,2025-12-09 09:15:00 IST,364.05,352.99,380.64,386.18,391.71,397.24,2025-12-15 15:30:00 IST,352.99,STOP_LOSS,-1.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABCAPITAL,2026-06-24 15:30:00 IST,BULL,2026-06-24 09:15:00 IST,394.8,377.37,420.94,429.65,438.37,447.08,2026-07-13 15:30:00 IST,407.45,TIME_EXPIRY,0.7259,12,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABDL,2024-12-02 15:30:00 IST,BULL,2024-12-02 09:15:00 IST,345.5,328.79,370.56,378.91,387.27,395.62,2024-12-09 15:30:00 IST,378.91,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABDL,2025-10-23 15:30:00 IST,BULL,2025-10-23 09:15:00 IST,625.45,596.24,669.27,683.88,698.48,713.09,2025-11-03 15:30:00 IST,683.88,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABDL,2025-10-31 15:30:00 IST,BULL,2025-10-31 09:15:00 IST,662.05,628.85,711.85,728.46,745.06,761.66,2025-11-07 15:30:00 IST,628.85,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
TECHNICAL,ABSLAMC,2023-12-18 15:30:00 IST,BULL,2023-12-18 09:15:00 IST,475.5,460.89,497.42,504.73,512.03,519.34,2023-12-21 15:30:00 IST,460.89,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True,True
