scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,pattern,gate_pattern,gate_rvol,gate_clv,naive_baseline_fired,data_source_flags
TECHNICAL_INTRADAY,SUNPHARMA,61 IST,BULL,61 IST,1913.0,1893.87,1941.7,1951.26,1960.82,1970.39,67 IST,1921.5,SESSION_CLOSE,0.4443,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,94 IST,BULL,94 IST,1926.2,1906.94,1955.09,1964.72,1974.36,1983.99,99 IST,1964.72,TARGET,2.0,5,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,148 IST,BULL,148 IST,1928.0,1908.72,1956.92,1966.56,1976.2,1985.84,154 IST,1920.2,SESSION_CLOSE,-0.4046,6,81.0,WYCKOFF_SPRING_TYPE_2,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,196 IST,BULL,196 IST,1904.1,1885.06,1932.66,1942.18,1951.7,1961.22,202 IST,1897.3,SESSION_CLOSE,-0.3571,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,199 IST,BULL,199 IST,1899.0,1880.01,1927.48,1936.98,1946.48,1955.97,205 IST,1904.5,SESSION_CLOSE,0.2896,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,211 IST,BULL,211 IST,1896.7,1877.73,1925.15,1934.63,1944.12,1953.6,217 IST,1889.0,SESSION_CLOSE,-0.406,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,223 IST,BULL,223 IST,1889.9,1871.0,1918.25,1927.7,1937.15,1946.6,229 IST,1888.0,SESSION_CLOSE,-0.1005,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,235 IST,BULL,235 IST,1892.4,1873.48,1920.79,1930.25,1939.71,1949.17,241 IST,1888.3,SESSION_CLOSE,-0.2167,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,244 IST,BULL,244 IST,1883.7,1864.86,1911.96,1921.37,1930.79,1940.21,250 IST,1897.4,SESSION_CLOSE,0.7273,6,81.0,BULL_FLAG,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
TECHNICAL_INTRADAY,SUNPHARMA,298 IST,BULL,298 IST,1850.0,1831.5,1877.75,1887.0,1896.25,1905.5,304 IST,1851.2,SESSION_CLOSE,0.0649,6,81.0,WYCKOFF_SPRING_TYPE_2,True,True,True,False,UPSTOX_V3_FRESH_2026-09-26
