symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_trend_stack,gate_rsi_corridor,gate_atr_tightness,gate_rvol_floor,gate_52w_proximity,gate_obv_slope,gate_triple_fault_veto,naive_baseline_fired,data_source_flags
3MINDIA,2026-03-02 15:30:00 IST,BEAR,2026-03-02 09:15:00 IST,1812.43,1721.81,1948.37,1993.68,2038.99,2084.3,2026-03-02 15:30:00 IST,1827.62,TIMEOUT,0.1676,15,82.0,True,True,False,True,True,True,True,True,NONE
3MINDIA,2026-04-23 15:30:00 IST,BULL,2026-04-23 09:15:00 IST,2052.96,1950.31,2206.93,2258.25,2309.58,2360.9,2026-04-23 15:30:00 IST,1950.31,SL_HIT,-1.0,8,82.0,True,True,False,True,True,True,True,True,NONE
AARTIIND,2025-05-28 15:30:00 IST,BULL,2025-05-28 09:15:00 IST,1596.43,1516.61,1716.17,1756.08,1795.99,1835.9,2025-05-28 15:30:00 IST,1591.55,TIMEOUT,-0.0612,15,82.0,True,True,False,True,True,True,True,True,NONE
AARTIIND,2025-08-12 15:30:00 IST,BEAR,2025-08-12 09:15:00 IST,1626.54,1545.21,1748.53,1789.2,1829.86,1870.53,2025-08-12 15:30:00 IST,1733.96,TIMEOUT,1.1604,15,82.0,True,True,False,True,True,True,True,True,NONE
AARTIIND,2025-09-03 15:30:00 IST,BEAR,2025-09-03 09:15:00 IST,1770.68,1682.15,1903.48,1947.75,1992.01,2036.28,2025-09-03 15:30:00 IST,1902.54,TIMEOUT,1.2447,15,82.0,True,True,True,True,True,True,True,True,NONE
AARTIIND,2025-09-15 15:30:00 IST,BEAR,2025-09-15 09:15:00 IST,1852.19,1759.58,1991.1,2037.4,2083.7,2130.01,2025-09-15 15:30:00 IST,1951.31,TIMEOUT,1.0352,15,82.0,True,True,True,True,True,True,True,True,NONE
AARTIIND,2025-11-28 15:30:00 IST,SIDEWAYS,2025-11-28 09:15:00 IST,2049.62,1947.14,2203.35,2254.59,2305.83,2357.08,2025-11-28 15:30:00 IST,1928.1,SL_HIT,-1.1858,5,82.0,True,True,False,True,True,True,True,True,NONE
ABB,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,6538.26,6211.35,7028.62,7192.08,7355.53,7518.99,2026-04-08 15:30:00 IST,7355.53,FULL_TARGET,1.75,9,82.0,True,True,True,True,True,True,True,True,NONE
ABB,2026-04-09 15:30:00 IST,BULL,2026-04-09 09:15:00 IST,6587.06,6257.71,7081.08,7245.76,7410.43,7575.11,2026-04-09 15:30:00 IST,7410.43,FULL_TARGET,1.75,8,82.0,True,True,True,True,True,True,True,True,NONE
ABB,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,6831.56,6489.98,7343.93,7514.72,7685.51,7856.3,2026-04-10 15:30:00 IST,7685.51,FULL_TARGET,1.75,7,82.0,True,True,False,True,True,True,True,True,NONE
ABB,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,7000.87,6650.82,7525.94,7700.96,7875.99,8051.01,2026-04-17 15:30:00 IST,7000.87,BE_EXIT,0.5,14,82.0,True,True,False,True,True,True,True,True,NONE
ABCAPITAL,2025-08-27 15:30:00 IST,BEAR,2025-08-27 09:15:00 IST,1834.04,1742.34,1971.59,2017.44,2063.29,2109.13,2025-08-27 15:30:00 IST,1897.16,TIMEOUT,0.8442,15,82.0,True,True,True,True,True,True,True,True,NONE
ABDL,2025-05-13 15:30:00 IST,BULL,2025-05-13 09:15:00 IST,1765.6,1677.32,1898.02,1942.17,1986.31,2030.45,2025-05-13 15:30:00 IST,1751.54,TIMEOUT,-0.1593,15,82.0,True,True,False,True,True,True,True,True,NONE
ABSLAMC,2026-02-18 15:30:00 IST,BEAR,2026-02-18 09:15:00 IST,884.68,840.45,951.03,973.14,995.26,1017.37,2026-02-18 15:30:00 IST,833.51,SL_HIT,-1.1568,8,82.0,True,True,True,True,True,True,True,True,NONE
ABSLAMC,2026-04-15 15:30:00 IST,BULL,2026-04-15 09:15:00 IST,1022.14,971.03,1098.8,1124.35,1149.9,1175.46,2026-04-15 15:30:00 IST,1040.62,TIMEOUT,0.3617,15,82.0,True,True,True,True,True,True,True,True,NONE
ABSLAMC,2026-06-10 15:30:00 IST,BULL,2026-06-10 09:15:00 IST,1083.16,1029.0,1164.39,1191.47,1218.55,1245.63,2026-06-10 15:30:00 IST,1083.16,BE_EXIT,0.5,5,82.0,True,True,True,True,True,True,True,True,NONE
ABSLAMC,2026-06-15 15:30:00 IST,BULL,2026-06-15 09:15:00 IST,1118.08,1062.18,1201.94,1229.89,1257.84,1285.79,2026-06-15 15:30:00 IST,1118.08,BE_EXIT,0.5,8,82.0,True,True,True,True,True,True,True,True,NONE
ACC,2025-07-22 15:30:00 IST,BEAR,2025-07-22 09:15:00 IST,2132.82,2026.17,2292.78,2346.11,2399.43,2452.75,2025-07-22 15:30:00 IST,2131.78,TIMEOUT,-0.0097,15,82.0,True,True,False,True,True,True,True,True,NONE
