scanner,gate_component,full_mean_R,ablated_mean_R,delta_mean_R,p_value,cohen_d,action_recommendation
MULTI_TF,MULTITF_CHALL_F_EXT_30,-0.9414,-2.0998,1.1583,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_E_EXT_25,-0.9414,-1.7914,0.85,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_G_COMPOSITE,-0.9414,-1.7694,0.828,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHAMPION_V1,-0.9414,-0.9414,0.0,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_B_CONSOLIDATION,-0.9414,-1.0313,0.0899,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_C_REGIME,-0.9414,-0.9414,0.0,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_D_EXT_22,-0.9414,-1.1363,0.1948,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_H_TIGHT_BASE,-0.9414,-6.2705,5.329,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_I_EARLY_IGNITION,-0.9414,-6.2705,5.329,0.99,0.0,FAIL (Expectancy <= 0.00R)
MULTI_TF,MULTITF_CHALL_A_DAILY,-0.9414,-0.6417,-0.2998,0.99,0.0,FAIL (Expectancy <= 0.00R)
