symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_1h_trend,gate_30m_bbwp_squeeze,gate_15m_thrust,gate_diurnal_rvol,naive_baseline_fired,data_source_flags
MEDPLUS,2026-01-02 14:15:00 IST,SIDEWAYS,2026-01-02 14:30:00 IST,839.0,808.9,899.2,899.2,914.25,929.3,2026-01-05 15:25:00 IST,808.0,SL_HIT,-1.03,1,100.0,True,True,True,True,True,NONE
SUNPHARMA,2026-03-23 14:15:00 IST,BULL,2026-03-23 14:30:00 IST,1900.0,1848.02,2003.96,2003.96,2029.95,2055.94,2026-03-24 15:25:00 IST,1770.57,SL_HIT,-2.49,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-03-25 14:15:00 IST,BULL,2026-03-25 14:30:00 IST,1900.0,1844.2,2011.6,2011.6,2039.5,2067.4,2026-03-27 15:25:00 IST,1780.59,SL_HIT,-2.14,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-03-30 14:15:00 IST,BULL,2026-03-30 14:30:00 IST,1900.0,1843.83,2012.34,2012.34,2040.43,2068.51,2026-04-01 15:25:00 IST,1757.33,SL_HIT,-2.54,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-04-02 14:15:00 IST,SIDEWAYS,2026-04-02 14:30:00 IST,1900.0,1840.11,2019.78,2019.78,2049.73,2079.67,2026-04-06 15:25:00 IST,1679.6,SL_HIT,-3.68,1,90.0,True,False,True,True,True,NONE
ATUL,2026-04-07 14:15:00 IST,SIDEWAYS,2026-04-07 14:30:00 IST,6709.0,6383.23,7360.54,7360.54,7523.43,7686.31,2026-04-08 15:25:00 IST,6269.21,SL_HIT,-1.35,1,100.0,True,False,True,True,True,NONE
ATUL,2026-04-09 14:15:00 IST,BULL,2026-04-09 14:30:00 IST,6709.0,6396.55,7333.9,7333.9,7490.12,7646.35,2026-04-10 15:25:00 IST,6396.55,SL_HIT,-1.0,1,100.0,True,False,True,True,True,NONE
ATUL,2026-04-13 14:15:00 IST,BULL,2026-04-13 14:30:00 IST,6709.0,6414.95,7297.1,7297.1,7444.12,7591.15,2026-04-15 15:25:00 IST,6376.72,SL_HIT,-1.13,1,100.0,True,False,True,True,True,NONE
ATUL,2026-04-16 14:15:00 IST,BULL,2026-04-16 14:30:00 IST,6709.0,6453.27,7220.46,7220.46,7348.32,7476.19,2026-04-30 15:25:00 IST,6783.16,EXPIRED_POS,0.29,10,100.0,True,False,True,True,True,NONE
ATUL,2026-04-20 14:15:00 IST,BULL,2026-04-20 14:30:00 IST,6709.0,6467.98,7191.04,7191.04,7311.55,7432.06,2026-05-04 15:25:00 IST,6916.28,EXPIRED_POS,0.86,10,100.0,True,False,True,True,True,NONE
