symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_5m_atr_momentum,gate_vwap_extension,gate_consolidation_coil,gate_volume_ignition,naive_baseline_fired,data_source_flags
INDIAMART,2026-03-09 10:15:00 IST,BEAR,2026-03-09 10:20:00 IST,2122.21,1967.34,2431.96,2431.95,2509.39,2586.82,2026-03-09 15:20:00 IST,1967.34,SL_HIT,-1.0,8,75.0,True,True,True,True,True,NONE
RADICO,2026-06-29 10:15:00 IST,BULL,2026-06-29 10:20:00 IST,3876.9,3702.32,4226.05,4226.06,4313.35,4400.64,2026-06-29 15:20:00 IST,4149.59,HORIZON_REACHED,1.562,20,75.0,True,True,True,True,True,NONE
RADICO,2026-07-06 10:15:00 IST,BULL,2026-07-06 10:20:00 IST,4106.7,3776.32,4767.46,4767.46,4932.65,5097.84,2026-07-06 15:20:00 IST,4459.22,HORIZON_REACHED,1.067,20,75.0,True,True,True,True,True,NONE
QUESS,2026-01-07 10:15:00 IST,BEAR,2026-01-07 10:20:00 IST,211.11,195.12,243.08,243.09,251.09,259.08,2026-01-07 15:20:00 IST,195.12,SL_HIT,-1.0,8,75.0,True,True,True,True,True,NONE
QUESS,2026-01-29 10:15:00 IST,BEAR,2026-01-29 10:20:00 IST,195.91,181.75,224.21,224.23,231.31,238.39,2026-01-29 15:20:00 IST,189.84,HORIZON_REACHED,-0.429,20,75.0,True,True,True,True,True,NONE
ICICIAMC,2025-10-24 10:15:00 IST,BEAR,2025-10-24 10:20:00 IST,1703.71,1662.3,1786.54,1786.53,1807.24,1827.94,2025-10-24 15:20:00 IST,1786.53,T1_HIT,2.0,6,75.0,True,True,True,True,True,NONE
FIRSTCRY,2026-01-05 10:15:00 IST,BEAR,2026-01-05 10:20:00 IST,299.25,280.7,336.35,336.35,345.62,354.9,2026-01-05 15:20:00 IST,280.7,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
FIRSTCRY,2026-02-10 10:15:00 IST,BEAR,2026-02-10 10:20:00 IST,283.45,260.24,329.87,329.87,341.47,353.08,2026-02-10 15:20:00 IST,260.24,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
HAL,2026-02-13 10:15:00 IST,BEAR,2026-02-13 10:20:00 IST,4177.69,3937.23,4658.61,4658.61,4778.84,4899.07,2026-02-13 15:20:00 IST,3937.23,SL_HIT,-1.0,7,75.0,True,True,True,True,True,NONE
JSLL,2026-07-31 10:15:00 IST,BEAR,2026-07-31 10:20:00 IST,586.15,542.1,674.25,674.25,696.27,718.3,2026-07-31 15:20:00 IST,542.1,SL_HIT,-1.0,6,75.0,True,True,True,True,True,NONE
DEEPINDS,2026-02-03 10:15:00 IST,BEAR,2026-02-03 10:20:00 IST,386.15,330.21,498.04,498.03,526.0,553.97,2026-02-03 15:20:00 IST,355.94,HORIZON_REACHED,-0.54,20,75.0,True,True,True,True,True,NONE
DEEPINDS,2026-06-02 10:15:00 IST,BULL,2026-06-02 10:20:00 IST,518.8,449.56,657.28,657.28,691.9,726.52,2026-06-02 15:20:00 IST,454.55,HORIZON_REACHED,-0.928,20,75.0,True,True,True,True,True,NONE
