scanner,gate_component,full_mean_R,ablated_mean_R,delta_mean_R,p_value,cohen_d,action_recommendation
TECHNICAL_INTRADAY,PATTERN_V_REVERSAL,0.0873,0.0271,-0.0603,0.1744,-0.0528,DEAD_WEIGHT (Strip)
TECHNICAL_INTRADAY,PATTERN_SHAKEOUT_RECLAIM,0.0873,-0.0402,-0.1276,0.0018,-0.1108,DEAD_WEIGHT (Strip)
TECHNICAL_INTRADAY,PATTERN_CUP_HANDLE,0.0873,0.1101,0.0228,0.6176,0.0198,MARGINAL
TECHNICAL_INTRADAY,PATTERN_MULTI_MONTH_BASE_BREAKOUT,0.0873,0.16,0.0727,0.1416,0.0632,MARGINAL
TECHNICAL_INTRADAY,PATTERN_BULL_FLAG,0.0873,0.1227,0.0353,0.5555,0.0307,MARGINAL
TECHNICAL_INTRADAY,PATTERN_BULL_PENNANT,0.0873,-0.1993,-0.2866,0.0383,-0.2494,DEAD_WEIGHT (Strip)
TECHNICAL_INTRADAY,PATTERN_WYCKOFF_SPRING_TYPE_2,0.0873,0.2427,0.1554,0.0004,0.1354,RETAIN
TECHNICAL_INTRADAY,PATTERN_DOUBLE_BOTTOM,0.0873,-0.0389,-0.1262,0.0527,-0.11,DEAD_WEIGHT (Strip)
TECHNICAL_INTRADAY,PATTERN_HIGHER_LOW_REVERSAL,0.0873,0.1458,0.0585,0.5072,0.0509,MARGINAL
TECHNICAL_INTRADAY,PATTERN_ASCENDING_TRIANGLE,0.0873,-0.1443,-0.2317,0.3347,-0.2016,DEAD_WEIGHT (Strip)
