symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
AARTIDRUGS,2025-12-23 15:30:00 IST,SIDEWAYS,2025-12-23 09:15:00 IST,410.15,385.54,447.06,459.37,471.67,483.98,2026-01-08 15:30:00 IST,385.54,STOP_LOSS,-1.0,12,89.0,V_REVERSAL,True,True,True,6.0,True,NONE
AARTIDRUGS,2026-01-28 15:30:00 IST,BEAR,2026-01-28 09:15:00 IST,382.65,359.69,417.08,428.57,440.05,451.53,2026-02-02 15:30:00 IST,417.08,TARGET_1,1.5,4,87.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
AARTIDRUGS,2026-04-27 15:30:00 IST,BULL,2026-04-27 09:15:00 IST,381.8,359.05,415.92,427.3,438.68,450.05,2026-05-13 15:30:00 IST,359.05,STOP_LOSS,-1.0,13,83.0,CUP_HANDLE,True,True,True,5.96,True,NONE
AARTIDRUGS,2026-05-04 15:30:00 IST,BULL,2026-05-04 09:15:00 IST,395.85,373.74,429.02,440.07,451.13,462.18,2026-05-11 15:30:00 IST,373.74,STOP_LOSS,-1.0,6,95.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,5.59,True,NONE
AARTIDRUGS,2026-06-22 15:30:00 IST,SIDEWAYS,2026-06-22 09:15:00 IST,376.4,363.18,396.23,402.84,409.45,416.06,2026-07-07 15:30:00 IST,396.23,TARGET_1,1.5,12,92.0,SHAKEOUT_RECLAIM,True,True,True,3.51,True,NONE
AADHARHFC,2025-12-01 15:30:00 IST,BEAR,2025-12-01 09:15:00 IST,484.8,477.1,496.35,500.2,504.05,507.9,2025-12-14 15:30:00 IST,496.35,TARGET_1,1.5,10,86.0,SHAKEOUT_RECLAIM,True,True,True,1.59,True,NONE
AADHARHFC,2026-01-21 15:30:00 IST,BEAR,2026-01-21 09:15:00 IST,470.8,464.07,480.89,484.26,487.63,490.99,2026-01-29 15:30:00 IST,480.89,TARGET_1,1.5,6,84.0,SHAKEOUT_RECLAIM,True,True,True,1.43,True,NONE
AADHARHFC,2026-05-05 15:30:00 IST,BULL,2026-05-05 09:15:00 IST,517.45,486.4,564.03,579.55,595.08,610.6,2026-05-11 15:30:00 IST,486.4,STOP_LOSS,-1.0,5,88.0,BULL_FLAG,True,True,True,6.0,True,NONE
AADHARHFC,2026-06-12 15:30:00 IST,SIDEWAYS,2026-06-12 09:15:00 IST,473.65,447.55,512.8,525.85,538.9,551.95,2026-06-18 15:30:00 IST,512.8,TARGET_1,1.5,5,89.0,SHAKEOUT_RECLAIM,True,True,True,5.51,True,NONE
AADHARHFC,2026-06-19 15:30:00 IST,SIDEWAYS,2026-06-19 09:15:00 IST,515.1,484.19,561.46,576.92,592.38,607.83,2026-07-05 15:30:00 IST,561.46,TARGET_1,1.5,11,89.0,V_REVERSAL,True,True,True,6.0,True,NONE
AARTIPHARM,2025-12-22 15:30:00 IST,SIDEWAYS,2025-12-22 09:15:00 IST,777.7,731.04,847.69,871.02,894.35,917.68,2025-12-28 15:30:00 IST,731.04,STOP_LOSS,-1.0,4,85.0,BULL_PENNANT,True,True,True,6.0,True,NONE
AARTIPHARM,2026-01-21 15:30:00 IST,BULL,2026-01-21 09:15:00 IST,792.22,744.69,863.52,887.28,911.04,934.81,2026-01-26 15:30:00 IST,744.69,STOP_LOSS,-1.0,3,91.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
AARTIPHARM,2026-05-06 15:30:00 IST,BULL,2026-05-06 09:15:00 IST,788.45,741.14,859.42,883.07,906.73,930.38,2026-05-10 15:30:00 IST,741.14,STOP_LOSS,-1.0,3,81.0,V_REVERSAL,True,True,True,6.0,True,NONE
AARTIPHARM,2026-08-10 15:30:00 IST,BULL,2026-08-10 09:15:00 IST,823.0,773.62,897.07,921.76,946.45,971.14,2026-08-10 15:30:00 IST,897.07,TARGET_1,1.5,1,94.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
360ONE,2025-09-09 15:30:00 IST,SIDEWAYS,2025-09-09 09:15:00 IST,1081.43,1041.8,1140.89,1160.69,1180.51,1200.32,2025-09-22 15:30:00 IST,1041.8,STOP_LOSS,-1.0,9,90.0,V_REVERSAL,True,True,True,3.66,True,NONE
360ONE,2025-12-05 15:30:00 IST,BULL,2025-12-05 09:15:00 IST,1125.53,1065.08,1216.2,1246.43,1276.66,1306.88,2026-01-02 15:30:00 IST,1138.42,TIMEOUT_20D,0.21,20,90.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,5.37,True,NONE
360ONE,2026-06-17 15:30:00 IST,SIDEWAYS,2026-06-17 09:15:00 IST,930.5,883.35,1001.23,1024.8,1048.38,1071.95,2026-06-22 15:30:00 IST,883.35,STOP_LOSS,-1.0,3,88.0,WYCKOFF_SPRING_TYPE_2,True,True,True,5.07,True,NONE
3MINDIA,2025-06-05 15:30:00 IST,SIDEWAYS,2025-06-05 09:15:00 IST,1245.09,1191.58,1325.36,1352.11,1378.86,1405.62,2025-07-03 15:30:00 IST,1245.14,TIMEOUT_20D,0.0,20,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.3,True,NONE
