symbol,near_contract,near_key,near_expiry,next_contract,next_key,next_expiry,sessions_count,start_date,end_date,sha256,clean_parquet
RELIANCE,RELIANCE26SEPFUT,NSE_FO|68777,2026-09-29,RELIANCE26OCTFUT,NSE_FO|48987,2026-10-27,40,2026-07-29,2026-09-23,55ebee153c6704a3a2507582c02bad48c13d98b57646524ae59f586a18d4a33b,data/clean_upstox_daily_oi/RELIANCE_daily_clean.parquet
HDFCBANK,HDFCBANK26SEPFUT,NSE_FO|68534,2026-09-29,HDFCBANK26OCTFUT,NSE_FO|48864,2026-10-27,40,2026-07-29,2026-09-23,5e561d7cb66dda2f0d7e52a95c47e5ed69414e5115a2324a91d1fb44051a3d38,data/clean_upstox_daily_oi/HDFCBANK_daily_clean.parquet
ICICIBANK,ICICIBANK26SEPFUT,NSE_FO|68542,2026-09-29,ICICIBANK26OCTFUT,NSE_FO|48874,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/ICICIBANK_daily_clean.parquet
SBIN,SBIN26SEPFUT,NSE_FO|68782,2026-09-29,SBIN26OCTFUT,NSE_FO|48994,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/SBIN_daily_clean.parquet
INFY,INFY26SEPFUT,NSE_FO|68553,2026-09-29,INFY26OCTFUT,NSE_FO|48886,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/INFY_daily_clean.parquet
TCS,TCS26SEPFUT,NSE_FO|68797,2026-09-29,TCS26OCTFUT,NSE_FO|49013,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/TCS_daily_clean.parquet
LT,LT26SEPFUT,NSE_FO|68620,2026-09-29,LT26OCTFUT,NSE_FO|48920,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/LT_daily_clean.parquet
AXISBANK,AXISBANK26SEPFUT,NSE_FO|68434,2026-09-29,AXISBANK26OCTFUT,NSE_FO|48736,2026-10-27,40,2026-07-29,2026-09-23,cbad52ab87c5aff30f53e42ade8bb2ab032aaac17fb05251f04b889fedaf7453,data/clean_upstox_daily_oi/AXISBANK_daily_clean.parquet
KOTAKBANK,KOTAKBANK26SEPFUT,NSE_FO|68610,2026-09-29,KOTAKBANK26OCTFUT,NSE_FO|48906,2026-10-27,40,2026-07-29,2026-09-23,fc3f2b631c81bb2b2e15af67d2d58b457c9ebbbd74fef0f95f44d6e49e5d4548,data/clean_upstox_daily_oi/KOTAKBANK_daily_clean.parquet
BHARTIARTL,BHARTIARTL26SEPFUT,NSE_FO|68449,2026-09-29,BHARTIARTL26OCTFUT,NSE_FO|48758,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/BHARTIARTL_daily_clean.parquet
MARUTI,MARUTI26SEPFUT,NSE_FO|68650,2026-09-29,MARUTI26OCTFUT,NSE_FO|48928,2026-10-27,40,2026-07-29,2026-09-23,4f36ff71a101234170d5c814dd66d2d016cd4f6922ef4313c70e367800f969ce,data/clean_upstox_daily_oi/MARUTI_daily_clean.parquet
SUNPHARMA,SUNPHARMA26SEPFUT,NSE_FO|68789,2026-09-29,SUNPHARMA26OCTFUT,NSE_FO|49003,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/SUNPHARMA_daily_clean.parquet
BAJFINANCE,BAJFINANCE26SEPFUT,NSE_FO|68442,2026-09-29,BAJFINANCE26OCTFUT,NSE_FO|48740,2026-10-27,40,2026-07-29,2026-09-23,9968936b2557dd0eccb80a8039d53dbaf4b42147b22b1fc71f3a76a8b6c09338,data/clean_upstox_daily_oi/BAJFINANCE_daily_clean.parquet
ITC,ITC26SEPFUT,NSE_FO|68558,2026-09-29,ITC26OCTFUT,NSE_FO|48896,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/ITC_daily_clean.parquet
TATASTEEL,TATASTEEL26SEPFUT,NSE_FO|68796,2026-09-29,TATASTEEL26OCTFUT,NSE_FO|49012,2026-10-27,40,2026-07-29,2026-09-23,08ae637759e1823de9c1260d2948331ad45a9fd8b2a40d0725a9e155c8dacb26,data/clean_upstox_daily_oi/TATASTEEL_daily_clean.parquet
HINDALCO,HINDALCO26SEPFUT,NSE_FO|68537,2026-09-29,HINDALCO26OCTFUT,NSE_FO|48867,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/HINDALCO_daily_clean.parquet
JSWSTEEL,JSWSTEEL26SEPFUT,NSE_FO|68564,2026-09-29,JSWSTEEL26OCTFUT,NSE_FO|48900,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/JSWSTEEL_daily_clean.parquet
POWERGRID,POWERGRID26SEPFUT,NSE_FO|68770,2026-09-29,POWERGRID26OCTFUT,NSE_FO|48980,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/POWERGRID_daily_clean.parquet
NTPC,NTPC26SEPFUT,NSE_FO|68750,2026-09-29,NTPC26OCTFUT,NSE_FO|48954,2026-10-27,40,2026-07-29,2026-09-23,9e68bbc27e8f194aaf0c83b88e1861df138dc992b2ccb3a87af716cbb29d779f,data/clean_upstox_daily_oi/NTPC_daily_clean.parquet
ONGC,ONGC26SEPFUT,NSE_FO|68755,2026-09-29,ONGC26OCTFUT,NSE_FO|48961,2026-10-27,40,2026-07-29,2026-09-23,427188c201d22515b9578f232ed5e53f6e77a87155ddbd9403b730f62b39d8d5,data/clean_upstox_daily_oi/ONGC_daily_clean.parquet
COALINDIA,COALINDIA26SEPFUT,NSE_FO|68463,2026-09-29,COALINDIA26OCTFUT,NSE_FO|48797,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/COALINDIA_daily_clean.parquet
ADANIENT,ADANIENT26SEPFUT,NSE_FO|68417,2026-09-29,ADANIENT26OCTFUT,NSE_FO|48711,2026-10-27,40,2026-07-29,2026-09-23,b4aeece8f655123e65cf1030db856ce050c05d1577e06e02e15f2bfb8f85f8cb,data/clean_upstox_daily_oi/ADANIENT_daily_clean.parquet
ADANIPORTS,ADANIPORTS26SEPFUT,NSE_FO|68419,2026-09-29,ADANIPORTS26OCTFUT,NSE_FO|48718,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/ADANIPORTS_daily_clean.parquet
BPCL,BPCL26SEPFUT,NSE_FO|68454,2026-09-29,BPCL26OCTFUT,NSE_FO|48774,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/BPCL_daily_clean.parquet
TITAN,TITAN26SEPFUT,NSE_FO|68800,2026-09-29,TITAN26OCTFUT,NSE_FO|49018,2026-10-27,0,nan,nan,c8b92a5d7e4ed7ad5a3baa47a027a9bf7f98711357383c4b7818d813395b5938,data/clean_upstox_daily_oi/TITAN_daily_clean.parquet
