date,symbol,regime,entry_price,sl_price,risk_rs,risk_pct,target_price,peak_price,rsi,vol_ratio,cpos,realized_r,pnl_per_share_rs,bars_held,outcome
2026-09-03,AAVAS,BEAR,1297.8,1228.03,69.77,5.38,1472.22,1318.0,26.4,1.63,0.84,0.09,6.28,1,Holding (+0.09R)
2026-08-25,ADANIPOWER,BEAR,206.33,200.42,5.91,2.86,221.11,217.4,39.9,3.53,0.91,-1.0,-5.91,4,❌ Stop Loss Hit (-1.0R)
2026-08-27,ADANIPOWER,BEAR,215.0,200.42,14.58,6.78,251.45,216.5,40.0,8.32,0.76,-1.0,-14.58,2,❌ Stop Loss Hit (-1.0R)
2026-09-01,ADANIPOWER,BEAR,204.36,197.01,7.35,3.6,222.74,211.33,39.8,2.83,0.68,0.39,2.87,3,Holding (+0.39R)
2026-09-03,AIAENG,NEUTRAL,4256.4,4104.86,151.54,3.56,4635.25,4272.4,32.0,2.3,0.65,-0.17,-25.76,1,Holding (-0.17R)
2026-08-24,ASHOKLEY,BEAR,173.29,170.79,2.5,1.44,179.54,181.84,39.7,3.17,0.82,2.5,6.25,3,✅ Target Hit (+2.5R)
2026-08-25,ASHOKLEY,BEAR,174.69,170.72,3.97,2.27,184.62,181.84,39.8,2.69,1.0,-1.0,-3.97,5,❌ Stop Loss Hit (-1.0R)
2026-08-26,ASHOKLEY,BEAR,179.05,170.72,8.33,4.65,199.88,181.84,39.9,4.49,0.89,-1.0,-8.33,4,❌ Stop Loss Hit (-1.0R)
2026-08-28,BAJAJCON,NEUTRAL,477.45,445.61,31.84,6.67,557.05,519.8,30.5,2.0,0.93,1.26,40.12,5,Holding (+1.26R)
2026-08-25,BLS,BEAR,243.32,232.3,11.02,4.53,270.87,245.9,42.0,2.29,0.71,-0.41,-4.52,8,Holding (-0.41R)
2026-08-28,BSOFT,BEAR,300.9,285.81,15.09,5.01,338.62,303.5,40.6,2.37,0.78,-0.77,-11.62,5,Holding (-0.77R)
2026-08-28,CAMS,NEUTRAL,762.0,735.3,26.7,3.5,828.75,786.4,37.8,2.44,1.0,-1.0,-26.7,3,❌ Stop Loss Hit (-1.0R)
