Rank,Configuration_ID,Timing,CLV_Weight,Comp_Weight,Fresh_Lambda,RS_Mom_Weight,Veto_Set,Capacity,N_Trades,ER,Total_R,Win_Rate,PF,MaxDD
1,CFG_15385,60m,1.0,0.5,0.15,0.5,101_WICK_REGIME,STATIC_5,51,2.751,140.32,100.0,999.0,0.0
2,CFG_15475,60m,1.0,0.5,0.15,0.5,111_ALL_THREE,STATIC_5,51,2.751,140.32,100.0,999.0,0.0
3,CFG_15389,60m,1.0,0.5,0.15,0.5,101_WICK_REGIME,TOP_3,51,2.751,140.32,100.0,999.0,0.0
4,CFG_15479,60m,1.0,0.5,0.15,0.5,111_ALL_THREE,TOP_3,51,2.751,140.32,100.0,999.0,0.0
5,CFG_15388,60m,1.0,0.5,0.15,0.5,101_WICK_REGIME,TOP_2,50,2.738,136.9,100.0,999.0,0.0
6,CFG_15333,45m,1.0,0.5,0.15,0.5,100_REGIME,TOP_2,60,2.737,164.24,96.7,121.45,0.86
7,CFG_15423,45m,1.0,0.5,0.15,0.5,110_LOOSE_REGIME,TOP_2,60,2.737,164.24,96.7,121.45,0.86
8,CFG_05665,60m,0.5,1.0,0.15,0.5,101_WICK_REGIME,STATIC_5,33,2.696,88.98,100.0,999.0,0.0
9,CFG_05669,60m,0.5,1.0,0.15,0.5,101_WICK_REGIME,TOP_3,33,2.696,88.98,100.0,999.0,0.0
10,CFG_05755,60m,0.5,1.0,0.15,0.5,111_ALL_THREE,STATIC_5,33,2.696,88.98,100.0,999.0,0.0
11,CFG_05759,60m,0.5,1.0,0.15,0.5,111_ALL_THREE,TOP_3,33,2.696,88.98,100.0,999.0,0.0
12,CFG_05666,60m,0.5,1.0,0.15,0.5,101_WICK_REGIME,DYNAMIC,33,2.696,88.98,100.0,999.0,0.0
13,CFG_05756,60m,0.5,1.0,0.15,0.5,111_ALL_THREE,DYNAMIC,33,2.696,88.98,100.0,999.0,0.0
14,CFG_05668,60m,0.5,1.0,0.15,0.5,101_WICK_REGIME,TOP_2,33,2.696,88.98,100.0,999.0,0.0
15,CFG_05758,60m,0.5,1.0,0.15,0.5,111_ALL_THREE,TOP_2,33,2.696,88.98,100.0,999.0,0.0
16,CFG_05485,60m,0.5,1.0,0.15,0.5,001_WICK,STATIC_5,33,2.696,88.98,100.0,999.0,0.0
17,CFG_05489,60m,0.5,1.0,0.15,0.5,001_WICK,TOP_3,33,2.696,88.98,100.0,999.0,0.0
18,CFG_05575,60m,0.5,1.0,0.15,0.5,011_WICK_LOOSE,STATIC_5,33,2.696,88.98,100.0,999.0,0.0
19,CFG_05579,60m,0.5,1.0,0.15,0.5,011_WICK_LOOSE,TOP_3,33,2.696,88.98,100.0,999.0,0.0
20,CFG_05486,60m,0.5,1.0,0.15,0.5,001_WICK,DYNAMIC,33,2.696,88.98,100.0,999.0,0.0
21,CFG_05576,60m,0.5,1.0,0.15,0.5,011_WICK_LOOSE,DYNAMIC,33,2.696,88.98,100.0,999.0,0.0
22,CFG_05488,60m,0.5,1.0,0.15,0.5,001_WICK,TOP_2,33,2.696,88.98,100.0,999.0,0.0
23,CFG_05578,60m,0.5,1.0,0.15,0.5,011_WICK_LOOSE,TOP_2,33,2.696,88.98,100.0,999.0,0.0
24,CFG_15378,45m,1.0,0.5,0.15,0.5,101_WICK_REGIME,TOP_2,52,2.681,139.44,96.2,103.26,0.86
25,CFG_15468,45m,1.0,0.5,0.15,0.5,111_ALL_THREE,TOP_2,52,2.681,139.44,96.2,103.26,0.86
