config_id,category,score_floor,exhaustion_cliff,freshness_lambda,rs_weight,veto_wick,veto_ext,trigger_30m,n_trades,total_r,er,wr,pf,max_dd,loo1_er,winsorized_er,avoided_loss_r,opp_cost_r,net_veto_r,traps_avoided,net_30m_r
DB_TOURN_000_V529_BENCHMARK,BENCHMARK,60.0,22.0,0.099,10.0,0.25,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2953.27,6249.93,-3296.66,105,-190.41
DB_TOURN_SWEEP_FLOOR_58,SWEEP_SCORE_FLOOR,58.0,22.0,0.099,10.0,0.25,2.5,True,1858,2275.95,1.225,84.5,11.48,3.00,1.224,1.223,2953.27,6249.93,-3296.66,114,-187.46
DB_TOURN_SWEEP_FLOOR_59,SWEEP_SCORE_FLOOR,59.0,22.0,0.099,10.0,0.25,2.5,True,1838,2262.67,1.231,84.7,11.71,3.00,1.230,1.229,2953.27,6249.93,-3296.66,107,-191.86
DB_TOURN_SWEEP_FLOOR_61,SWEEP_SCORE_FLOOR,61.0,22.0,0.099,10.0,0.25,2.5,True,1799,2236.40,1.243,85.2,12.19,3.00,1.242,1.241,2953.27,6249.93,-3296.66,105,-188.73
DB_TOURN_SWEEP_FLOOR_62,SWEEP_SCORE_FLOOR,62.0,22.0,0.099,10.0,0.25,2.5,True,1784,2218.79,1.244,85.1,12.16,3.00,1.243,1.241,2953.27,6249.93,-3296.66,104,-188.24
DB_TOURN_SWEEP_FLOOR_63,SWEEP_SCORE_FLOOR,63.0,22.0,0.099,10.0,0.25,2.5,True,1765,2203.89,1.249,85.3,12.37,3.00,1.247,1.246,2953.27,6249.93,-3296.66,104,-186.72
DB_TOURN_SWEEP_FLOOR_64,SWEEP_SCORE_FLOOR,64.0,22.0,0.099,10.0,0.25,2.5,True,1743,2182.17,1.252,85.5,12.61,3.00,1.251,1.250,2953.27,6249.93,-3296.66,104,-184.96
DB_TOURN_SWEEP_EXHAUST_18,SWEEP_EXHAUSTION,60.0,18.0,0.099,10.0,0.25,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2953.27,6249.93,-3296.66,105,-190.41
DB_TOURN_SWEEP_EXHAUST_20,SWEEP_EXHAUSTION,60.0,20.0,0.099,10.0,0.25,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2953.27,6249.93,-3296.66,105,-190.41
DB_TOURN_SWEEP_EXHAUST_24,SWEEP_EXHAUSTION,60.0,24.0,0.099,10.0,0.25,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2953.27,6249.93,-3296.66,105,-190.41
DB_TOURN_SWEEP_EXHAUST_26,SWEEP_EXHAUSTION,60.0,26.0,0.099,10.0,0.25,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2953.27,6249.93,-3296.66,105,-190.41
DB_TOURN_SWEEP_FRESH_3D,SWEEP_FRESHNESS,60.0,22.0,0.231,10.0,0.25,2.5,True,1804,2234.16,1.238,85.2,12.15,3.00,1.237,1.236,2953.27,6249.93,-3296.66,105,-189.04
DB_TOURN_SWEEP_FRESH_5D,SWEEP_FRESHNESS,60.0,22.0,0.1386,10.0,0.25,2.5,True,1809,2238.84,1.238,85.0,12.00,3.00,1.236,1.235,2953.27,6249.93,-3296.66,106,-188.77
DB_TOURN_SWEEP_FRESH_9D,SWEEP_FRESHNESS,60.0,22.0,0.077,10.0,0.25,2.5,True,1827,2255.75,1.235,84.8,11.79,3.00,1.234,1.232,2953.27,6249.93,-3296.66,104,-191.51
DB_TOURN_SWEEP_FRESH_12D,SWEEP_FRESHNESS,60.0,22.0,0.0578,10.0,0.25,2.5,True,1831,2257.52,1.233,84.8,11.76,3.00,1.232,1.231,2953.27,6249.93,-3296.66,104,-191.83
DB_TOURN_SWEEP_RS_OFF,SWEEP_RS_WEIGHT,60.0,22.0,0.099,0.0,0.25,2.5,True,1700,2131.55,1.254,86.1,13.02,3.00,1.253,1.251,2953.27,6249.93,-3296.66,99,-187.44
DB_TOURN_SWEEP_RS_LOW,SWEEP_RS_WEIGHT,60.0,22.0,0.099,5.0,0.25,2.5,True,1771,2192.48,1.238,85.4,12.32,3.00,1.237,1.236,2953.27,6249.93,-3296.66,99,-192.55
DB_TOURN_SWEEP_RS_HIGH,SWEEP_RS_WEIGHT,60.0,22.0,0.099,15.0,0.25,2.5,True,1859,2255.22,1.213,84.3,11.20,3.13,1.212,1.211,2953.27,6249.93,-3296.66,107,-192.90
DB_TOURN_SWEEP_VETO_WICK_200,SWEEP_VETO_WICK,60.0,22.0,0.099,10.0,0.2,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,3035.58,6529.02,-3493.44,105,-190.41
DB_TOURN_SWEEP_VETO_WICK_225,SWEEP_VETO_WICK,60.0,22.0,0.099,10.0,0.225,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2996.97,6386.64,-3389.67,105,-190.41
