event_id,sample_name,session_date,symbol,sector,regime,primary_archetype,confidence,v530_eligible,arch_a_alerts,arch_a_r,arch_b_alerts,arch_b_r,arch_c_alerts,arch_c_r,delta_b_vs_a_r,delta_c_vs_a_r
EVT_V6_0000001,SAMPLE_A_EARLY,2023-01-02,JSWSTEEL,NIFTY_METAL,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.672,1,2,3.203,0,0.0,2,2.238,-3.203,-0.965
EVT_V6_0000002,SAMPLE_A_EARLY,2023-01-02,BRITANNIA,NIFTY_FMCG,CHOPPY_RANGE,VCP_COIL,0.488,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000003,SAMPLE_A_EARLY,2023-01-02,SBIN,NIFTY_BANK,CHOPPY_RANGE,VCP_COIL,0.531,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000004,SAMPLE_A_EARLY,2023-01-02,NESTLEIND,NIFTY_FMCG,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.439,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000005,SAMPLE_A_EARLY,2023-01-02,INFY,NIFTY_IT,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.443,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000006,SAMPLE_A_EARLY,2023-01-02,SUNPHARMA,NIFTY_PHARMA,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.329,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000007,SAMPLE_A_EARLY,2023-01-02,ADANIENT,NIFTY_ENERGY,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.499,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000008,SAMPLE_A_EARLY,2023-01-02,TCS,NIFTY_IT,CHOPPY_RANGE,CLEAN_MOMENTUM_BREAKOUT,0.535,1,1,-0.96,1,-0.96,1,-0.96,0.0,0.0
EVT_V6_0000009,SAMPLE_A_EARLY,2023-01-02,POWERGRID,NIFTY_ENERGY,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.785,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000010,SAMPLE_A_EARLY,2023-01-02,ITC,NIFTY_FMCG,CHOPPY_RANGE,PULLBACK_KEY_LEVEL,0.668,1,1,-0.219,1,-0.219,1,-0.219,0.0,0.0
EVT_V6_0000011,SAMPLE_A_EARLY,2023-01-02,TITAN,NIFTY_CONSUMPTION,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.656,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000012,SAMPLE_A_EARLY,2023-01-02,TRENT,NIFTY_CONSUMPTION,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.506,1,3,0.362,1,-0.123,3,0.224,-0.485,-0.138
EVT_V6_0000013,SAMPLE_A_EARLY,2023-01-02,TATASTEEL,NIFTY_METAL,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.308,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000014,SAMPLE_A_EARLY,2023-01-02,OBEROIRLTY,NIFTY_REALTY,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.496,1,2,3.951,1,3.528,2,3.739,-0.423,-0.212
EVT_V6_0000015,SAMPLE_A_EARLY,2023-01-02,SWIGGY,NIFTY_CONSUMPTION,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.365,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000016,SAMPLE_A_EARLY,2023-01-02,ASIANPAINT,NIFTY_CONSUMPTION,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.519,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000017,SAMPLE_A_EARLY,2023-01-02,HINDALCO,NIFTY_METAL,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.472,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000018,SAMPLE_A_EARLY,2023-01-02,TECHM,NIFTY_IT,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.736,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000019,SAMPLE_A_EARLY,2023-01-02,CHOLAFIN,NIFTY_FIN_SERVICE,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.646,1,2,3.246,1,2.74,2,3.145,-0.506,-0.101
