config_id,mode,conf_threshold,quality_floor,collision_policy,dev_total_r,dev_e_r,dev_pf,delta_dev_r
CFG_ROUTER_056,HYBRID_PRIORITY,0.2,60.0,MULTI_SHARED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_057,HYBRID_PRIORITY,0.2,60.0,HYBRID_PROB_WEIGHTED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_065,HYBRID_PRIORITY,0.35,60.0,MULTI_SHARED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_066,HYBRID_PRIORITY,0.35,60.0,HYBRID_PROB_WEIGHTED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_074,HYBRID_PRIORITY,0.5,60.0,MULTI_SHARED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_075,HYBRID_PRIORITY,0.5,60.0,HYBRID_PROB_WEIGHTED,4594.367,0.9053,8.787,-335.566
CFG_ROUTER_038,HARD_MULTI,0.35,60.0,MULTI_SHARED,4564.404,1.4101,11.832,-365.529
CFG_ROUTER_039,HARD_MULTI,0.35,60.0,HYBRID_PROB_WEIGHTED,4564.404,1.4101,11.832,-365.529
CFG_ROUTER_029,HARD_MULTI,0.2,60.0,MULTI_SHARED,4559.557,1.3965,11.631,-370.376
CFG_ROUTER_030,HARD_MULTI,0.2,60.0,HYBRID_PROB_WEIGHTED,4559.557,1.3965,11.631,-370.376
CFG_ROUTER_083,HYBRID_SOFT_ELIGIBILITY,0.2,60.0,MULTI_SHARED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_084,HYBRID_SOFT_ELIGIBILITY,0.2,60.0,HYBRID_PROB_WEIGHTED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_092,HYBRID_SOFT_ELIGIBILITY,0.35,60.0,MULTI_SHARED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_093,HYBRID_SOFT_ELIGIBILITY,0.35,60.0,HYBRID_PROB_WEIGHTED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_101,HYBRID_SOFT_ELIGIBILITY,0.5,60.0,MULTI_SHARED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_102,HYBRID_SOFT_ELIGIBILITY,0.5,60.0,HYBRID_PROB_WEIGHTED,4542.485,0.8951,8.312,-387.448
CFG_ROUTER_055,HYBRID_PRIORITY,0.2,60.0,EXCLUSIVE_PRIMARY,3729.199,1.511,12.423,-1200.734
CFG_ROUTER_064,HYBRID_PRIORITY,0.35,60.0,EXCLUSIVE_PRIMARY,3729.199,1.511,12.423,-1200.734
CFG_ROUTER_073,HYBRID_PRIORITY,0.5,60.0,EXCLUSIVE_PRIMARY,3729.199,1.511,12.423,-1200.734
CFG_ROUTER_082,HYBRID_SOFT_ELIGIBILITY,0.2,60.0,EXCLUSIVE_PRIMARY,3711.915,1.504,12.362,-1218.018
CFG_ROUTER_091,HYBRID_SOFT_ELIGIBILITY,0.35,60.0,EXCLUSIVE_PRIMARY,3711.915,1.504,12.362,-1218.018
CFG_ROUTER_100,HYBRID_SOFT_ELIGIBILITY,0.5,60.0,EXCLUSIVE_PRIMARY,3711.915,1.504,12.362,-1218.018
CFG_ROUTER_059,HYBRID_PRIORITY,0.2,65.0,MULTI_SHARED,3538.098,0.9105,9.619,-1391.835
CFG_ROUTER_060,HYBRID_PRIORITY,0.2,65.0,HYBRID_PROB_WEIGHTED,3538.098,0.9105,9.619,-1391.835
CFG_ROUTER_068,HYBRID_PRIORITY,0.35,65.0,MULTI_SHARED,3538.098,0.9105,9.619,-1391.835
