symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,signal_rr,score,thrust_atr,ext_pct,realized_rr,exit_reason,exit_date,holding_period_bars,max_favorable_excursion_r,max_adverse_excursion_r,r1_hit_before_sl,r1_5_hit_before_sl,r2_hit_before_sl,post_sl_recovered_entry,post_sl_recovered_t1,post_sl_max_recovery_r
ADANIENSOL,EOD_CHAMPION_V1,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_B_SCORE80,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_C_EXTENSION,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_D_THRUST_030,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_E_COMBINED,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_F_CALIBRATED_SCORE,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_G_SWEET_SPOT,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,85.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
ADANIENSOL,EOD_CHALL_I_MONOTONIC_RUBRIC,2025-10-29,DEV,BULL,967.55,921.74,1059.17,2.0,90.0,0.37,0.89,0.37,EXPIRED_POS,2025-11-27,20,1.8,0.49,1,1,0,0,0,0.0
DATAMATICS,EOD_CHAMPION_V1,2025-10-29,DEV,BULL,969.7,911.58,1085.94,2.0,85.0,1.38,4.3,-1.0,SL_HIT,2025-11-03,3,0.69,1.16,0,0,0,0,0,-0.41
DATAMATICS,EOD_CHALL_A_THRUST,2025-10-29,DEV,BULL,969.7,911.58,1085.94,2.0,85.0,1.38,4.3,-1.0,SL_HIT,2025-11-03,3,0.69,1.16,0,0,0,0,0,-0.41
DATAMATICS,EOD_CHALL_B_SCORE80,2025-10-29,DEV,BULL,969.7,911.58,1085.94,2.0,85.0,1.38,4.3,-1.0,SL_HIT,2025-11-03,3,0.69,1.16,0,0,0,0,0,-0.41
DATAMATICS,EOD_CHALL_D_THRUST_030,2025-10-29,DEV,BULL,969.7,911.58,1085.94,2.0,85.0,1.38,4.3,-1.0,SL_HIT,2025-11-03,3,0.69,1.16,0,0,0,0,0,-0.41
DATAMATICS,EOD_CHALL_F_CALIBRATED_SCORE,2025-10-29,DEV,BULL,969.7,911.58,1085.94,2.0,70.0,1.38,4.3,-1.0,SL_HIT,2025-11-03,3,0.69,1.16,0,0,0,0,0,-0.41
GPPL,EOD_CHAMPION_V1,2025-10-29,DEV,BULL,161.02,153.54,175.98,2.0,100.0,0.29,0.68,2.0,T1_HIT,2025-11-07,6,2.2,0.58,1,1,1,0,0,0.0
GPPL,EOD_CHALL_B_SCORE80,2025-10-29,DEV,BULL,161.02,153.54,175.98,2.0,100.0,0.29,0.68,2.0,T1_HIT,2025-11-07,6,2.2,0.58,1,1,1,0,0,0.0
