symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
AADHARHFC,EOD_V2B_BASE15D_THRU1_3_CPOS65,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,-1.0,1,0
AADHARHFC,EOD_V2A_BASE20D_THRU1_5_CPOS70,2026-05-05,VAL,BULL,517.4500122070312,478.64,614.48,-1.0,1,0
AADHARHFC,EOD_V2B_BASE15D_THRU1_3_CPOS65,2026-05-05,VAL,BULL,517.4500122070312,478.64,614.48,-1.0,1,0
AADHARHFC,EOD_V2C_BASE20D_THRU1_4_HYBRID,2026-05-05,VAL,BULL,517.4500122070312,491.93,581.25,-1.0,1,0
AADHARHFC,EOD_V2D_BASE30D_THRU1_5_CPOS75,2026-05-05,VAL,BULL,517.4500122070312,478.64,626.12,-1.0,1,0
AADHARHFC,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-05-05,VAL,BULL,517.4500122070312,494.76,585.52,-1.0,1,0
AADHARHFC,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-06-15,HOLDOUT,NEUTRAL,488.95001220703125,469.44,547.48,3.0,0,1
ABB,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-04-08,VAL,BULL,6538.25927734375,6248.59,7407.27,3.0,0,1
ABBOTINDIA,EOD_V2A_BASE20D_THRU1_5_CPOS70,2026-07-06,HOLDOUT,NEUTRAL,26860.0,25074.0,31325.0,0.53,0,0
ABBOTINDIA,EOD_V2B_BASE15D_THRU1_3_CPOS65,2026-07-06,HOLDOUT,NEUTRAL,26860.0,25074.0,31325.0,0.53,0,0
ABBOTINDIA,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-07-06,HOLDOUT,NEUTRAL,26860.0,26146.86,28999.42,-1.0,1,0
ABSLAMC,EOD_V2C_BASE20D_THRU1_4_HYBRID,2026-02-11,VAL,BULL,839.8052978515625,791.47,960.64,0.64,0,0
ABSLAMC,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-02-11,VAL,BULL,839.8052978515625,796.84,968.7,3.0,0,1
ABSLAMC,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-02-18,VAL,BULL,884.6807861328125,844.11,1006.39,-1.0,1,0
ABSLAMC,EOD_V2C_BASE20D_THRU1_4_HYBRID,2026-06-10,HOLDOUT,BULL,1083.1572265625,1021.84,1236.45,0.55,0,0
ABSLAMC,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-06-10,HOLDOUT,BULL,1083.1572265625,1028.65,1246.68,0.25,0,0
ACE,EOD_V2B_BASE15D_THRU1_3_CPOS65,2025-10-20,DEV,BULL,1112.5,1055.7,1254.5,-1.0,1,0
ACE,EOD_V2C_BASE20D_THRU1_4_HYBRID,2026-06-12,HOLDOUT,NEUTRAL,931.0499877929688,878.8,1061.67,1.13,0,0
ACE,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-06-12,HOLDOUT,NEUTRAL,931.0499877929688,884.6,1070.4,1.25,0,0
ACE,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-06-22,HOLDOUT,BULL,1011.7000122070312,961.92,1161.04,-0.4,0,0
ACMESOLAR,EOD_V2E_BASE15D_MULTI_REGIME_T3R,2026-06-02,HOLDOUT,BULL,334.75,315.14,393.58,2.34,0,0
ACMESOLAR,EOD_V2C_BASE20D_THRU1_4_HYBRID,2026-06-29,HOLDOUT,BULL,379.25,353.06,444.72,-0.06,0,0
