symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
3MINDIA,EOD_ABL_2_NO_CPOS_FILTER,2026-02-20,VAL,BULL,1759.740496490145,1691.92,1929.29,67.82,2.5,1.5053,EXPIRED_POS,15
3MINDIA,EOD_ABL_1_NO_SPAN_FILTER,2026-03-02,VAL,BULL,1812.432308102259,1720.11,2043.24,92.32,2.5,0.1645,EXPIRED_POS,15
3MINDIA,EOD_ABL_1_NO_SPAN_FILTER,2026-04-23,VAL,BULL,2052.95830925519,1970.78,2258.4,82.18,2.5,-1.0,SL_HIT,7
AADHARHFC,EOD_V56_PRECISION_B_BASE20D_13X,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,30.16,2.5,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_PRECISION_C_SWEET15D,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,30.16,2.5,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_BALANCED_A_EXPANDED_125X,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,30.16,2.5,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_BALANCED_B_12D_EXPAND,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,30.16,2.5,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_BALANCED_C_MULTI_REG,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,575.95,30.16,2.5,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_BALANCED_D_TARGET_28R,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,585.0,30.16,2.8,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_CAPACITY_A_BROAD_12D,2026-01-02,VAL,NEUTRAL,500.54998779296875,470.39,566.9,30.16,2.2,-1.0,SL_HIT,11
AADHARHFC,EOD_V56_CAPACITY_B_HYBRID_SL,2026-01-02,VAL,NEUTRAL,500.54998779296875,482.74,545.07,17.81,2.5,-1.0,SL_HIT,5
