variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
EOD_ABL_2_NO_CPOS_FILTER,DEV,332,58.1,0.268,1.95,0.163,0.39,5.33,0.95,-0.68,13.1,N/A,+0.275R,+0.266R,0,80,252
EOD_ABL_2_NO_CPOS_FILTER,VAL,207,41.1,-0.077,0.83,-0.21,0.057,25.72,0.95,-0.79,11.8,N/A,-0.208R,-0.052R,0,34,173
EOD_ABL_2_NO_CPOS_FILTER,HOLDOUT,135,54.8,0.34,2.0,0.143,0.541,4.43,1.24,-0.75,12.9,N/A,+0.184R,+0.404R,0,39,96
EOD_ABL_1_NO_SPAN_FILTER,DEV,485,59.8,0.261,2.04,0.176,0.347,7.89,0.85,-0.62,13.6,N/A,+0.259R,+0.261R,0,107,378
EOD_ABL_1_NO_SPAN_FILTER,VAL,367,46.0,0.005,1.01,-0.098,0.098,26.95,0.88,-0.74,12.7,N/A,-0.155R,+0.029R,0,48,319
EOD_ABL_1_NO_SPAN_FILTER,HOLDOUT,187,50.8,0.187,1.52,0.032,0.348,7.65,1.07,-0.73,13.0,N/A,+0.265R,+0.162R,0,46,141
EOD_V56_PRECISION_B_BASE20D_13X,DEV,142,55.6,0.187,1.66,0.031,0.35,3.9,0.85,-0.64,13.0,N/A,+0.295R,+0.151R,0,36,106
EOD_V56_PRECISION_B_BASE20D_13X,VAL,97,34.0,-0.271,0.51,-0.449,-0.083,27.37,0.84,-0.84,11.0,N/A,-0.327R,-0.256R,0,20,77
EOD_V56_PRECISION_B_BASE20D_13X,HOLDOUT,69,58.0,0.325,1.93,0.053,0.616,7.5,1.16,-0.83,12.5,N/A,+0.370R,+0.307R,0,20,49
EOD_V56_PRECISION_C_SWEET15D,DEV,185,56.8,0.215,1.76,0.083,0.366,5.75,0.88,-0.66,12.9,N/A,+0.250R,+0.200R,0,56,129
EOD_V56_PRECISION_C_SWEET15D,VAL,127,33.9,-0.231,0.59,-0.387,-0.058,32.52,0.96,-0.84,11.1,N/A,-0.283R,-0.216R,0,28,99
