symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
AADHARHFC,EOD_CHALL_I_POWER_CLOSE_80,2026-05-05,VAL,BULL,517.4500122070312,494.76,574.18,-1.0,1,0
ADANIENSOL,EOD_CHAMP_G_SWEET_SPOT,2025-10-29,DEV,BULL,967.5499877929688,913.71,1102.15,0.48,0,0
ADANIPORTS,EOD_CHAMP_G_SWEET_SPOT,2025-11-12,DEV,BULL,1500.575927734375,1397.06,1759.37,-0.09,0,0
ADVENZYMES,EOD_CHALL_I_POWER_CLOSE_80,2026-04-27,VAL,BULL,329.1299743652344,310.44,375.85,2.5,0,1
ADVENZYMES,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-04-27,VAL,BULL,329.1299743652344,311.61,381.69,3.0,0,1
AETHER,EOD_CHALL_I_POWER_CLOSE_80,2026-06-22,HOLDOUT,BULL,1226.800048828125,1150.86,1416.65,2.5,0,1
AJANTPHARM,EOD_CHAMP_G_SWEET_SPOT,2026-02-25,VAL,BULL,3021.300048828125,2836.84,3482.45,-1.0,1,0
ALIVUS,EOD_CHAMP_G_SWEET_SPOT,2025-11-17,DEV,NEUTRAL,946.75,881.57,1109.7,-1.0,1,0
ALKEM,EOD_CHAMP_G_SWEET_SPOT,2026-06-30,HOLDOUT,NEUTRAL,5570.0,5285.94,6280.15,0.39,0,0
APCOTEXIND,EOD_CHALL_I_POWER_CLOSE_80,2026-05-05,VAL,BULL,410.1800231933594,390.23,460.06,2.5,0,1
APLAPOLLO,EOD_CHAMP_G_SWEET_SPOT,2025-10-01,DEV,NEUTRAL,1731.0999755859375,1645.03,1946.27,0.27,0,0
APLLTD,EOD_CHALL_I_POWER_CLOSE_80,2026-06-30,HOLDOUT,NEUTRAL,822.75,791.23,901.55,0.34,0,0
APOLLOHOSP,EOD_CHAMP_G_SWEET_SPOT,2026-01-06,VAL,NEUTRAL,7338.2578125,6893.16,8451.0,-1.0,1,0
ARE&M,EOD_CHALL_I_POWER_CLOSE_80,2026-04-22,VAL,NEUTRAL,893.3463134765625,843.68,1017.51,-1.0,1,0
ASIANPAINT,EOD_CHAMP_G_SWEET_SPOT,2026-01-12,VAL,BULL,2871.48681640625,2697.92,3305.4,-1.0,1,0
AUBANK,EOD_CHALL_I_POWER_CLOSE_80,2026-06-24,HOLDOUT,BULL,1067.199951171875,1022.79,1178.22,-1.0,1,0
BAJAJ-AUTO,EOD_CHAMP_G_SWEET_SPOT,2025-12-30,DEV,BULL,9153.1845703125,8570.71,10609.37,-0.17,0,0
BAJAJ-AUTO,EOD_CHAMP_G_SWEET_SPOT,2026-04-30,VAL,BULL,9855.3037109375,9296.79,11251.59,1.19,0,0
BAJAJ-AUTO,EOD_CHALL_H_TIGHT_BASE_1_4,2026-04-30,VAL,BULL,9855.3037109375,9296.79,11251.59,1.19,0,0
BAJAJ-AUTO,EOD_CHALL_I_POWER_CLOSE_80,2026-04-30,VAL,BULL,9855.3037109375,9520.47,10692.39,1.98,0,0
BAJAJ-AUTO,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-04-30,VAL,BULL,9855.3037109375,9541.4,10797.01,2.56,0,0
BALRAMCHIN,EOD_CHALL_I_POWER_CLOSE_80,2026-03-04,VAL,BULL,491.70001220703125,468.09,550.73,-1.0,1,0
BANKBEES.NS,EOD_CHAMP_G_SWEET_SPOT,2025-11-26,DEV,BULL,614.219970703125,596.27,659.09,-0.35,0,0
BERGEPAINT,EOD_CHAMP_G_SWEET_SPOT,2025-10-17,DEV,NEUTRAL,544.9000244140625,521.73,602.83,0.06,0,0
BERGEPAINT,EOD_CHALL_H_TIGHT_BASE_1_4,2025-10-17,DEV,NEUTRAL,544.9000244140625,521.73,602.83,0.06,0,0
BERGEPAINT,EOD_CHALL_I_POWER_CLOSE_80,2025-10-17,DEV,NEUTRAL,544.9000244140625,526.83,590.08,0.07,0,0
BERGEPAINT,EOD_CHALL_J_INSTITUTIONAL_SURGE,2025-10-17,DEV,NEUTRAL,544.9000244140625,527.96,595.72,2.46,0,0
BHARATFORG,EOD_CHALL_I_POWER_CLOSE_80,2025-11-19,DEV,BULL,1440.1787109375,1382.41,1584.6,-1.0,1,0
BPCL,EOD_CHAMP_G_SWEET_SPOT,2025-12-31,DEV,BULL,373.46502685546875,349.82,432.58,-1.0,1,0
CAMS,EOD_CHAMP_G_SWEET_SPOT,2025-10-27,DEV,BULL,782.1510009765625,739.89,887.8,-1.0,1,0
CANHLIFE,EOD_CHAMP_G_SWEET_SPOT,2026-05-19,VAL,BULL,1527.7227543466884,1464.08,1686.83,2.5,0,1
CAPLIPOINT,EOD_CHALL_I_POWER_CLOSE_80,2026-05-14,VAL,BULL,2019.799072265625,1914.69,2282.57,-0.0,0,0
CAPLIPOINT,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-05-14,VAL,BULL,2019.799072265625,1921.26,2315.42,3.0,0,1
CARYSIL,EOD_CHALL_I_POWER_CLOSE_80,2025-10-30,DEV,BULL,950.4000244140625,909.14,1053.55,2.5,0,1
CARYSIL,EOD_CHALL_J_INSTITUTIONAL_SURGE,2025-10-30,DEV,BULL,950.4000244140625,911.72,1066.44,3.0,0,1
CGCL,EOD_CHALL_I_POWER_CLOSE_80,2026-05-04,VAL,BULL,194.85000610351562,185.46,218.33,-1.0,1,0
CGCL,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-05-04,VAL,BULL,194.85000610351562,186.04,221.28,-1.0,1,0
CGCL,EOD_CHAMP_G_SWEET_SPOT,2026-06-30,HOLDOUT,BULL,227.66000366210938,213.28,263.61,2.5,0,1
CGCL,EOD_CHALL_H_TIGHT_BASE_1_4,2026-06-30,HOLDOUT,BULL,227.66000366210938,213.28,263.61,2.5,0,1
CHOICEIN,EOD_CHAMP_G_SWEET_SPOT,2025-10-31,DEV,BULL,836.5999755859375,796.85,935.97,-1.0,1,0
CIEINDIA,EOD_CHALL_I_POWER_CLOSE_80,2026-02-10,VAL,BULL,449.7343444824219,429.11,501.3,2.5,0,1
CIPLA,EOD_CHAMP_G_SWEET_SPOT,2025-07-25,DEV,BULL,1518.2564697265625,1433.78,1729.45,0.38,0,0
COLPAL,EOD_CHAMP_G_SWEET_SPOT,2026-07-20,HOLDOUT,NEUTRAL,2113.10009765625,1976.37,2454.93,-0.68,0,0
COLPAL,EOD_CHALL_H_TIGHT_BASE_1_4,2026-07-20,HOLDOUT,NEUTRAL,2113.10009765625,1976.37,2454.93,-0.68,0,0
COLPAL,EOD_CHALL_I_POWER_CLOSE_80,2026-07-20,HOLDOUT,NEUTRAL,2113.10009765625,2037.8,2301.35,-1.0,1,0
COLPAL,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-07-20,HOLDOUT,NEUTRAL,2113.10009765625,2042.5,2324.9,-1.0,1,0
CONCOR,EOD_CHAMP_G_SWEET_SPOT,2025-10-29,DEV,NEUTRAL,545.7219848632812,514.22,624.48,-1.0,1,0
CONCOR,EOD_CHALL_H_TIGHT_BASE_1_4,2025-10-29,DEV,NEUTRAL,545.7219848632812,514.22,624.48,-1.0,1,0
CRAFTSMAN,EOD_CHALL_I_POWER_CLOSE_80,2026-05-07,VAL,BULL,8626.4736328125,8205.73,9678.33,2.5,0,1
CUMMINSIND,EOD_CHAMP_G_SWEET_SPOT,2025-10-23,DEV,BULL,4022.0986328125,3813.97,4542.42,0.99,0,0
DCBBANK,EOD_CHAMP_G_SWEET_SPOT,2026-07-02,HOLDOUT,BULL,193.49000549316406,181.59,223.24,-1.0,1,0
DCMSHRIRAM,EOD_CHALL_I_POWER_CLOSE_80,2025-10-27,DEV,NEUTRAL,1265.9144287109375,1215.31,1392.43,2.5,0,1
DIVISLAB,EOD_CHAMP_G_SWEET_SPOT,2026-01-06,VAL,BULL,6642.5,6253.58,7614.8,-1.0,1,0
DRREDDY,EOD_CHALL_I_POWER_CLOSE_80,2026-04-23,VAL,BULL,1322.6124267578125,1265.73,1464.82,-1.0,1,0
EDELWEISS,EOD_CHALL_I_POWER_CLOSE_80,2026-01-02,VAL,BULL,113.91999816894531,108.57,127.29,-1.0,1,0
EICHERMOT,EOD_CHALL_I_POWER_CLOSE_80,2026-02-11,VAL,BULL,7771.0,7460.03,8548.43,-0.05,0,0
ELGIEQUIP,EOD_CHALL_I_POWER_CLOSE_80,2026-02-03,VAL,NEUTRAL,490.0643310546875,466.03,550.15,-1.0,1,0
ENRIN,EOD_CHALL_I_POWER_CLOSE_80,2026-05-20,VAL,BULL,3459.60009765625,3271.06,3930.95,2.5,0,1
EXIDEIND,EOD_CHALL_I_POWER_CLOSE_80,2026-07-17,HOLDOUT,BULL,435.20001220703125,417.09,480.48,2.5,0,1
FIVESTAR,EOD_CHALL_I_POWER_CLOSE_80,2025-10-29,DEV,BULL,605.0499877929688,576.12,677.37,-0.4,0,0
FLUOROCHEM,EOD_CHALL_I_POWER_CLOSE_80,2026-07-15,HOLDOUT,BULL,4131.60009765625,3952.89,4578.38,2.5,0,1
FORTIS,EOD_CHALL_I_POWER_CLOSE_80,2026-02-26,VAL,BULL,963.6500244140625,927.04,1055.18,-1.0,1,0
GARFIBRES,EOD_CHALL_I_POWER_CLOSE_80,2026-06-19,HOLDOUT,BULL,796.4000244140625,751.84,907.8,-1.0,1,0
GENUSPOWER,EOD_CHALL_I_POWER_CLOSE_80,2026-06-23,HOLDOUT,BULL,345.54998779296875,326.25,393.8,-1.0,1,0
GICRE,EOD_CHAMP_G_SWEET_SPOT,2026-02-09,VAL,BULL,384.0,358.4,448.0,-0.45,0,0
GLENMARK,EOD_CHALL_I_POWER_CLOSE_80,2026-04-23,VAL,BULL,2335.0,2230.11,2597.22,0.05,0,0
GNA,EOD_CHALL_I_POWER_CLOSE_80,2026-07-13,HOLDOUT,BULL,529.25,492.44,621.28,-1.0,1,0
GNA,EOD_CHALL_J_INSTITUTIONAL_SURGE,2026-07-13,HOLDOUT,BULL,529.25,494.74,632.78,-1.0,1,0
GPPL,EOD_CHAMP_G_SWEET_SPOT,2025-10-29,DEV,BULL,161.0216522216797,150.94,186.23,1.62,0,0
GPPL,EOD_CHALL_H_TIGHT_BASE_1_4,2025-10-29,DEV,BULL,161.0216522216797,150.94,186.23,1.62,0,0
GPPL,EOD_CHALL_I_POWER_CLOSE_80,2025-10-29,DEV,BULL,161.0216522216797,154.98,176.13,2.5,0,1
HAL,EOD_CHALL_I_POWER_CLOSE_80,2026-05-04,VAL,BULL,4559.5,4416.36,4917.35,-1.0,1,0
HAPPYFORGE,EOD_CHALL_I_POWER_CLOSE_80,2025-12-23,DEV,BULL,1095.147216796875,1043.96,1223.12,-0.06,0,0
HAPPYFORGE,EOD_CHAMP_G_SWEET_SPOT,2025-12-30,DEV,BULL,1120.283935546875,1042.23,1315.42,-1.0,1,0
HBLENGINE,EOD_CHALL_I_POWER_CLOSE_80,2025-10-27,DEV,BULL,989.8953247070312,936.09,1124.41,0.67,0,0
HBLENGINE,EOD_CHALL_I_POWER_CLOSE_80,2026-04-22,VAL,NEUTRAL,816.4000244140625,770.17,931.98,-0.71,0,0
HCLTECH,EOD_CHALL_I_POWER_CLOSE_80,2025-11-19,DEV,BULL,1603.2666015625,1560.96,1709.03,-1.0,1,0
HCLTECH,EOD_CHALL_J_INSTITUTIONAL_SURGE,2025-11-19,DEV,BULL,1603.2666015625,1563.6,1722.27,-1.0,1,0
HINDCOPPER,EOD_CHALL_I_POWER_CLOSE_80,2026-01-28,VAL,BULL,632.3861083984375,588.62,741.8,2.5,0,1
HINDPETRO,EOD_CHALL_I_POWER_CLOSE_80,2025-12-31,DEV,BULL,499.04998779296875,481.78,542.22,-1.0,1,0
HSCL,EOD_CHALL_I_POWER_CLOSE_80,2025-10-29,DEV,BULL,485.0919494628906,465.43,534.25,-1.0,1,0
IGIL,EOD_CHALL_I_POWER_CLOSE_80,2025-11-06,DEV,BULL,364.8854064941406,348.07,406.92,-1.0,1,0
IIFLCAPS,EOD_CHALL_I_POWER_CLOSE_80,2025-10-14,DEV,BULL,324.2306213378906,307.41,366.28,2.5,0,1
IKS,EOD_CHALL_I_POWER_CLOSE_80,2026-07-01,HOLDOUT,BULL,1800.199951171875,1724.85,1988.57,0.2,0,0
INDIAGLYCO,EOD_CHALL_I_POWER_CLOSE_80,2026-04-29,VAL,BULL,1030.800048828125,980.27,1157.13,2.5,0,1
INDIASHLTR,EOD_CHAMP_G_SWEET_SPOT,2026-05-21,VAL,BULL,3120.750731197023,2953.59,3538.65,-0.76,0,0
INDIGOPNTS,EOD_CHALL_I_POWER_CLOSE_80,2025-11-10,DEV,BULL,1155.3499755859375,1103.05,1286.1,2.5,0,1
