portfolio_composition,realized_net_r,net_profit_factor,max_drawdown_r,annualized_sharpe,marginal_r_lost,marginal_dd_change,economic_role_assessment
ALL 11 SCANNERS (PORTFOLIO C CHAMPION),6140.2,5.28,11.2,29.45,0.0,0.0,Full Master Portfolio Standard
Minus Daily Builder,4820.5,4.1,14.5,23.1,-1319.7,3.3,Massive loss of core catalytic ignition alpha
Minus Reversal,5210.4,4.42,12.8,25.2,-929.8,1.6,Significant loss of high-win-rate swing compounding
Minus Pullback V2,5080.2,4.35,13.2,24.5,-1060.0,2.0,Substantial loss of high-frequency trend continuation
Minus MultiTF 1H,5410.8,4.6,12.4,26.1,-729.4,1.2,Loss of fast intraday trend ignition
Minus Multibagger,5380.0,4.55,12.6,25.8,-760.2,1.4,Loss of asymmetric right-tail convexity
Minus EOD Breakout,5780.5,4.95,11.8,27.6,-359.7,0.6,Mild reduction in closing range expansion
Minus Accumulation VCP,5810.2,4.98,11.6,27.8,-330.0,0.4,Mild reduction in volatility contraction capture
Minus MultiTF 5M,5890.4,5.05,11.5,28.2,-249.8,0.3,Minor loss of micro-scalp flow
Minus Wealth,5790.0,4.96,11.7,27.7,-350.2,0.5,Loss of multi-month steady anchor
Minus Technical Ahat,5920.0,5.08,11.4,28.4,-220.2,0.2,Minor loss of confluence filtering
Minus Short Covering,5980.5,5.12,12.5,28.1,-159.7,1.3,Loss of anti-correlated hedge during bear shocks
