scanner,sample_n,win_rate_pct,avg_winner_r,avg_loser_r,win_loss_ratio,expectancy_r,profit_factor,net_expectancy_r,max_drawdown_r,mfe_r,mae_r,mfe_capture_pct,r5_plus_count,r10_plus_count,avg_alerts_per_day,concurrent_positions
Daily Builder,972,43.52,1.54,0.42,3.67,0.471,3.82,0.471,9.32,2.15,0.58,54.71,42,12,3.41,1.8
Reversal,115,60.87,1.48,0.48,3.08,0.7188,4.22,0.7188,2.1,2.45,0.42,61.2,18,5,0.4,0.8
Pullback V2,577,53.21,1.42,0.52,2.73,0.538,3.01,0.538,4.2,2.1,0.49,58.4,34,8,2.02,1.5
MultiTF 1H,241,48.96,1.58,0.56,2.82,0.5502,2.45,0.5502,3.8,2.3,0.54,56.1,16,4,0.85,1.1
Multibagger,89,40.43,2.85,0.65,4.38,0.7018,2.41,0.7018,5.2,4.8,0.62,52.3,22,11,0.31,0.9
EOD Breakout,784,54.65,0.95,0.58,1.64,0.221,1.95,0.221,6.4,1.65,0.55,48.9,8,1,2.75,2.1
Accumulation VCP,612,53.55,1.05,0.61,1.72,0.251,2.08,0.251,5.8,1.75,0.52,50.2,10,2,2.15,1.7
MultiTF 5M,980,43.1,0.82,0.45,1.82,0.1801,1.62,0.1801,7.1,1.35,0.48,46.5,4,0,3.44,1.4
Wealth,154,34.24,2.1,0.75,2.8,0.299,1.58,0.299,8.5,3.4,0.71,44.2,14,6,0.54,1.2
Technical Ahat,420,38.5,1.12,0.58,1.93,0.16,1.39,0.16,6.9,1.55,0.56,45.1,6,1,1.47,1.0
Short Covering,314,38.2,1.25,0.62,2.02,0.246,1.54,0.246,7.8,1.85,0.59,47.8,9,2,1.1,0.8
