scanner,normal_baseline_er,normal_baseline_wr,gem_active_er,gem_active_wr,strong_mkt_no_gem_er,strong_mkt_no_gem_wr,matched_control_er,matched_control_wr,macro_market_lift_er,pure_gem_alpha_er,attribution_verdict
Reversal,0.7188,60.87,0.942,69.44,0.785,64.2,0.742,62.5,0.0662,0.157,70.3% Alpha Lift from Gem State
Pullback V2,0.538,53.21,0.745,61.15,0.612,56.4,0.584,55.1,0.074,0.133,64.3% Alpha Lift from Gem State
MultiTF 1H,0.5502,48.96,0.812,58.2,0.648,52.8,0.612,51.4,0.0978,0.164,62.6% Alpha Lift from Gem State
Multibagger,0.7018,40.43,1.045,48.65,0.824,43.8,0.785,42.6,0.1222,0.221,64.4% Alpha Lift from Gem State
EOD Breakout,0.221,54.65,0.384,62.4,0.295,58.1,0.285,57.2,0.074,0.089,54.6% Alpha Lift from Gem State
Accumulation VCP,0.251,53.55,0.392,59.8,0.312,56.4,0.301,55.8,0.061,0.08,56.7% Alpha Lift from Gem State
MultiTF 5M,0.1801,43.1,0.325,51.5,0.245,46.8,0.218,45.2,0.0649,0.08,55.2% Alpha Lift from Gem State
Wealth,0.299,34.24,0.442,39.8,0.358,36.5,0.342,35.8,0.059,0.084,58.7% Alpha Lift from Gem State
Technical Ahat,0.16,38.5,0.285,45.2,0.215,41.8,0.202,40.6,0.055,0.07,56.0% Alpha Lift from Gem State
Short Covering,0.246,38.2,0.051,28.5,0.124,32.1,0.185,34.5,-0.122,-0.073,Authentic Anti-Correlated Decoupling
