trade_id,symbol,date,regime_group,sample_type,entry_price,current_sl,adaptive_sl,current_r,adaptive_r,delta_r,current_exit_reason,adaptive_exit_reason,current_mfe,adaptive_mfe,current_mae,adaptive_mae
1,AARTIIND,2025-05-28,BULL,IS,1596.4337281564212,1516.61,1540.56,-0.0612,-1.0,-0.9388,TIMEOUT,SL_HIT,0.33,0.47,0.82,1.02
2,AARTIIND,2025-06-25,BULL,IS,1601.2102372195886,1521.15,1545.17,-1.0858,-1.3417,-0.2559,SL_HIT,SL_HIT,0.18,0.26,1.18,1.43
3,ABCAPITAL,2025-04-25,BULL,IS,1603.7834791756998,1523.59,1547.65,0.0459,0.0656,0.0197,TIMEOUT,TIMEOUT,0.52,0.75,0.33,0.47
4,ABCAPITAL,2025-08-26,BEAR,IS,1833.2205489087178,1741.56,1769.06,0.7921,0.9173,0.1252,TIMEOUT,TIMEOUT,1.01,1.44,0.21,0.3
5,ABCAPITAL,2025-08-27,BEAR,IS,1834.0386518874175,1742.34,1769.85,0.8442,0.9917,0.1475,TIMEOUT,TIMEOUT,1.0,1.43,0.22,0.31
6,ABCAPITAL,2025-09-19,BEAR,IS,1920.521367175176,1824.5,1853.3,-1.0,0.3384,1.3384,SL_HIT,BE_EXIT,0.85,1.22,1.02,0.43
7,ABCAPITAL,2026-07-27,BULL,IS,1832.0967973291936,1740.49,1767.97,-1.0295,-1.0327,-0.0032,SL_HIT,SL_HIT,0.0,0.0,1.12,1.15
8,ABDL,2025-05-13,BULL,IS,1765.601984491879,1677.32,1703.81,-0.1593,-1.2217,-1.0624,TIMEOUT,SL_HIT,0.0,0.0,0.94,1.35
9,ABDL,2026-08-17,OOS,OOS,2007.556999089356,1907.18,1937.29,-14.1144,-20.1625,-6.0481,SL_HIT,SL_HIT,0.06,0.08,14.18,20.25
10,ABSLAMC,2026-02-18,BEAR,IS,884.6807861328125,840.45,837.63,-1.1568,-1.0875,0.0693,SL_HIT,SL_HIT,0.61,0.58,1.16,1.09
11,ABSLAMC,2026-02-20,BEAR,IS,895.460693359375,850.69,848.55,-1.3837,-1.3205,0.0632,SL_HIT,SL_HIT,0.36,0.35,1.38,1.32
12,ABSLAMC,2026-02-24,BEAR,IS,904.4845581054688,859.26,859.07,-1.5693,-1.5627,0.0066,SL_HIT,SL_HIT,0.15,0.15,1.57,1.56
13,ABSLAMC,2026-05-05,BULL,IS,1038.5743408203125,986.65,955.49,0.5,-1.0,-1.5,BE_EXIT,SL_HIT,1.11,0.69,0.27,1.0
14,ABSLAMC,2026-06-18,BULL,IS,1138.568603515625,1081.64,1059.46,-0.5329,-0.3835,0.1494,TIMEOUT,TIMEOUT,0.99,0.71,0.89,0.64
15,ABSLAMC,2026-06-19,BULL,IS,1151.7386474609375,1094.15,1074.26,-1.0,-0.4281,0.5719,SL_HIT,TIMEOUT,0.75,0.56,1.09,0.82
16,ABSLAMC,2026-06-29,BULL,IS,1142.17822265625,1085.07,1050.8,-0.8917,-0.5573,0.3344,TIMEOUT,TIMEOUT,0.56,0.35,0.95,0.6
17,ACC,2025-06-30,BULL,IS,2004.9149755563908,1904.67,1934.74,0.786,1.0614,0.2754,TIMEOUT,TIMEOUT,0.89,1.27,0.3,0.42
18,ACC,2025-07-22,BEAR,IS,2132.8157628560375,2026.17,2058.17,-0.0097,-0.0139,-0.0042,TIMEOUT,TIMEOUT,0.46,0.66,0.25,0.36
