symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
AARTIIND,HIGHER_LOW_REVERSAL,2026-07-22,2026,OOS_2026,BULL,87.0,2134.38,2006.32,2326.48,6.0,0.82,1.58,0.18,LOSS,-1.0,1,-6.0,0.0,12.95,2026-07-23,2006.32,STOP_LOSS
ABSLAMC,HIGHER_LOW_REVERSAL,2025-12-30,2025,VAL_2025,BULL,89.0,808.49,759.98,881.26,6.0,0.84,3.36,0.16,LOSS,-1.0,9,-6.0,0.69,1.18,2026-01-12,759.98,STOP_LOSS
ACMESOLAR,HIGHER_LOW_REVERSAL,2026-05-11,2026,OOS_2026,SIDEWAYS,83.0,290.25,272.83,316.38,6.0,0.75,2.4,0.25,LOSS,-1.0,5,-6.0,0.44,1.3,2026-05-18,272.83,STOP_LOSS
ADANIENSOL,HIGHER_LOW_REVERSAL,2025-10-23,2025,VAL_2025,BULL,82.0,952.4,903.61,1025.59,5.12,0.83,1.5,0.17,WIN,2.0,15,10.25,2.0,0.71,2025-11-14,1049.98,TARGET_1
ADVAIT,HIGHER_LOW_REVERSAL,2026-06-09,2026,OOS_2026,BULL,92.0,2346.2,2205.43,2557.35,6.0,0.87,2.74,0.13,LOSS,-1.0,2,-6.0,0.1,1.12,2026-06-11,2205.43,STOP_LOSS
AEGISVOPAK,HIGHER_LOW_REVERSAL,2026-01-07,2026,OOS_2026,BULL,91.0,1451.59,1385.55,1550.66,4.55,0.94,1.5,0.06,SCRATCH,0.15,25,0.67,0.96,0.84,2026-02-11,1461.31,TIME_EXPIRY
AGARWALEYE,HIGHER_LOW_REVERSAL,2025-09-02,2025,VAL_2025,BULL,82.0,1456.86,1376.2,1577.85,5.54,0.78,1.21,0.22,SCRATCH,-0.28,25,-1.53,0.35,0.96,2025-10-07,1434.51,TIME_EXPIRY
AIAENG,HIGHER_LOW_REVERSAL,2026-06-22,2026,OOS_2026,BULL,86.0,4848.0,4557.12,5284.32,6.0,0.88,1.49,0.12,LOSS,-1.0,22,-6.0,1.14,1.02,2026-07-22,4557.12,STOP_LOSS
ANANTRAJ,HIGHER_LOW_REVERSAL,2026-02-24,2026,OOS_2026,BULL,90.0,1003.0,966.13,1058.31,3.68,0.92,1.47,0.08,LOSS,-1.0,6,-3.68,1.0,1.03,2026-03-04,966.13,STOP_LOSS
ANTHEM,HIGHER_LOW_REVERSAL,2026-07-24,2026,OOS_2026,BEAR,80.0,814.97,788.7,854.37,3.22,0.78,1.4,0.22,LOSS,-1.0,2,-3.5,0.0,1.2,2026-07-28,786.45,STOP_LOSS
APLAPOLLO,HIGHER_LOW_REVERSAL,2025-12-18,2025,VAL_2025,SIDEWAYS,82.0,1795.7,1702.05,1936.17,5.22,0.95,1.25,0.05,WIN,2.0,9,10.43,2.07,0.0,2026-01-01,1983.0,TARGET_1
