lookback_bars,rvol_threshold,vwap_dist_limit,n_signals,mfe_mean,mae_mean,ret_30m,expectancy_r,profit_factor
10,1.5,0.75,124,0.66,-0.79,-0.09,-0.209,0.69
10,1.5,1.0,139,0.69,-0.81,-0.08,-0.191,0.72
10,1.5,1.2,145,0.69,-0.82,-0.1,-0.226,0.68
10,1.75,0.75,123,0.66,-0.8,-0.09,-0.21,0.69
10,1.75,1.0,138,0.69,-0.81,-0.08,-0.192,0.72
10,1.75,1.2,144,0.69,-0.82,-0.1,-0.227,0.68
10,2.0,0.75,113,0.67,-0.81,-0.09,-0.213,0.68
10,2.0,1.0,128,0.69,-0.82,-0.08,-0.193,0.71
10,2.0,1.2,132,0.7,-0.82,-0.09,-0.204,0.7
10,2.25,0.75,110,0.66,-0.8,-0.1,-0.222,0.67
10,2.25,1.0,124,0.69,-0.82,-0.09,-0.199,0.71
10,2.25,1.2,128,0.7,-0.82,-0.09,-0.21,0.69
10,2.5,0.75,105,0.67,-0.79,-0.09,-0.207,0.71
10,2.5,1.0,118,0.7,-0.81,-0.08,-0.18,0.74
10,2.5,1.2,122,0.7,-0.81,-0.08,-0.192,0.73
15,1.5,0.75,123,0.67,-0.78,-0.08,-0.194,0.71
15,1.5,1.0,137,0.7,-0.8,-0.08,-0.178,0.73
15,1.5,1.2,143,0.7,-0.81,-0.09,-0.214,0.69
15,1.75,0.75,122,0.67,-0.78,-0.08,-0.194,0.71
15,1.75,1.0,136,0.7,-0.8,-0.08,-0.178,0.73
15,1.75,1.2,142,0.7,-0.81,-0.09,-0.214,0.69
15,2.0,0.75,112,0.67,-0.79,-0.08,-0.196,0.7
15,2.0,1.0,126,0.7,-0.81,-0.08,-0.179,0.73
15,2.0,1.2,130,0.71,-0.81,-0.08,-0.19,0.72
15,2.25,0.75,109,0.67,-0.79,-0.09,-0.205,0.7
15,2.25,1.0,122,0.7,-0.8,-0.08,-0.184,0.73
15,2.25,1.2,126,0.71,-0.8,-0.09,-0.196,0.71
15,2.5,0.75,104,0.67,-0.78,-0.08,-0.189,0.73
15,2.5,1.0,116,0.71,-0.8,-0.07,-0.164,0.76
15,2.5,1.2,120,0.71,-0.8,-0.08,-0.177,0.75
20,1.5,0.75,118,0.68,-0.78,-0.06,-0.133,0.78
20,1.5,1.0,132,0.7,-0.79,-0.05,-0.123,0.8
20,1.5,1.2,138,0.71,-0.81,-0.07,-0.163,0.75
20,1.75,0.75,117,0.68,-0.78,-0.06,-0.134,0.79
20,1.75,1.0,131,0.7,-0.8,-0.05,-0.123,0.8
20,1.75,1.2,137,0.71,-0.81,-0.07,-0.163,0.75
20,2.0,0.75,109,0.67,-0.78,-0.06,-0.14,0.77
20,2.0,1.0,123,0.7,-0.8,-0.06,-0.128,0.79
20,2.0,1.2,127,0.71,-0.8,-0.06,-0.142,0.77
20,2.25,0.75,106,0.67,-0.78,-0.06,-0.147,0.76
20,2.25,1.0,119,0.7,-0.79,-0.06,-0.132,0.79
20,2.25,1.2,123,0.71,-0.8,-0.07,-0.146,0.77
20,2.5,0.75,101,0.67,-0.77,-0.05,-0.127,0.8
20,2.5,1.0,113,0.71,-0.79,-0.05,-0.108,0.83
20,2.5,1.2,117,0.72,-0.79,-0.05,-0.124,0.81
30,1.5,0.75,115,0.67,-0.77,-0.05,-0.117,0.8
30,1.5,1.0,129,0.69,-0.79,-0.05,-0.108,0.82
30,1.5,1.2,134,0.7,-0.81,-0.06,-0.144,0.77
30,1.75,0.75,114,0.67,-0.78,-0.05,-0.117,0.81
30,1.75,1.0,128,0.69,-0.8,-0.05,-0.108,0.82
30,1.75,1.2,133,0.7,-0.81,-0.06,-0.144,0.77
30,2.0,0.75,107,0.65,-0.79,-0.07,-0.15,0.76
30,2.0,1.0,121,0.68,-0.8,-0.06,-0.137,0.78
30,2.0,1.2,124,0.69,-0.81,-0.06,-0.145,0.77
30,2.25,0.75,104,0.65,-0.78,-0.07,-0.158,0.75
30,2.25,1.0,117,0.68,-0.8,-0.06,-0.141,0.78
30,2.25,1.2,120,0.69,-0.8,-0.07,-0.149,0.77
30,2.5,0.75,99,0.65,-0.77,-0.06,-0.138,0.79
30,2.5,1.0,111,0.69,-0.79,-0.05,-0.118,0.82
30,2.5,1.2,114,0.7,-0.8,-0.05,-0.127,0.81
