symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
360ONE,MBAG_V1_CHAMP_BASE60_T3R,2025-12-15,DEV,BULL,1166.0059205081297,1141.6,1239.22,-1.0,1,0
3MINDIA,MBAG_V1_CHAMP_BASE60_T3R,2025-08-29,DEV,BULL,1361.7027020171774,1332.87,1448.2,2.06,0,0
3MINDIA,MBAG_V1_CHAMP_BASE60_T3R,2025-10-27,DEV,BULL,1574.9429817280857,1542.53,1672.18,-1.0,1,0
AADHARHFC,MBAG_V1_CHAMP_BASE60_T3R,2026-05-05,VAL,BULL,517.4500122070312,482.0,623.8,-1.0,1,0
AADHARHFC,MBAG_V2A_CONVEX_CAT_90D_T4R,2026-05-05,VAL,BULL,517.4500122070312,489.09,630.89,-1.0,1,0
AADHARHFC,MBAG_V3C_90D_MULTI_REGIME_T4R,2026-05-05,VAL,BULL,517.4500122070312,489.09,630.89,-1.0,1,0
AADHARHFC,MBAG_V3D_60D_CONVEX_RUNNER_T5R,2026-05-05,VAL,BULL,517.4500122070312,494.76,630.9,-1.0,1,0
AADHARHFC,MBAG_V1_CHAMP_BASE60_T3R,2026-07-03,HOLDOUT,BULL,555.5999755859375,511.18,688.86,-1.0,1,0
AADHARHFC,MBAG_V2A_CONVEX_CAT_90D_T4R,2026-07-03,HOLDOUT,BULL,555.5999755859375,520.06,697.76,-1.0,1,0
AADHARHFC,MBAG_V3C_90D_MULTI_REGIME_T4R,2026-07-03,HOLDOUT,BULL,555.5999755859375,520.06,697.76,-1.0,1,0
AADHARHFC,MBAG_V3D_60D_CONVEX_RUNNER_T5R,2026-07-03,HOLDOUT,BULL,555.5999755859375,527.17,697.75,-1.0,1,0
AARTIDRUGS,MBAG_V3A_40D_MICRO_SURGE_T3_5R,2026-05-04,VAL,BEAR,395.8500061035156,375.95,465.5,-1.0,1,0
AARTIPHARM,MBAG_V3A_40D_MICRO_SURGE_T3_5R,2026-01-14,VAL,NEUTRAL,790.1751708984375,752.21,923.05,-1.0,1,0
AARTIPHARM,MBAG_V3A_40D_MICRO_SURGE_T3_5R,2026-04-30,VAL,NEUTRAL,740.25,695.69,896.21,-1.0,1,0
AARTIPHARM,MBAG_V1_CHAMP_BASE60_T3R,2026-05-04,VAL,BULL,806.0999755859375,739.45,1006.05,-1.0,1,0
AARTIPHARM,MBAG_V3A_40D_MICRO_SURGE_T3_5R,2026-05-04,VAL,BULL,806.0999755859375,758.11,974.06,-1.0,1,0
AARTIPHARM,MBAG_V3B_60D_VOLUME_ANOMALY_T4R,2026-05-04,VAL,BULL,806.0999755859375,758.11,998.06,-1.0,1,0
AARTIPHARM,MBAG_V3D_60D_CONVEX_RUNNER_T5R,2026-05-04,VAL,BULL,806.0999755859375,763.44,1019.4,-1.0,1,0
ABB,MBAG_V1_CHAMP_BASE60_T3R,2026-01-29,VAL,BULL,5451.703125,5056.44,6637.49,1.66,0,0
ABB,MBAG_V2A_CONVEX_CAT_90D_T4R,2026-01-29,VAL,BULL,5451.703125,5135.5,6716.52,2.89,0,0
ABB,MBAG_V2B_EXPANSION_120D_T5R,2026-01-29,VAL,BULL,5451.703125,5167.12,6874.62,1.64,0,0
ABB,MBAG_V3A_40D_MICRO_SURGE_T3_5R,2026-01-29,VAL,BULL,5451.703125,5167.12,6447.74,2.06,0,0
ABB,MBAG_V3B_60D_VOLUME_ANOMALY_T4R,2026-01-29,VAL,BULL,5451.703125,5167.12,6590.04,3.21,0,0
