symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
SUNPHARMA,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-03-09,VAL,BULL,1802.68,1738.81,2058.12,-1.0,SL_HIT,8
SUNPHARMA,MULTIBAGGER_CHAMPION_V1,2026-03-09,VAL,BULL,1802.68,1738.81,2058.12,-1.0,SL_HIT,8
RADICO,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-10-20,DEV,BULL,3254.7,3111.04,3829.33,-1.0,SL_HIT,34
RADICO,MULTIBAGGER_CHAMPION_V1,2025-10-20,DEV,BULL,3254.7,3111.04,3829.33,-1.0,SL_HIT,34
RADICO,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-20,VAL,BULL,3340.1,3119.46,4222.67,1.142,HORIZON_REACHED,40
RADICO,MULTIBAGGER_CHAMPION_V1,2026-04-20,VAL,BULL,3340.1,3119.46,4222.67,1.142,HORIZON_REACHED,40
RADICO,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-29,HOLDOUT,BULL,3876.9,3723.39,4490.96,4.0,T1_HIT,23
RADICO,MULTIBAGGER_CHAMPION_V1,2026-06-29,HOLDOUT,BULL,3876.9,3723.39,4490.96,4.0,T1_HIT,23
RADICO,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-06,HOLDOUT,BULL,4106.7,3913.09,4881.16,2.031,HORIZON_REACHED,37
RADICO,MULTIBAGGER_CHAMPION_V1,2026-07-06,HOLDOUT,BULL,4106.7,3913.09,4881.16,2.031,HORIZON_REACHED,37
DEEPINDS,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-02,HOLDOUT,BULL,518.8,468.97,718.11,-1.0,SL_HIT,19
DEEPINDS,MULTIBAGGER_CHAMPION_V1,2026-06-02,HOLDOUT,BULL,518.8,468.97,718.11,-1.0,SL_HIT,19
KALYANKJIL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-10,HOLDOUT,BULL,476.15,439.02,624.66,4.0,T1_HIT,13
KALYANKJIL,MULTIBAGGER_CHAMPION_V1,2026-07-10,HOLDOUT,BULL,476.15,439.02,624.66,4.0,T1_HIT,13
VMARCIND,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-11,VAL,BULL,1133.6,1027.25,1559.0,-1.0,SL_HIT,6
VMARCIND,MULTIBAGGER_CHAMPION_V1,2026-05-11,VAL,BULL,1133.6,1027.25,1559.0,-1.0,SL_HIT,6
AUBANK,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-10-20,DEV,BULL,865.2,824.71,1027.14,3.09,HORIZON_REACHED,40
AUBANK,MULTIBAGGER_CHAMPION_V1,2025-10-20,DEV,BULL,865.2,824.71,1027.14,3.09,HORIZON_REACHED,40
AUBANK,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-12-10,DEV,BULL,993.7,957.31,1139.27,-1.0,SL_HIT,32
AUBANK,MULTIBAGGER_CHAMPION_V1,2025-12-10,DEV,BULL,993.7,957.31,1139.27,-1.0,SL_HIT,32
