symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
3MINDIA,MBAG_ABL_2_NO_VOL_FILTER,2026-01-12,VAL,BULL,1676.0867918652953,1566.94,2221.82,109.15,5.0,1.3884,EXPIRED_POS,50
3MINDIA,MBAG_ABL_2_NO_VOL_FILTER,2026-03-02,VAL,BULL,1812.432308102259,1685.66,2446.29,126.77,5.0,0.5784,EXPIRED_POS,50
AADHARHFC,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-05,VAL,BULL,517.4500122070312,488.83,660.55,28.62,5.0,-1.0,SL_HIT,5
AADHARHFC,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-03,HOLDOUT,BULL,555.5999755859375,519.76,734.8,35.84,5.0,-1.0,SL_HIT,7
AARTIDRUGS,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-15,HOLDOUT,BULL,421.6000061035156,395.81,550.55,25.79,5.0,0.3916,EXPIRED_POS,37
AARTIIND,MBAG_ABL_2_NO_VOL_FILTER,2025-08-12,DEV,BULL,1626.5387991953417,1505.02,2234.13,121.52,5.0,-1.0,SL_HIT,4
AARTIPHARM,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-10,HOLDOUT,BULL,823.0,762.64,1124.8,60.36,5.0,0.613,EXPIRED_POS,19
AAYUSHBULL.NS,MBAG_ABL_2_NO_VOL_FILTER,2026-08-05,HOLDOUT,BULL,1228.5999755859375,1151.21,1615.55,77.39,5.0,-1.0,SL_HIT,3
ABB,MBAG_ABL_4_FIXED_ATR_STOP,2026-01-29,VAL,BULL,5451.703125,5123.83,7091.07,327.87,5.0,4.2814,EXPIRED_POS,50
ABBOTINDIA,MBAG_ABL_1_NO_BASE_FILTER,2026-05-11,VAL,NEUTRAL,27795.0,25024.25,41648.75,2770.75,5.0,0.1732,EXPIRED_POS,50
ABBOTINDIA,MBAG_ABL_1_NO_BASE_FILTER,2026-07-06,HOLDOUT,NEUTRAL,26860.0,25074.0,35790.0,1786.0,5.0,-0.4132,EXPIRED_NEG,37
