variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,pct_5r,pct_3r,max_r,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
MBAG_ABL_2_NO_VOL_FILTER,DEV,198,64.1,0.578,3.57,0.411,0.74,5.22,1.25,-0.63,46.0,1.0,2.0,5.0,N/A,N/A,+0.578R,0,0,198
MBAG_ABL_2_NO_VOL_FILTER,VAL,172,47.7,0.179,1.42,-0.004,0.36,13.44,1.26,-0.8,40.5,0.0,1.7,4.54,N/A,N/A,+0.179R,0,0,172
MBAG_ABL_2_NO_VOL_FILTER,HOLDOUT,118,35.6,0.148,1.27,-0.16,0.469,14.42,1.96,-0.86,27.2,8.5,8.5,5.0,N/A,N/A,+0.148R,0,0,118
MBAG_ABL_4_FIXED_ATR_STOP,DEV,12,50.0,0.895,2.79,-0.235,2.119,3.42,2.79,-1.0,28.2,8.3,25.0,5.0,N/A,N/A,+0.895R,0,0,12
MBAG_ABL_4_FIXED_ATR_STOP,VAL,255,37.3,0.535,1.87,0.272,0.813,16.97,3.09,-0.98,25.2,11.8,18.8,5.0,N/A,+1.328R,+0.526R,0,3,252
MBAG_ABL_4_FIXED_ATR_STOP,HOLDOUT,313,42.5,0.431,1.85,0.228,0.632,27.22,2.2,-0.88,20.9,7.7,11.8,5.0,N/A,-0.260R,+0.446R,0,7,306
MBAG_ABL_1_NO_BASE_FILTER,DEV,13,46.2,0.241,1.71,-0.287,0.88,2.59,1.26,-0.63,42.3,0.0,0.0,2.72,N/A,+0.606R,+0.174R,0,2,11
MBAG_ABL_1_NO_BASE_FILTER,VAL,22,54.5,0.451,2.33,-0.185,1.199,2.43,1.45,-0.75,34.8,9.1,9.1,5.0,N/A,-0.242R,+0.561R,0,3,19
MBAG_ABL_1_NO_BASE_FILTER,HOLDOUT,59,49.2,0.3,1.81,-0.048,0.651,5.11,1.36,-0.73,28.6,1.7,3.4,5.0,N/A,+0.180R,+0.348R,0,17,42
MBAG_V56_CONVEX_C_60D_FAST_5R,DEV,36,72.2,0.757,5.09,0.343,1.202,2.0,1.3,-0.67,36.2,2.8,5.6,5.0,N/A,+1.930R,+0.723R,0,1,35
MBAG_V56_CONVEX_C_60D_FAST_5R,VAL,61,45.9,0.103,1.25,-0.18,0.382,3.53,1.11,-0.76,31.1,0.0,1.6,3.38,N/A,+1.788R,+0.045R,0,2,59
MBAG_V56_CONVEX_C_60D_FAST_5R,HOLDOUT,57,45.6,0.608,2.52,0.132,1.118,4.09,2.21,-0.74,22.2,8.8,12.3,5.0,N/A,+1.351R,+0.551R,0,4,53
MBAG_ABL_3_NO_CPOS_FILTER,DEV,15,53.3,0.419,2.07,-0.274,1.143,4.0,1.52,-0.84,39.9,0.0,6.7,3.39,N/A,N/A,+0.419R,0,0,15
MBAG_ABL_3_NO_CPOS_FILTER,VAL,24,62.5,0.298,2.26,-0.07,0.661,1.79,0.85,-0.63,42.8,0.0,0.0,2.14,N/A,N/A,+0.298R,0,0,24
MBAG_ABL_3_NO_CPOS_FILTER,HOLDOUT,33,45.5,0.357,1.85,-0.169,0.969,5.8,1.71,-0.77,27.1,6.1,6.1,5.0,N/A,N/A,+0.357R,0,0,33
MBAG_V56_CONVEX_A_90D_5R,DEV,3,0.0,-0.624,0.0,0.0,0.0,1.4,0.0,-0.62,39.3,0.0,0.0,-0.4,N/A,N/A,-0.624R,0,0,3
MBAG_V56_CONVEX_A_90D_5R,VAL,9,44.4,0.003,1.01,-0.65,0.736,2.85,1.04,-0.83,31.4,0.0,0.0,2.08,N/A,N/A,+0.003R,0,0,9
MBAG_V56_CONVEX_A_90D_5R,HOLDOUT,19,47.4,0.539,2.43,-0.177,1.34,2.8,1.94,-0.72,29.1,5.3,5.3,5.0,N/A,N/A,+0.539R,0,0,19
MBAG_V56_CONVEX_B_120D_5R,DEV,2,50.0,-0.45,0.1,0.0,0.0,1.0,0.1,-1.0,39.0,0.0,0.0,0.1,N/A,N/A,-0.450R,0,0,2
