symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
AADHARHFC,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-05,VAL,BULL,517.4500122070312,491.69,646.25,25.76,5.0,-1.0,SL_HIT,5
AADHARHFC,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-03,HOLDOUT,BULL,555.5999755859375,523.34,716.9,32.26,5.0,-1.0,SL_HIT,3
AARTIDRUGS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-15,HOLDOUT,BULL,421.6000061035156,398.39,537.65,23.21,5.0,0.4352,EXPIRED_POS,37
AARTIPHARM,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-04,VAL,BULL,806.0999755859375,757.14,1050.9,48.96,5.0,-1.0,SL_HIT,5
AARTIPHARM,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-08-10,HOLDOUT,BULL,823.0,768.67,1094.65,54.33,5.0,0.681,EXPIRED_POS,19
ABB,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-01-29,VAL,BULL,5451.703125,5156.62,6927.12,295.08,5.0,3.6822,EXPIRED_POS,45
ABB,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-01-30,VAL,BULL,5555.77734375,5254.16,7063.86,301.62,5.0,3.4192,EXPIRED_POS,45
ABB,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-10,VAL,BULL,6831.5595703125,6446.01,8759.31,385.55,5.0,-1.0,SL_HIT,20
ABDL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-22,HOLDOUT,BULL,1882.6332233881553,1837.41,2108.75,45.22,5.0,-1.0,SL_HIT,20
ABLBL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-07,VAL,NEUTRAL,117.58560943603516,111.39,148.56,6.2,5.0,-1.0,SL_HIT,1
ABSLAMC,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-02-18,VAL,BULL,884.6807861328125,837.63,1119.93,47.05,5.0,-1.0,SL_HIT,8
ABSLAMC,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-15,HOLDOUT,BULL,1118.08203125,1046.56,1475.69,71.52,5.0,-1.0,SL_HIT,26
ACC,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-03-19,VAL,BULL,3765.297918399358,3683.1,4176.29,82.2,5.0,3.5917,EXPIRED_POS,45
ACC,MBAG_V57_SCALE_A_60D_165V,2026-04-08,VAL,BULL,4043.5786800731394,3700.29,5760.02,343.29,5.0,0.1492,EXPIRED_POS,45
ACC,MBAG_V57_SCALE_B_75D_180V,2026-04-08,VAL,BULL,4043.5786800731394,3700.29,5760.02,343.29,5.0,0.0826,EXPIRED_POS,50
