symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
APLAPOLLO,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-19,HOLDOUT,NEUTRAL,1874.800048828125,1846.68,1945.1,-1.0,1,0
CLEAN,MTF_1H_V3D_BULL_ONLY_20BAR,2026-06-22,HOLDOUT,BULL,842.2999877929688,791.76,968.65,-1.0,1,0
CLEAN,MTF_1H_V4B_18BAR_MODERATE_BASE,2026-06-22,HOLDOUT,BULL,842.2999877929688,791.76,968.65,-1.0,1,0
CLEAN,MTF_1H_V4C_18BAR_BULL_NEUTRAL,2026-06-22,HOLDOUT,BULL,842.2999877929688,791.76,968.65,-1.0,1,0
CLEAN,MTF_1H_V4E_24BAR_DEEP_CONSOLIDATION,2026-06-22,HOLDOUT,BULL,842.2999877929688,791.76,968.65,-1.0,1,0
GARUDA,MTF_1H_V3D_BULL_ONLY_20BAR,2026-06-23,HOLDOUT,BULL,194.24000549316406,182.59,223.37,-1.0,1,0
GARUDA,MTF_1H_V4B_18BAR_MODERATE_BASE,2026-06-23,HOLDOUT,BULL,194.24000549316406,182.59,223.37,-1.0,1,0
GARUDA,MTF_1H_V4C_18BAR_BULL_NEUTRAL,2026-06-23,HOLDOUT,BULL,194.24000549316406,182.59,223.37,-1.0,1,0
GARUDA,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-23,HOLDOUT,BULL,194.24000549316406,189.72,205.54,-1.0,1,0
GARUDA,MTF_1H_V4E_24BAR_DEEP_CONSOLIDATION,2026-06-23,HOLDOUT,BULL,194.24000549316406,182.59,223.37,-1.0,1,0
PNCINFRA,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-17,HOLDOUT,NEUTRAL,211.75999450683594,207.43,222.58,2.5,0,1
RITES,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-05,HOLDOUT,NEUTRAL,213.97999572753906,210.76,222.03,-1.0,1,0
SBCL,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-23,HOLDOUT,BULL,762.5499877929688,739.72,819.62,-1.0,1,0
SHILPAMED,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-23,HOLDOUT,BULL,581.5,566.18,619.8,-0.59,0,0
SONACOMS,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-07-06,HOLDOUT,BULL,667.9000244140625,655.79,698.18,0.47,0,0
SPAL,MTF_1H_V4A_12BAR_TIGHT_IGNITION,2026-06-15,HOLDOUT,BULL,876.0,823.44,1007.4,-0.86,0,0
SPAL,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-06-15,HOLDOUT,BULL,876.0,852.16,935.6,-1.0,1,0
TITAN,MTF_1H_V4A_12BAR_TIGHT_IGNITION,2026-07-07,HOLDOUT,BULL,4625.89990234375,4428.84,5118.55,-0.38,0,0
TITAN,MTF_1H_V4D_12BAR_HYBRID_STOP,2026-07-07,HOLDOUT,BULL,4625.89990234375,4556.51,4799.37,-1.0,1,0
