variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
M1H_V56_PRECISION_A_15H,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_PRECISION_A_15H,VAL,71,40.8,0.091,1.16,-0.233,0.427,17.3,1.64,-0.98,8.9,N/A,-0.390R,+0.231R,0,16,55
M1H_V56_PRECISION_A_15H,HOLDOUT,160,36.9,-0.008,0.99,-0.204,0.202,16.45,1.57,-0.93,10.5,N/A,-0.165R,+0.029R,0,31,129
M1H_V56_BALANCED_A_15H_14X,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_BALANCED_A_15H_14X,VAL,119,39.5,0.053,1.09,-0.194,0.314,18.99,1.64,-0.98,9.1,N/A,-0.370R,+0.178R,0,27,92
M1H_V56_BALANCED_A_15H_14X,HOLDOUT,286,37.8,0.026,1.04,-0.137,0.175,17.09,1.6,-0.93,10.4,N/A,+0.036R,+0.023R,0,56,230
M1H_V56_BALANCED_B_12H_FAST,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_BALANCED_B_12H_FAST,VAL,127,36.2,-0.004,0.99,-0.246,0.247,17.71,1.71,-0.98,8.7,N/A,-0.346R,+0.093R,0,28,99
M1H_V56_BALANCED_B_12H_FAST,HOLDOUT,291,33.3,-0.017,0.97,-0.171,0.147,30.85,1.81,-0.93,9.4,N/A,-0.156R,+0.017R,0,58,233
M1H_V56_BALANCED_D_MULTI_REG,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_BALANCED_D_MULTI_REG,VAL,167,46.1,0.31,1.58,0.079,0.548,13.93,1.82,-0.99,8.2,+0.945R,-0.370R,+0.178R,48,27,92
M1H_V56_BALANCED_D_MULTI_REG,HOLDOUT,361,38.5,0.079,1.14,-0.063,0.217,15.92,1.7,-0.94,9.8,+0.281R,+0.036R,+0.023R,75,56,230
M1H_V56_BALANCED_E_TARGET_28R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_BALANCED_E_TARGET_28R,VAL,119,39.5,0.095,1.16,-0.175,0.373,18.19,1.75,-0.98,9.4,N/A,-0.348R,+0.225R,0,27,92
M1H_V56_BALANCED_E_TARGET_28R,HOLDOUT,286,37.4,0.035,1.06,-0.119,0.2,20.5,1.65,-0.93,10.7,N/A,+0.081R,+0.024R,0,56,230
M1H_V56_CAPACITY_A_12H_20W,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_CAPACITY_A_12H_20W,VAL,182,35.7,-0.051,0.92,-0.238,0.141,28.9,1.62,-0.98,8.2,N/A,-0.365R,+0.032R,0,38,144
M1H_V56_CAPACITY_A_12H_20W,HOLDOUT,399,38.6,0.078,1.14,-0.058,0.207,30.47,1.67,-0.92,9.3,N/A,+0.028R,+0.090R,0,81,318
M1H_V56_CAPACITY_B_15H_22W,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_CAPACITY_B_15H_22W,VAL,169,37.3,0.002,1.0,-0.208,0.205,28.37,1.64,-0.97,9.2,N/A,-0.462R,+0.132R,0,37,132
M1H_V56_CAPACITY_B_15H_22W,HOLDOUT,386,38.3,0.051,1.09,-0.083,0.186,20.3,1.57,-0.9,11.1,N/A,+0.115R,+0.034R,0,82,304
M1H_ABL_1_NO_WIDTH_FILTER,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_ABL_1_NO_WIDTH_FILTER,VAL,139,38.8,0.047,1.08,-0.18,0.28,18.02,1.65,-0.97,9.1,N/A,-0.433R,+0.180R,0,30,109
M1H_ABL_1_NO_WIDTH_FILTER,HOLDOUT,336,38.1,0.0,1.0,-0.132,0.148,20.3,1.48,-0.91,11.0,N/A,+0.061R,-0.018R,0,77,259
M1H_ABL_2_NO_COMP_FILTER,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_ABL_2_NO_COMP_FILTER,VAL,211,35.1,-0.038,0.94,-0.226,0.141,30.28,1.7,-0.98,8.7,N/A,-0.340R,+0.053R,0,49,162
M1H_ABL_2_NO_COMP_FILTER,HOLDOUT,458,38.6,0.112,1.2,-0.02,0.238,20.64,1.75,-0.92,10.4,N/A,+0.086R,+0.119R,0,93,365
M1H_ABL_3_NO_VOL_FILTER,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_ABL_3_NO_VOL_FILTER,VAL,146,39.0,0.062,1.1,-0.156,0.301,28.88,1.7,-0.99,9.0,N/A,-0.369R,+0.198R,0,35,111
M1H_ABL_3_NO_VOL_FILTER,HOLDOUT,345,40.6,0.112,1.21,-0.03,0.268,10.42,1.62,-0.92,10.5,N/A,+0.188R,+0.094R,0,68,277
M1H_ABL_4_NO_CPOS_FILTER,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_ABL_4_NO_CPOS_FILTER,VAL,152,40.1,0.091,1.16,-0.134,0.322,16.24,1.69,-0.98,9.3,N/A,-0.350R,+0.228R,0,36,116
M1H_ABL_4_NO_CPOS_FILTER,HOLDOUT,335,38.5,0.053,1.09,-0.096,0.2,18.68,1.62,-0.93,10.2,N/A,+0.132R,+0.034R,0,64,271
