symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
INDIAMART,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-03-09,VAL,BEAR,2122.21,1967.34,2431.96,-1.0,SL_HIT,8
INDIAMART,MULTITF_5M_CHAMPION_V1,2026-03-09,VAL,BEAR,2122.21,1967.34,2431.96,-1.0,SL_HIT,8
RADICO,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-29,HOLDOUT,BULL,3876.9,3702.32,4226.05,1.562,HORIZON_REACHED,20
RADICO,MULTITF_5M_CHAMPION_V1,2026-06-29,HOLDOUT,BULL,3876.9,3702.32,4226.05,1.562,HORIZON_REACHED,20
RADICO,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-07-06,HOLDOUT,BULL,4106.7,3776.32,4767.46,1.067,HORIZON_REACHED,20
RADICO,MULTITF_5M_CHAMPION_V1,2026-07-06,HOLDOUT,BULL,4106.7,3776.32,4767.46,1.067,HORIZON_REACHED,20
QUESS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-07,VAL,BEAR,211.11,195.12,243.08,-1.0,SL_HIT,8
QUESS,MULTITF_5M_CHAMPION_V1,2026-01-07,VAL,BEAR,211.11,195.12,243.08,-1.0,SL_HIT,8
QUESS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-29,VAL,BEAR,195.91,181.75,224.21,-0.429,HORIZON_REACHED,20
QUESS,MULTITF_5M_CHAMPION_V1,2026-01-29,VAL,BEAR,195.91,181.75,224.21,-0.429,HORIZON_REACHED,20
ICICIAMC,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-10-24,DEV,BEAR,1703.71,1662.3,1786.54,2.0,T1_HIT,6
ICICIAMC,MULTITF_5M_CHAMPION_V1,2025-10-24,DEV,BEAR,1703.71,1662.3,1786.54,2.0,T1_HIT,6
FIRSTCRY,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-05,VAL,BEAR,299.25,280.7,336.35,-1.0,SL_HIT,4
FIRSTCRY,MULTITF_5M_CHAMPION_V1,2026-01-05,VAL,BEAR,299.25,280.7,336.35,-1.0,SL_HIT,4
FIRSTCRY,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-02-10,VAL,BEAR,283.45,260.24,329.87,-1.0,SL_HIT,4
FIRSTCRY,MULTITF_5M_CHAMPION_V1,2026-02-10,VAL,BEAR,283.45,260.24,329.87,-1.0,SL_HIT,4
HAL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-02-13,VAL,BEAR,4177.69,3937.23,4658.61,-1.0,SL_HIT,7
HAL,MULTITF_5M_CHAMPION_V1,2026-02-13,VAL,BEAR,4177.69,3937.23,4658.61,-1.0,SL_HIT,7
JSLL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-07-31,HOLDOUT,BEAR,586.15,542.1,674.25,-1.0,SL_HIT,6
JSLL,MULTITF_5M_CHAMPION_V1,2026-07-31,HOLDOUT,BEAR,586.15,542.1,674.25,-1.0,SL_HIT,6
DEEPINDS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-02-03,VAL,BEAR,386.15,330.21,498.04,-0.54,HORIZON_REACHED,20
DEEPINDS,MULTITF_5M_CHAMPION_V1,2026-02-03,VAL,BEAR,386.15,330.21,498.04,-0.54,HORIZON_REACHED,20
DEEPINDS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-02,HOLDOUT,BULL,518.8,449.56,657.28,-0.928,HORIZON_REACHED,20
DEEPINDS,MULTITF_5M_CHAMPION_V1,2026-06-02,HOLDOUT,BULL,518.8,449.56,657.28,-0.928,HORIZON_REACHED,20
SWANCORP,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-04-16,VAL,BEAR,352.8,309.51,439.37,-0.681,HORIZON_REACHED,20
SWANCORP,MULTITF_5M_CHAMPION_V1,2026-04-16,VAL,BEAR,352.8,309.51,439.37,-0.681,HORIZON_REACHED,20
HOMEFIRST,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-07-13,HOLDOUT,BULL,1261.0,1177.74,1427.52,-1.0,SL_HIT,8
HOMEFIRST,MULTITF_5M_CHAMPION_V1,2026-07-13,HOLDOUT,BULL,1261.0,1177.74,1427.52,-1.0,SL_HIT,8
NTPCGREEN,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-04-13,VAL,BULL,104.23,95.42,121.85,0.334,HORIZON_REACHED,20
NTPCGREEN,MULTITF_5M_CHAMPION_V1,2026-04-13,VAL,BULL,104.23,95.42,121.85,0.334,HORIZON_REACHED,20
KALYANKJIL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-11-04,DEV,NEUTRAL,522.6,500.45,566.9,-1.0,SL_HIT,4
KALYANKJIL,MULTITF_5M_CHAMPION_V1,2025-11-04,DEV,NEUTRAL,522.6,500.45,566.9,-1.0,SL_HIT,4
KALYANKJIL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-05-08,VAL,BEAR,424.55,404.43,464.78,-1.0,SL_HIT,1
KALYANKJIL,MULTITF_5M_CHAMPION_V1,2026-05-08,VAL,BEAR,424.55,404.43,464.78,-1.0,SL_HIT,1
PSUBNKIETF.NS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-07-20,HOLDOUT,NEUTRAL,87.3,83.93,94.04,-1.0,SL_HIT,4
PSUBNKIETF.NS,MULTITF_5M_CHAMPION_V1,2026-07-20,HOLDOUT,NEUTRAL,87.3,83.93,94.04,-1.0,SL_HIT,4
VMARCIND,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-05-11,VAL,BULL,1133.6,919.98,1560.83,2.0,T1_HIT,18
VMARCIND,MULTITF_5M_CHAMPION_V1,2026-05-11,VAL,BULL,1133.6,919.98,1560.83,2.0,T1_HIT,18
GHCL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-05,HOLDOUT,BULL,844.09,817.88,896.52,-1.0,SL_HIT,2
GHCL,MULTITF_5M_CHAMPION_V1,2026-06-05,HOLDOUT,BULL,844.09,817.88,896.52,-1.0,SL_HIT,2
GHCL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-07-24,HOLDOUT,BULL,897.49,861.77,968.92,2.0,T1_HIT,10
GHCL,MULTITF_5M_CHAMPION_V1,2026-07-24,HOLDOUT,BULL,897.49,861.77,968.92,2.0,T1_HIT,10
DOMS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-12-03,DEV,BULL,2609.0,2475.43,2876.15,-0.054,HORIZON_REACHED,20
DOMS,MULTITF_5M_CHAMPION_V1,2025-12-03,DEV,BULL,2609.0,2475.43,2876.15,-0.054,HORIZON_REACHED,20
ITETF.NS,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-05-29,VAL,BEAR,30.89,30.3,32.06,-1.0,SL_HIT,1
ITETF.NS,MULTITF_5M_CHAMPION_V1,2026-05-29,VAL,BEAR,30.89,30.3,32.06,-1.0,SL_HIT,1
AUBANK,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-10-20,DEV,BULL,865.2,758.73,1078.15,0.568,HORIZON_REACHED,20
AUBANK,MULTITF_5M_CHAMPION_V1,2025-10-20,DEV,BULL,865.2,758.73,1078.15,0.568,HORIZON_REACHED,20
AUBANK,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-12-10,DEV,BULL,993.7,936.58,1107.94,-0.028,HORIZON_REACHED,20
AUBANK,MULTITF_5M_CHAMPION_V1,2025-12-10,DEV,BULL,993.7,936.58,1107.94,-0.028,HORIZON_REACHED,20
AUBANK,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-12,HOLDOUT,BULL,1015.5,944.59,1157.32,0.798,HORIZON_REACHED,20
AUBANK,MULTITF_5M_CHAMPION_V1,2026-06-12,HOLDOUT,BULL,1015.5,944.59,1157.32,0.798,HORIZON_REACHED,20
HCC,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-11-21,DEV,BEAR,909.53,886.66,955.27,-1.0,SL_HIT,2
HCC,MULTITF_5M_CHAMPION_V1,2025-11-21,DEV,BEAR,909.53,886.66,955.27,-1.0,SL_HIT,2
VIJAYA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-04-27,VAL,BULL,1112.05,994.12,1347.92,2.0,T1_HIT,10
VIJAYA,MULTITF_5M_CHAMPION_V1,2026-04-27,VAL,BULL,1112.05,994.12,1347.92,2.0,T1_HIT,10
VIJAYA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-05-04,VAL,BULL,1153.8,1062.15,1337.09,2.0,T1_HIT,5
VIJAYA,MULTITF_5M_CHAMPION_V1,2026-05-04,VAL,BULL,1153.8,1062.15,1337.09,2.0,T1_HIT,5
GOLDIAM,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-09-01,DEV,NEUTRAL,375.36,335.08,455.91,-0.205,HORIZON_REACHED,20
GOLDIAM,MULTITF_5M_CHAMPION_V1,2025-09-01,DEV,NEUTRAL,375.36,335.08,455.91,-0.205,HORIZON_REACHED,20
GOLDIAM,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-11-13,DEV,BULL,387.31,346.22,469.5,-0.426,HORIZON_REACHED,20
GOLDIAM,MULTITF_5M_CHAMPION_V1,2025-11-13,DEV,BULL,387.31,346.22,469.5,-0.426,HORIZON_REACHED,20
ZENTEC,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-03-27,VAL,BULL,839.76,823.94,871.42,-1.0,SL_HIT,2
ZENTEC,MULTITF_5M_CHAMPION_V1,2026-03-27,VAL,BULL,839.76,823.94,871.42,-1.0,SL_HIT,2
LINDEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-11-19,DEV,NEUTRAL,6076.5,5659.81,6909.88,-0.175,HORIZON_REACHED,20
LINDEINDIA,MULTITF_5M_CHAMPION_V1,2025-11-19,DEV,NEUTRAL,6076.5,5659.81,6909.88,-0.175,HORIZON_REACHED,20
LINDEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-02-09,VAL,BULL,6292.5,5805.5,7266.51,0.721,HORIZON_REACHED,20
LINDEINDIA,MULTITF_5M_CHAMPION_V1,2026-02-09,VAL,BULL,6292.5,5805.5,7266.51,0.721,HORIZON_REACHED,20
LINDEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-03-17,VAL,BULL,7327.0,6579.54,8821.93,-1.0,SL_HIT,4
LINDEINDIA,MULTITF_5M_CHAMPION_V1,2026-03-17,VAL,BULL,7327.0,6579.54,8821.93,-1.0,SL_HIT,4
LINDEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-08-03,HOLDOUT,BULL,6968.68,6594.04,7717.97,-1.0,SL_HIT,10
LINDEINDIA,MULTITF_5M_CHAMPION_V1,2026-08-03,HOLDOUT,BULL,6968.68,6594.04,7717.97,-1.0,SL_HIT,10
CEMPRO,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-05,HOLDOUT,BULL,1063.24,1032.29,1125.12,-1.0,SL_HIT,2
CEMPRO,MULTITF_5M_CHAMPION_V1,2026-06-05,HOLDOUT,BULL,1063.24,1032.29,1125.12,-1.0,SL_HIT,2
CEMPRO,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-26,HOLDOUT,BULL,1172.33,1142.55,1231.9,2.0,T1_HIT,8
CEMPRO,MULTITF_5M_CHAMPION_V1,2026-06-26,HOLDOUT,BULL,1172.33,1142.55,1231.9,2.0,T1_HIT,8
CANHLIFE,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-23,VAL,BULL,1410.04,1377.04,1476.05,2.0,T1_HIT,15
CANHLIFE,MULTITF_5M_CHAMPION_V1,2026-01-23,VAL,BULL,1410.04,1377.04,1476.05,2.0,T1_HIT,15
GODREJPROP,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-25,HOLDOUT,NEUTRAL,1841.7,1765.01,1995.08,2.0,T1_HIT,7
GODREJPROP,MULTITF_5M_CHAMPION_V1,2026-06-25,HOLDOUT,NEUTRAL,1841.7,1765.01,1995.08,2.0,T1_HIT,7
RITES,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-04-17,VAL,NEUTRAL,221.95,198.28,269.29,-0.454,HORIZON_REACHED,20
RITES,MULTITF_5M_CHAMPION_V1,2026-04-17,VAL,NEUTRAL,221.95,198.28,269.29,-0.454,HORIZON_REACHED,20
RITES,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-05,HOLDOUT,BEAR,210.49,197.81,235.84,2.0,T1_HIT,18
RITES,MULTITF_5M_CHAMPION_V1,2026-06-05,HOLDOUT,BEAR,210.49,197.81,235.84,2.0,T1_HIT,18
BANCOINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-11-04,DEV,BULL,801.54,682.42,1039.79,-1.0,SL_HIT,13
BANCOINDIA,MULTITF_5M_CHAMPION_V1,2025-11-04,DEV,BULL,801.54,682.42,1039.79,-1.0,SL_HIT,13
BANCOINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-30,VAL,BEAR,585.37,528.22,699.66,0.506,HORIZON_REACHED,20
BANCOINDIA,MULTITF_5M_CHAMPION_V1,2026-01-30,VAL,BEAR,585.37,528.22,699.66,0.506,HORIZON_REACHED,20
CGCL,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-05-22,VAL,BULL,190.65,180.09,211.78,2.0,T1_HIT,16
CGCL,MULTITF_5M_CHAMPION_V1,2026-05-22,VAL,BULL,190.65,180.09,211.78,2.0,T1_HIT,16
CIEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2025-12-31,DEV,BULL,418.48,375.83,503.79,-0.146,HORIZON_REACHED,20
CIEINDIA,MULTITF_5M_CHAMPION_V1,2025-12-31,DEV,BULL,418.48,375.83,503.79,-0.146,HORIZON_REACHED,20
CIEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-01-22,VAL,NEUTRAL,403.79,384.47,442.45,2.0,T1_HIT,12
CIEINDIA,MULTITF_5M_CHAMPION_V1,2026-01-22,VAL,NEUTRAL,403.79,384.47,442.45,2.0,T1_HIT,12
CIEINDIA,MULTITF_5M_CHALL_A_TIGHT_COIL_IGNITION,2026-06-15,HOLDOUT,BULL,464.8,425.03,544.34,0.116,HORIZON_REACHED,20
CIEINDIA,MULTITF_5M_CHAMPION_V1,2026-06-15,HOLDOUT,BULL,464.8,425.03,544.34,0.116,HORIZON_REACHED,20
