symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,signal_rr,score,bb_pctile,realized_rr,exit_reason,exit_date,holding_period_bars,max_favorable_excursion_r,max_adverse_excursion_r,r1_hit_before_sl,r1_5_hit_before_sl,r2_hit_before_sl,post_sl_recovered_entry,post_sl_recovered_t1,post_sl_max_recovery_r
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-08,DEV,BULL,1900.0,1863.06,1973.88,2.0,90.0,0.49,-3.26,SL_HIT,2025-12-09,1,0.0,3.9,0,0,0,0,0,-2.87
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-10,DEV,BULL,1900.0,1863.43,1973.14,2.0,90.0,0.09,-3.78,SL_HIT,2025-12-11,1,0.0,3.85,0,0,0,0,0,-2.86
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-12,DEV,BULL,1900.0,1862.8,1974.4,2.0,90.0,0.01,-3.69,SL_HIT,2025-12-15,1,0.0,3.72,0,0,0,0,0,-3.19
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-16,DEV,BULL,1900.0,1862.37,1975.26,2.0,90.0,0.0,-3.59,SL_HIT,2025-12-17,1,0.0,3.84,0,0,0,0,0,-3.49
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-18,DEV,BULL,1900.0,1861.11,1977.78,2.0,90.0,0.05,-4.34,SL_HIT,2025-12-19,1,0.0,4.49,0,0,0,0,0,-3.64
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-22,DEV,BULL,1900.0,1859.54,1980.92,2.0,90.0,0.14,-3.56,SL_HIT,2025-12-23,1,0.0,4.06,0,0,0,0,0,-3.88
SUNPHARMA,MULTITF_CHALL_E_EXT_25,2025-12-24,DEV,BULL,1900.0,1859.27,1981.46,2.0,90.0,0.3,-4.39,SL_HIT,2025-12-26,1,0.0,5.09,0,0,0,0,0,-4.62
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-24,DEV,BULL,1900.0,1859.27,1981.46,2.0,90.0,0.3,-4.39,SL_HIT,2025-12-26,1,0.0,5.09,0,0,0,0,0,-4.62
SUNPHARMA,MULTITF_CHALL_G_COMPOSITE,2025-12-24,DEV,BULL,1900.0,1859.27,1981.46,2.0,90.0,0.3,-4.39,SL_HIT,2025-12-26,1,0.0,5.09,0,0,0,0,0,-4.62
SUNPHARMA,MULTITF_CHALL_E_EXT_25,2025-12-29,DEV,NEUTRAL,1900.0,1858.68,1982.64,2.0,90.0,0.61,-4.66,SL_HIT,2025-12-30,1,0.0,5.04,0,0,0,0,0,-4.59
SUNPHARMA,MULTITF_CHALL_F_EXT_30,2025-12-29,DEV,NEUTRAL,1900.0,1858.68,1982.64,2.0,90.0,0.61,-4.66,SL_HIT,2025-12-30,1,0.0,5.04,0,0,0,0,0,-4.59
SUNPHARMA,MULTITF_CHALL_G_COMPOSITE,2025-12-29,DEV,NEUTRAL,1900.0,1858.68,1982.64,2.0,90.0,0.61,-4.66,SL_HIT,2025-12-30,1,0.0,5.04,0,0,0,0,0,-4.59
MEDPLUS,MULTITF_CHAMPION_V1,2026-01-02,VAL,NEUTRAL,839.0,808.9,899.2,2.0,100.0,0.03,-1.03,SL_HIT,2026-01-05,1,0.25,1.21,0,0,0,1,0,0.18
MEDPLUS,MULTITF_CHALL_B_CONSOLIDATION,2026-01-02,VAL,NEUTRAL,839.0,808.9,899.2,2.0,100.0,0.03,-1.03,SL_HIT,2026-01-05,1,0.25,1.21,0,0,0,1,0,0.18
MEDPLUS,MULTITF_CHALL_C_REGIME,2026-01-02,VAL,NEUTRAL,839.0,808.9,899.2,2.0,100.0,0.03,-1.03,SL_HIT,2026-01-05,1,0.25,1.21,0,0,0,1,0,0.18
