symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,target_2,signal_rr,score,realized_rr,exit_reason,holding_period_bars
GROWW,MULTITF_V3C_MODERATE,2026-04-10,VAL,BULL,198.6999969482422,184.42,227.26,241.54,2.0,80.0,2.0,T1_HIT,2
GARFIBRES,MULTITF_V3A_STANDARD,2026-07-13,HOLDOUT,BULL,739.5999755859375,704.7,809.4,844.3,2.0,90.0,2.0,T1_HIT,17
GARFIBRES,MULTITF_V3B_TIGHT_VCP,2026-07-13,HOLDOUT,BULL,739.5999755859375,704.7,809.4,844.3,2.0,90.0,2.0,T1_HIT,17
GARFIBRES,MULTITF_V3D_BULL_ONLY,2026-07-13,HOLDOUT,BULL,739.5999755859375,704.7,809.4,844.3,2.0,90.0,2.0,T1_HIT,17
GARFIBRES,MULTITF_V3C_MODERATE,2026-07-15,HOLDOUT,BULL,776.5,745.47,838.56,869.59,2.0,100.0,-1.0,SL_HIT,6
TATAELXSI,MULTITF_V3A_STANDARD,2026-05-22,VAL,BEAR,4263.2001953125,4159.98,4469.64,4572.86,2.0,95.0,-1.0,SL_HIT,11
TATAELXSI,MULTITF_V3B_TIGHT_VCP,2026-05-22,VAL,BEAR,4263.2001953125,4159.98,4469.64,4572.86,2.0,95.0,-1.0,SL_HIT,11
TATAELXSI,MULTITF_V3C_MODERATE,2026-05-22,VAL,BEAR,4263.2001953125,4159.98,4469.64,4572.86,2.0,95.0,-1.0,SL_HIT,11
NUVAMA,MULTITF_V3C_MODERATE,2026-04-16,VAL,BULL,1395.0,1347.41,1490.18,1537.77,2.0,85.0,2.0,T1_HIT,1
SAREGAMA,MULTITF_V3C_MODERATE,2026-05-07,VAL,BULL,358.3999938964844,346.12,382.96,395.24,2.0,95.0,2.0,T1_HIT,1
AUBANK,MULTITF_V3C_MODERATE,2026-05-08,VAL,BULL,1050.0,1021.55,1106.9,1135.35,2.0,85.0,-1.0,SL_HIT,1
AUBANK,MULTITF_V3C_MODERATE,2026-06-18,HOLDOUT,BULL,1028.0,1009.26,1065.48,1084.22,2.0,80.0,2.0,T1_HIT,4
AUBANK,MULTITF_V3C_MODERATE,2026-07-10,HOLDOUT,BULL,1078.300048828125,1037.29,1160.32,1201.33,2.0,75.0,-1.0,SL_HIT,2
GOLDIAM,MULTITF_V3A_STANDARD,2026-04-30,VAL,BULL,391.5,369.76,434.98,456.72,2.0,100.0,2.0,T1_HIT,6
GOLDIAM,MULTITF_V3B_TIGHT_VCP,2026-04-30,VAL,BULL,391.5,369.76,434.98,456.72,2.0,100.0,2.0,T1_HIT,6
GOLDIAM,MULTITF_V3C_MODERATE,2026-04-30,VAL,BULL,391.5,369.76,434.98,456.72,2.0,100.0,2.0,T1_HIT,6
GOLDIAM,MULTITF_V3D_BULL_ONLY,2026-04-30,VAL,BULL,391.5,369.76,434.98,456.72,2.0,100.0,2.0,T1_HIT,6
ESCORTS,MULTITF_V3C_MODERATE,2026-05-07,VAL,NEUTRAL,3381.60009765625,3276.69,3591.42,3696.33,2.0,95.0,-1.0,SL_HIT,1
ACE,MULTITF_V3A_STANDARD,2026-05-26,VAL,BEAR,911.0,877.95,977.1,1010.15,2.0,90.0,-1.0,SL_HIT,4
ACE,MULTITF_V3C_MODERATE,2026-05-26,VAL,BEAR,911.0,877.95,977.1,1010.15,2.0,90.0,-1.0,SL_HIT,4
FIVESTAR,MULTITF_V3C_MODERATE,2026-06-30,HOLDOUT,NEUTRAL,505.7999877929688,481.77,553.86,577.89,2.0,80.0,2.0,T1_HIT,3
IMFA,MULTITF_V3C_MODERATE,2026-05-08,VAL,BULL,1533.0,1432.53,1733.94,1834.41,2.0,100.0,-1.0,SL_HIT,6
IMFA,MULTITF_V3A_STANDARD,2026-05-25,VAL,BULL,1487.0,1413.17,1634.66,1708.49,2.0,90.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3C_MODERATE,2026-05-25,VAL,BULL,1487.0,1413.17,1634.66,1708.49,2.0,90.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3D_BULL_ONLY,2026-05-25,VAL,BULL,1487.0,1413.17,1634.66,1708.49,2.0,90.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3A_STANDARD,2026-06-03,HOLDOUT,BULL,1506.5,1426.08,1667.34,1747.76,2.0,95.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3B_TIGHT_VCP,2026-06-03,HOLDOUT,BULL,1506.5,1426.08,1667.34,1747.76,2.0,95.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3C_MODERATE,2026-06-03,HOLDOUT,BULL,1506.5,1426.08,1667.34,1747.76,2.0,95.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3D_BULL_ONLY,2026-06-03,HOLDOUT,BULL,1506.5,1426.08,1667.34,1747.76,2.0,95.0,-1.0,SL_HIT,4
IMFA,MULTITF_V3A_STANDARD,2026-06-04,HOLDOUT,BULL,1527.9000244140625,1457.73,1668.24,1738.41,2.0,95.0,-1.0,SL_HIT,2
IMFA,MULTITF_V3C_MODERATE,2026-06-04,HOLDOUT,BULL,1527.9000244140625,1457.73,1668.24,1738.41,2.0,95.0,-1.0,SL_HIT,2
IMFA,MULTITF_V3D_BULL_ONLY,2026-06-04,HOLDOUT,BULL,1527.9000244140625,1457.73,1668.24,1738.41,2.0,95.0,-1.0,SL_HIT,2
ZYDUSLIFE,MULTITF_V3A_STANDARD,2026-06-19,HOLDOUT,BULL,1086.699951171875,1061.08,1137.94,1163.56,2.0,100.0,2.0,T1_HIT,1
ZYDUSLIFE,MULTITF_V3B_TIGHT_VCP,2026-06-19,HOLDOUT,BULL,1086.699951171875,1061.08,1137.94,1163.56,2.0,100.0,2.0,T1_HIT,1
ZYDUSLIFE,MULTITF_V3C_MODERATE,2026-06-19,HOLDOUT,BULL,1086.699951171875,1061.18,1137.74,1163.26,2.0,90.0,2.0,T1_HIT,1
ZYDUSLIFE,MULTITF_V3D_BULL_ONLY,2026-06-19,HOLDOUT,BULL,1086.699951171875,1061.08,1137.94,1163.56,2.0,100.0,2.0,T1_HIT,1
REDTAPE,MULTITF_V3A_STANDARD,2026-05-08,VAL,BEAR,134.0,127.71,146.58,152.87,2.0,80.0,2.0,T1_HIT,1
REDTAPE,MULTITF_V3C_MODERATE,2026-05-08,VAL,BEAR,134.0,127.71,146.58,152.87,2.0,80.0,2.0,T1_HIT,1
REDTAPE,MULTITF_V3A_STANDARD,2026-05-26,VAL,NEUTRAL,136.52999877929688,128.93,151.73,159.33,2.0,90.0,2.0,T1_HIT,1
REDTAPE,MULTITF_V3B_TIGHT_VCP,2026-05-26,VAL,NEUTRAL,136.52999877929688,128.93,151.73,159.33,2.0,90.0,2.0,T1_HIT,1
