symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1,signal_rr,score,support_type,stop_width_pct
360ONE,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2026-01-23,VAL,NEUTRAL,1138.532018926266,1119.11,1187.09,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.7058825402716944
360ONE,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2026-01-23,VAL,NEUTRAL,1138.532018926266,1110.08,1209.66,-1.0,1,0,2.5,75.0,EMA20_SHELF,2.499009114657898
360ONE,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2026-01-23,VAL,NEUTRAL,1138.532018926266,1119.11,1187.09,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.7058825402716944
360ONE,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2026-01-23,VAL,NEUTRAL,1138.532018926266,1110.08,1209.66,-1.0,1,0,2.5,75.0,EMA20_SHELF,2.499009114657898
360ONE,PULLBACK_CHALL_E_EMA20_RECLAIM_2ATR,2026-01-23,VAL,NEUTRAL,1138.532018926266,1119.11,1187.09,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.7058825402716944
360ONE,PULLBACK_CHALL_F_VOL_DRY_PRIOR_HIGH_SHELF,2026-01-23,VAL,NEUTRAL,1138.532018926266,1110.08,1209.66,-1.0,1,0,2.5,75.0,EMA20_SHELF,2.499009114657898
360ONE,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2026-01-27,VAL,NEUTRAL,1134.535074774283,1114.38,1184.92,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.776505215433092
360ONE,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2026-01-27,VAL,NEUTRAL,1134.535074774283,1110.08,1195.67,-1.0,1,0,2.5,75.0,EMA20_SHELF,2.155515093189024
360ONE,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2026-02-11,VAL,BULL,1142.2184926365298,1124.73,1185.94,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.5310987126606532
360ONE,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2026-02-11,VAL,BULL,1142.2184926365298,1077.22,1304.71,-1.0,1,0,2.5,75.0,EMA20_SHELF,5.690548091766297
360ONE,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2026-02-11,VAL,BULL,1142.2184926365298,1124.73,1185.94,-1.0,1,0,2.5,75.0,EMA20_SHELF,1.5310987126606532
360ONE,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2026-02-11,VAL,BULL,1142.2184926365298,1077.22,1304.71,-1.0,1,0,2.5,75.0,EMA20_SHELF,5.690548091766297
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-09-10,DEV,BULL,1369.1138586145794,1345.64,1427.8,2.5,0,1,2.5,75.0,EMA20_SHELF,1.7145293261681485
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-09-10,DEV,BULL,1369.1138586145794,1320.52,1490.6,2.19,0,0,2.5,75.0,EMA20_SHELF,3.549292727469141
3MINDIA,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2025-09-10,DEV,BULL,1369.1138586145794,1345.64,1427.8,2.5,0,1,2.5,75.0,EMA20_SHELF,1.7145293261681485
3MINDIA,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2025-09-10,DEV,BULL,1369.1138586145794,1320.52,1490.6,2.19,0,0,2.5,75.0,EMA20_SHELF,3.549292727469141
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-09-12,DEV,BULL,1372.0493257906935,1348.46,1431.02,2.5,0,1,2.5,75.0,EMA20_SHELF,1.7192768034851265
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-09-12,DEV,BULL,1372.0493257906935,1337.35,1458.8,2.5,0,1,2.5,75.0,EMA20_SHELF,2.529014455853972
3MINDIA,PULLBACK_CHALL_G_VOL_DRY_HYBRID,2025-09-12,DEV,BULL,1372.0493257906935,1324.03,1492.1,1.9,0,0,2.5,75.0,EMA20_SHELF,3.4998250345715998
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-09-17,DEV,BULL,1373.1056677405768,1348.34,1435.02,2.5,0,1,2.5,75.0,EMA20_SHELF,1.8036243183911969
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-09-17,DEV,BULL,1373.1056677405768,1340.61,1454.34,2.5,0,1,2.5,75.0,EMA20_SHELF,2.366581720840756
3MINDIA,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2025-09-17,DEV,BULL,1373.1056677405768,1348.34,1435.02,2.5,0,1,2.5,75.0,EMA20_SHELF,1.8036243183911969
3MINDIA,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2025-09-17,DEV,BULL,1373.1056677405768,1340.61,1454.34,2.5,0,1,2.5,75.0,EMA20_SHELF,2.366581720840756
3MINDIA,PULLBACK_CHALL_F_VOL_DRY_PRIOR_HIGH_SHELF,2025-09-17,DEV,BULL,1373.1056677405768,1340.61,1454.34,2.5,0,1,2.5,75.0,EMA20_SHELF,2.366581720840756
3MINDIA,PULLBACK_CHALL_G_VOL_DRY_HYBRID,2025-09-17,DEV,BULL,1373.1056677405768,1325.05,1493.24,2.12,0,0,2.5,75.0,EMA20_SHELF,3.499779286444259
3MINDIA,PULLBACK_CHALL_H_VOL_DRY_PRIOR_HIGH,2025-09-17,DEV,BULL,1373.1056677405768,1325.05,1493.24,2.12,0,0,2.5,75.0,EMA20_SHELF,3.499779286444259
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-09-18,DEV,BULL,1383.4246761316613,1358.57,1445.56,2.5,0,1,2.5,75.0,EMA20_SHELF,1.7966049442720726
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-09-18,DEV,BULL,1383.4246761316613,1340.61,1490.46,2.28,0,0,2.5,75.0,EMA20_SHELF,3.094832474101877
3MINDIA,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2025-09-18,DEV,BULL,1383.4246761316613,1358.57,1445.56,2.5,0,1,2.5,75.0,EMA20_SHELF,1.7966049442720726
3MINDIA,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2025-09-18,DEV,BULL,1383.4246761316613,1340.61,1490.46,2.28,0,0,2.5,75.0,EMA20_SHELF,3.094832474101877
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-10-14,DEV,BULL,1476.6807921793356,1454.49,1532.16,2.5,0,1,2.5,75.0,EMA20_SHELF,1.5027480750654112
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-10-14,DEV,BULL,1476.6807921793356,1395.39,1679.91,1.19,0,0,2.5,75.0,EMA20_SHELF,5.504967126941756
3MINDIA,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2025-10-14,DEV,BULL,1476.6807921793356,1454.49,1532.16,2.5,0,1,2.5,75.0,EMA20_SHELF,1.5027480750654112
3MINDIA,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2025-10-14,DEV,BULL,1476.6807921793356,1395.39,1679.91,1.19,0,0,2.5,75.0,EMA20_SHELF,5.504967126941756
3MINDIA,PULLBACK_CHALL_A_BULL_CLOSE_2ATR,2025-10-21,DEV,BULL,1501.0609891484837,1478.67,1557.04,2.5,0,1,2.5,75.0,EMA20_SHELF,1.491677507466603
3MINDIA,PULLBACK_CHALL_B_BULL_CLOSE_SHELF,2025-10-21,DEV,BULL,1501.0609891484837,1440.84,1651.61,0.47,0,0,2.5,75.0,EMA20_SHELF,4.0118948919354525
3MINDIA,PULLBACK_CHALL_C_PRIOR_HIGH_2ATR,2025-10-21,DEV,BULL,1501.0609891484837,1478.67,1557.04,2.5,0,1,2.5,75.0,EMA20_SHELF,1.491677507466603
3MINDIA,PULLBACK_CHALL_D_PRIOR_HIGH_SHELF,2025-10-21,DEV,BULL,1501.0609891484837,1440.84,1651.61,0.47,0,0,2.5,75.0,EMA20_SHELF,4.0118948919354525
