symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
360ONE,REV_V1_BASELINE,2025-07-24,DEV,BEAR,1086.49519786743,1059.33,1140.83,-1.0,1,0
360ONE,REV_V23D_15D_MULTI_REGIME,2025-07-24,DEV,BEAR,1086.49519786743,1059.33,1154.41,-1.0,1,0
360ONE,REV_V23D_15D_MULTI_REGIME,2025-08-21,DEV,BEAR,1072.2585477361536,1045.45,1139.28,-0.47,0,0
360ONE,REV_V1_BASELINE,2025-09-19,DEV,BEAR,1054.371019271382,1028.01,1107.09,-1.0,1,0
360ONE,REV_V1_BASELINE,2025-10-06,DEV,BEAR,995.3169715510346,970.43,1045.09,-1.0,1,0
360ONE,REV_V23D_15D_MULTI_REGIME,2025-10-06,DEV,BEAR,995.3169715510346,970.43,1057.53,-1.0,1,0
360ONE,REV_V1_BASELINE,2025-10-27,DEV,BEAR,935.2332132882458,911.85,982.0,2.0,0,1
360ONE,REV_V23D_15D_MULTI_REGIME,2025-10-27,DEV,BEAR,935.2332132882458,911.85,993.69,2.5,0,1
360ONE,REV_V1_BASELINE,2026-01-30,VAL,NEUTRAL,1107.2279454365262,1079.55,1162.58,-1.0,1,0
360ONE,REV_V22C_WIDER_SL_20D,2026-01-30,VAL,NEUTRAL,1107.2279454365262,1079.55,1176.42,-1.0,1,0
360ONE,REV_V23A_10D_SWEEP_EXPANDED,2026-01-30,VAL,NEUTRAL,1107.2279454365262,1079.55,1176.42,-1.0,1,0
360ONE,REV_V23B_15D_SWEEP_EXPANDED,2026-01-30,VAL,NEUTRAL,1107.2279454365262,1079.55,1176.42,-1.0,1,0
360ONE,REV_V1_BASELINE,2026-02-20,VAL,NEUTRAL,1094.1765404939665,1066.82,1148.89,-1.0,1,0
360ONE,REV_V22C_WIDER_SL_20D,2026-02-20,VAL,NEUTRAL,1094.1765404939665,1066.82,1162.57,-1.0,1,0
360ONE,REV_V23B_15D_SWEEP_EXPANDED,2026-02-20,VAL,NEUTRAL,1094.1765404939665,1066.82,1162.57,-1.0,1,0
360ONE,REV_V23D_15D_MULTI_REGIME,2026-02-20,VAL,NEUTRAL,1094.1765404939665,1066.82,1162.57,-1.0,1,0
