symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,signal_rr,score,stage,engine_path,realized_rr,exit_reason,exit_date,holding_period_bars,max_favorable_excursion_r,max_adverse_excursion_r,r1_hit_before_sl,r1_5_hit_before_sl,r2_hit_before_sl,post_sl_recovered_entry,post_sl_recovered_t1,post_sl_max_recovery_r
VEDL,REVERSAL_V2A_SWEEP_RECLAIM,2025-10-24,DEV,NEUTRAL,1053.11,1040.6,1107.39,4.34,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.24,SL_HIT,2025-10-24,1,0.0,1.48,0,0,0,1,0,0.05
VEDL,REVERSAL_V21A_SWEEP_RECLAIM,2025-10-24,DEV,NEUTRAL,1053.11,1039.73,1107.39,4.06,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.16,SL_HIT,2025-10-24,1,0.0,1.39,0,0,0,1,0,0.04
VEDL,REVERSAL_V22A_NO_BEAR,2025-10-24,DEV,NEUTRAL,1053.11,1039.73,1107.39,4.06,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.16,SL_HIT,2025-10-24,1,0.0,1.39,0,0,0,1,0,0.04
VEDL,REVERSAL_V22C_WIDER_SL,2025-10-24,DEV,NEUTRAL,1053.11,1035.56,1088.21,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-10-24,1,0.0,1.06,0,0,0,1,0,0.03
CLEAN,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-03,DEV,NEUTRAL,1012.39,999.49,1067.16,4.25,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-04,1,0.55,2.77,0,0,0,0,0,-1.76
CLEAN,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-03,DEV,NEUTRAL,1012.39,977.65,1067.16,1.58,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-04,1,0.2,1.03,0,0,0,0,0,-0.65
CLEAN,REVERSAL_V22A_NO_BEAR,2025-11-03,DEV,NEUTRAL,1012.39,977.65,1067.16,1.58,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-04,1,0.2,1.03,0,0,0,0,0,-0.65
CLEAN,REVERSAL_V22B_CAPITULATION,2025-11-03,DEV,NEUTRAL,1012.39,977.65,1067.16,1.58,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-04,1,0.2,1.03,0,0,0,0,0,-0.65
CLEAN,REVERSAL_V22C_WIDER_SL,2025-11-03,DEV,NEUTRAL,1012.39,966.2,1104.77,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-06,2,0.15,1.19,0,0,0,0,0,-0.97
EMAMILTD,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-10,DEV,NEUTRAL,515.55,500.09,545.36,1.93,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-24,10,0.46,1.13,0,0,0,1,0,1.07
SPAL,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-10,DEV,NEUTRAL,690.4,663.76,771.7,3.05,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,3.05,T1_HIT,2025-11-14,4,4.34,0.17,1,1,1,0,0,0.0
SPAL,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-10,DEV,NEUTRAL,690.4,662.67,771.7,2.93,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,2.93,T1_HIT,2025-11-14,4,4.17,0.16,1,1,1,0,0,0.0
SPAL,REVERSAL_V22A_NO_BEAR,2025-11-10,DEV,NEUTRAL,690.4,662.67,771.7,2.93,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,2.93,T1_HIT,2025-11-14,4,4.17,0.16,1,1,1,0,0,0.0
SPAL,REVERSAL_V22B_CAPITULATION,2025-11-10,DEV,NEUTRAL,690.4,662.67,771.7,2.93,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,2.93,T1_HIT,2025-11-14,4,4.17,0.16,1,1,1,0,0,0.0
SPAL,REVERSAL_V22C_WIDER_SL,2025-11-10,DEV,NEUTRAL,690.4,648.85,773.5,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,2.0,T1_HIT,2025-11-14,4,2.78,0.11,1,1,1,0,0,0.0
MANKIND,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-12,DEV,NEUTRAL,2270.0,2202.13,2458.0,2.77,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-03,15,0.45,1.36,0,0,0,0,0,-0.71
MANKIND,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-12,DEV,NEUTRAL,2270.0,2187.51,2458.0,2.28,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-03,15,0.37,1.12,0,0,0,0,0,-0.59
MANKIND,REVERSAL_V22A_NO_BEAR,2025-11-12,DEV,NEUTRAL,2270.0,2187.51,2458.0,2.28,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-03,15,0.37,1.12,0,0,0,0,0,-0.59
MANKIND,REVERSAL_V22B_CAPITULATION,2025-11-12,DEV,NEUTRAL,2270.0,2187.51,2458.0,2.28,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-03,15,0.37,1.12,0,0,0,0,0,-0.59
MANKIND,REVERSAL_V22C_WIDER_SL,2025-11-12,DEV,NEUTRAL,2270.0,2161.98,2486.04,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,19,0.28,1.02,0,0,0,0,0,-0.73
MAXHEALTH,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-12,DEV,NEUTRAL,1101.64,1074.58,1192.28,3.35,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-04,16,3.02,1.24,1,1,1,1,0,0.2
MAXHEALTH,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-12,DEV,NEUTRAL,1101.64,1067.83,1192.28,2.68,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,19,2.42,1.25,1,1,1,0,0,-0.45
MAXHEALTH,REVERSAL_V22A_NO_BEAR,2025-11-12,DEV,NEUTRAL,1101.64,1067.83,1192.28,2.68,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,19,2.42,1.25,1,1,1,0,0,-0.45
MAXHEALTH,REVERSAL_V22B_CAPITULATION,2025-11-12,DEV,NEUTRAL,1101.64,1067.83,1192.28,2.68,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,19,2.42,1.25,1,1,1,0,0,-0.45
MAXHEALTH,REVERSAL_V22C_WIDER_SL,2025-11-12,DEV,NEUTRAL,1101.64,1054.73,1195.46,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-0.56,EXPIRED_NEG,2025-12-10,20,1.74,0.9,1,1,0,0,0,0.0
PAGEIND,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-14,DEV,NEUTRAL,39340.51,38602.4,41056.99,2.33,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-18,2,0.81,1.37,0,0,0,0,0,-0.5
GVT&D,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-24,DEV,NEUTRAL,2863.9,2781.62,3181.8,3.86,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-02,6,1.81,1.02,1,1,0,1,0,2.66
GVT&D,REVERSAL_V22A_NO_BEAR,2025-11-24,DEV,NEUTRAL,2863.9,2781.62,3181.8,3.86,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-02,6,1.81,1.02,1,1,0,1,0,2.66
GVT&D,REVERSAL_V22C_WIDER_SL,2025-11-24,DEV,NEUTRAL,2863.9,2722.94,3145.82,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-05,9,1.06,1.08,1,0,0,1,0,1.55
KAJARIACER,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-24,DEV,NEUTRAL,1090.7,1067.73,1141.0,2.19,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-11-28,4,0.76,1.21,0,0,0,1,0,0.05
VMM,REVERSAL_V2A_SWEEP_RECLAIM,2025-11-24,DEV,NEUTRAL,133.59,129.35,143.7,2.38,65.0,RECLAIM_CONFIRMED,STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-08,10,1.04,1.08,1,0,0,1,0,1.39
VMM,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-24,DEV,NEUTRAL,133.59,127.93,143.7,1.79,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,11,0.78,1.46,0,0,0,1,0,1.04
VMM,REVERSAL_V22A_NO_BEAR,2025-11-24,DEV,NEUTRAL,133.59,127.93,143.7,1.79,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,11,0.78,1.46,0,0,0,1,0,1.04
VMM,REVERSAL_V22B_CAPITULATION,2025-11-24,DEV,NEUTRAL,133.59,127.93,143.7,1.79,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,11,0.78,1.46,0,0,0,1,0,1.04
VMM,REVERSAL_V22C_WIDER_SL,2025-11-24,DEV,NEUTRAL,133.59,125.78,149.21,2.0,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-09,11,0.56,1.06,0,0,0,1,0,0.76
SHYAMMETL,REVERSAL_V21A_SWEEP_RECLAIM,2025-11-26,DEV,NEUTRAL,827.1,799.18,873.95,1.68,65.0,RECLAIM_CONFIRMED,V21_STAGE3_RECLAIM,-1.0,SL_HIT,2025-12-03,5,0.25,1.1,0,0,0,0,0,-0.1
