variant,val_n,val_exp,val_wr,val_pf,val_mfe,val_mae
B1 Price,693,-0.305,29.3,0.46,0.47,-0.68
B2 Price+Volume,364,-0.242,32.4,0.57,0.61,-0.72
B3 Price+VWAP,635,-0.285,30.4,0.49,0.47,-0.67
B4 Price+OI,271,-0.284,30.6,0.49,0.47,-0.68
B5 Momentum,335,-0.219,33.4,0.61,0.6,-0.71
B6 Legacy SC,131,-0.179,35.9,0.67,0.66,-0.72
V1 Pre-Signal OI,51,-0.146,39.2,0.75,0.71,-0.77
V2 Crowdedness+OI,2,-1.0,0.0,0.0,0.25,-1.24
V3 Volume/OI,97,-0.131,37.1,0.74,0.7,-0.68
V4 Prior Decline,72,-0.335,30.6,0.43,0.41,-0.73
V5 Expiry,0,0.0,0.0,0.0,0.0,0.0
V7 Quick Exit,249,-0.164,39.0,0.58,0.5,-0.64
V8 Fade Short,8,0.09,50.0,1.29,0.39,-1.16
