variant,holdout_n,observed_effect_r,cohen_d,se,ci_low,ci_high,power,mde_at_80pct,classification
B1 Price,884,-0.189,-0.215,0.03,-0.246,-0.13,1.0,0.084,FAIL
B2 Price+Vol,488,-0.201,-0.221,0.041,-0.282,-0.125,1.0,0.115,FAIL
B6 Price+Vol+OI,179,-0.185,-0.205,0.068,-0.311,-0.056,0.78,0.19,FAIL
V1 Pre-Signal OI,73,-0.291,-0.321,0.106,-0.493,-0.07,0.78,0.297,FAIL
V2 Crowdedness+OI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INCONCLUSIVE / UNDERPOWERED
V3 Volume/OI,124,-0.191,-0.216,0.08,-0.338,-0.041,0.67,0.224,FAIL
V4 Prior Decline,50,-0.097,-0.112,0.123,-0.328,0.166,0.12,0.344,INCONCLUSIVE / UNDERPOWERED
V5 Expiry Interaction,133,-0.288,-0.353,0.071,-0.428,-0.152,0.98,0.199,FAIL
V7 Quick Exit,350,-0.158,-0.277,0.03,-0.214,-0.101,1.0,0.084,FAIL
V8 Fade Short,6,0.588,0.734,0.327,-0.079,1.0,0.44,0.916,INCONCLUSIVE / UNDERPOWERED
