symbol,scan_date,next_date,regime,eod_score,est_5m_score,vol_surge,price_move_pct,gap_up_pct,raw_r,realized_r,hit_stop,atr,o_nd,h_nd,l_nd,c_nd,variant_id,sector
DRREDDY,2025-10-01,2025-10-03,BEAR,80.0,80.0,1.385,0.338,-0.064,1.15,0.745,0,24.84,1236.06,1257.43,1232.19,1240.23,V1_PROD_BASELINE,PHARMA
DIVISLAB,2025-10-01,2025-10-03,BEAR,80.0,80.0,1.497,1.849,0.867,1.92,1.251,0,119.54,5759.5,5932.0,5746.0,5866.0,V1_PROD_BASELINE,PHARMA
LODHA,2025-10-06,2025-10-07,BULL,80.0,85.0,5.86,2.415,0.26,1.59,1.033,1,28.68,1118.0,1152.2,1098.8,1145.0,V1_PROD_BASELINE,REALTY
ICICIGI,2025-10-14,2025-10-15,NEUTRAL,80.0,85.0,12.316,6.607,2.173,5.12,3.0,0,37.46,1881.82,2025.7,1881.82,2006.14,V1_PROD_BASELINE,FINSERV
NESTLEIND,2025-10-14,2025-10-15,NEUTRAL,80.0,85.0,2.251,3.905,0.0,3.27,2.126,0,19.97,1163.59,1212.59,1163.59,1209.03,V1_PROD_BASELINE,FMCG
COALINDIA,2025-10-29,2025-10-30,BULL,80.0,85.0,2.269,1.24,0.249,1.33,0.866,1,5.77,367.98,373.75,364.48,372.55,V1_PROD_BASELINE,ENERGY
DLF,2025-10-31,2025-11-03,NEUTRAL,80.0,80.0,1.785,2.94,-0.165,2.73,1.776,0,14.22,745.64,774.77,743.02,767.56,V1_PROD_BASELINE,REALTY
DABUR,2025-10-31,2025-11-03,NEUTRAL,80.0,80.0,1.703,3.114,0.113,2.22,1.446,0,9.62,479.32,495.37,476.86,494.25,V1_PROD_BASELINE,FMCG
ADANIENT,2025-11-06,2025-11-07,BEAR,80.0,85.0,2.153,2.35,0.03,1.9,1.233,0,61.49,2313.97,2401.43,2290.38,2368.34,V1_PROD_BASELINE,ENERGY
HINDALCO,2025-11-06,2025-11-07,BEAR,80.0,80.0,1.36,0.241,0.013,0.97,0.283,0,19.35,784.41,798.43,778.94,786.3,V1_PROD_BASELINE,METAL
TRENT,2025-11-10,2025-11-11,BEAR,80.0,80.0,1.672,0.484,0.264,0.85,0.224,0,109.95,4288.66,4358.56,4256.81,4309.43,V1_PROD_BASELINE,CONS
KOTAKBANK,2025-11-14,2025-11-17,BULL,80.0,85.0,2.314,0.377,0.736,1.0,0.651,0,6.62,418.28,423.25,417.76,419.86,V1_PROD_BASELINE,BANK
EICHERMOT,2025-11-14,2025-11-17,BULL,80.0,80.0,1.517,1.025,0.523,0.77,0.187,0,135.97,6730.0,6809.0,6675.0,6799.0,V1_PROD_BASELINE,AUTO
MPHASIS,2025-11-20,2025-11-21,BULL,80.0,85.0,2.038,0.446,-0.201,0.77,0.184,0,71.54,2663.49,2704.69,2642.65,2675.37,V1_PROD_BASELINE,IT
BAJFINANCE,2025-11-26,2025-11-27,BULL,80.0,80.0,1.827,1.792,0.485,1.7,1.106,0,22.83,1009.4,1038.52,1004.72,1027.48,V1_PROD_BASELINE,FINSERV
ITC,2025-11-28,2025-12-01,BULL,80.0,80.0,1.636,0.36,-0.359,0.78,-1.0,1,4.42,384.07,386.64,379.68,385.45,V1_PROD_BASELINE,FMCG
SBIN,2025-12-04,2025-12-05,NEUTRAL,80.0,80.0,1.602,2.387,0.079,2.26,1.47,0,14.16,932.05,956.07,929.94,954.3,V1_PROD_BASELINE,BANK
ADANIENT,2025-12-04,2025-12-05,NEUTRAL,80.0,80.0,1.547,2.142,-0.0,1.13,0.732,0,59.97,2216.91,2267.59,2201.92,2264.39,V1_PROD_BASELINE,ENERGY
