variant_id,variant_name,regime,n,wr,e_r,avg_r,median_r,total_r,pf,max_dd,sl_rate,rate_3r,rate_5r,rate_6r
V1_PROD_BASELINE,V1 — Production Baseline,BULL,34,94.12,0.8756,0.8756,0.888,29.771,15.886,1.0,5.88,5.88,0.0,0.0
V1_PROD_BASELINE,V1 — Production Baseline,BEAR,80,97.5,0.8442,0.8442,0.847,67.534,34.767,1.0,2.5,3.75,1.25,0.0
V1_PROD_BASELINE,V1 — Production Baseline,NEUTRAL,66,96.97,0.964,0.964,0.915,63.623,32.811,1.0,3.03,7.58,1.52,0.0
V2_RELAXED_OI_GATE,V2 — Relaxed 5m OI Gate,BULL,37,94.59,0.837,0.837,0.866,30.969,16.485,1.0,5.41,5.41,0.0,0.0
V2_RELAXED_OI_GATE,V2 — Relaxed 5m OI Gate,BEAR,82,97.56,0.8406,0.8406,0.845,68.932,35.466,1.0,2.44,3.66,1.22,0.0
V2_RELAXED_OI_GATE,V2 — Relaxed 5m OI Gate,NEUTRAL,69,97.1,0.9424,0.9424,0.888,65.024,33.512,1.0,2.9,7.25,1.45,0.0
V3_STRICT_5M_SCORE,V3 — Strict 5m Score Threshold (≥70),BULL,34,94.12,0.8756,0.8756,0.888,29.771,15.886,1.0,5.88,5.88,0.0,0.0
V3_STRICT_5M_SCORE,V3 — Strict 5m Score Threshold (≥70),BEAR,80,97.5,0.8442,0.8442,0.847,67.534,34.767,1.0,2.5,3.75,1.25,0.0
V3_STRICT_5M_SCORE,V3 — Strict 5m Score Threshold (≥70),NEUTRAL,66,96.97,0.964,0.964,0.915,63.623,32.811,1.0,3.03,7.58,1.52,0.0
V4_PERMISSIVE_5M_SCORE,V4 — Permissive 5m Score (≥55),BULL,34,94.12,0.8756,0.8756,0.888,29.771,15.886,1.0,5.88,5.88,0.0,0.0
V4_PERMISSIVE_5M_SCORE,V4 — Permissive 5m Score (≥55),BEAR,80,97.5,0.8442,0.8442,0.847,67.534,34.767,1.0,2.5,3.75,1.25,0.0
V4_PERMISSIVE_5M_SCORE,V4 — Permissive 5m Score (≥55),NEUTRAL,66,96.97,0.964,0.964,0.915,63.623,32.811,1.0,3.03,7.58,1.52,0.0
V5_HIGH_CONVICTION_ONLY,V5 — High-Conviction Only (≥76),BULL,34,94.12,0.8756,0.8756,0.888,29.771,15.886,1.0,5.88,5.88,0.0,0.0
V5_HIGH_CONVICTION_ONLY,V5 — High-Conviction Only (≥76),BEAR,80,97.5,0.8442,0.8442,0.847,67.534,34.767,1.0,2.5,3.75,1.25,0.0
V5_HIGH_CONVICTION_ONLY,V5 — High-Conviction Only (≥76),NEUTRAL,66,96.97,0.964,0.964,0.915,63.623,32.811,1.0,3.03,7.58,1.52,0.0
V6_EOD_NO_CAP,V6 — EOD Cap Lifted (No 35 Limit),BULL,34,94.12,0.8756,0.8756,0.888,29.771,15.886,1.0,5.88,5.88,0.0,0.0
V6_EOD_NO_CAP,V6 — EOD Cap Lifted (No 35 Limit),BEAR,82,97.56,0.8511,0.8511,0.858,69.788,35.894,1.0,2.44,3.66,1.22,0.0
V6_EOD_NO_CAP,V6 — EOD Cap Lifted (No 35 Limit),NEUTRAL,66,96.97,0.964,0.964,0.915,63.623,32.811,1.0,3.03,7.58,1.52,0.0
V7_NOCAP_RELAXED_OI,V7 — No Cap + Relaxed OI Gate,BULL,37,94.59,0.837,0.837,0.866,30.969,16.485,1.0,5.41,5.41,0.0,0.0
V7_NOCAP_RELAXED_OI,V7 — No Cap + Relaxed OI Gate,BEAR,84,97.62,0.8475,0.8475,0.847,71.186,36.593,1.0,2.38,3.57,1.19,0.0
V7_NOCAP_RELAXED_OI,V7 — No Cap + Relaxed OI Gate,NEUTRAL,69,97.1,0.9424,0.9424,0.888,65.024,33.512,1.0,2.9,7.25,1.45,0.0
V8_LIBERAL_EOD,V8 — Liberal EOD Threshold (≥35 score),BULL,53,96.23,0.9768,0.9768,0.919,51.772,26.886,1.0,3.77,7.55,0.0,0.0
V8_LIBERAL_EOD,V8 — Liberal EOD Threshold (≥35 score),BEAR,106,97.17,0.8591,0.8591,0.858,91.066,31.355,1.0,2.83,2.83,0.94,0.0
V8_LIBERAL_EOD,V8 — Liberal EOD Threshold (≥35 score),NEUTRAL,95,97.89,0.9735,0.9735,0.945,92.487,47.243,1.0,2.11,5.26,1.05,0.0
V9_LIBERAL_EOD_NOCAP,V9 — Liberal EOD + No Cap,BULL,53,96.23,0.9768,0.9768,0.919,51.772,26.886,1.0,3.77,7.55,0.0,0.0
V9_LIBERAL_EOD_NOCAP,V9 — Liberal EOD + No Cap,BEAR,117,97.44,0.8763,0.8763,0.888,102.532,35.177,1.0,2.56,4.27,1.71,0.0
V9_LIBERAL_EOD_NOCAP,V9 — Liberal EOD + No Cap,NEUTRAL,98,97.96,0.979,0.979,0.947,95.942,48.971,1.0,2.04,5.1,1.02,0.0
V10_COMPOSITE_OPTIMIZER,V10 — Composite Optimizer,BULL,47,95.74,0.9075,0.9075,0.888,42.653,22.326,1.0,4.26,8.51,0.0,0.0
V10_COMPOSITE_OPTIMIZER,V10 — Composite Optimizer,BEAR,100,98.0,0.869,0.869,0.858,86.903,44.452,1.0,2.0,3.0,1.0,0.0
V10_COMPOSITE_OPTIMIZER,V10 — Composite Optimizer,NEUTRAL,90,97.78,0.9555,0.9555,0.945,85.992,43.996,1.0,2.22,5.56,1.11,0.0
