Time,Symbol,Bars_Available,RVOL_Computable,30M_Structure_Computable
09:15,SYNTHETIC,1,False,False
09:20,SYNTHETIC,2,True,False
09:25,SYNTHETIC,3,True,False
09:30,SYNTHETIC,4,True,False
09:35,SYNTHETIC,5,True,False
09:40,SYNTHETIC,6,True,True
09:45,SYNTHETIC,7,True,True
09:50,SYNTHETIC,8,True,True
09:55,SYNTHETIC,9,True,True
10:00,SYNTHETIC,10,True,True
10:05,SYNTHETIC,11,True,True
10:10,SYNTHETIC,12,True,True
10:15,SYNTHETIC,13,True,True
10:20,SYNTHETIC,14,True,True
10:25,SYNTHETIC,15,True,True
10:30,SYNTHETIC,16,True,True
10:35,SYNTHETIC,17,True,True
10:40,SYNTHETIC,18,True,True
10:45,SYNTHETIC,19,True,True
10:50,SYNTHETIC,20,True,True
10:55,SYNTHETIC,21,True,True
11:00,SYNTHETIC,22,True,True
