variant_id,slot_id,regime,alerts,win_rate,expectancy_r,total_r,profit_factor
VAR_01_BASELINE,BULL_SLOT_1,BULL,1352,72.86,1.5908,2150.805,7.006
VAR_01_BASELINE,BULL_SLOT_2,BULL,1416,75.0,1.6401,2322.368,7.729
VAR_01_BASELINE,BEAR_SLOT_1,BEAR,1434,73.22,1.5899,2279.932,7.109
VAR_01_BASELINE,BEAR_SLOT_2,BEAR,1379,73.24,1.5822,2181.868,7.091
VAR_01_BASELINE,NEUTRAL_SLOT_1,NEUTRAL,1457,73.1,1.5877,2313.211,7.074
VAR_01_BASELINE,NEUTRAL_SLOT_2,NEUTRAL,1427,70.92,1.527,2178.998,6.418
VAR_02_FAST_VELOCITY,BULL_SLOT_1,BULL,1984,83.97,2.0474,4062.132,13.774
VAR_02_FAST_VELOCITY,BULL_SLOT_2,BULL,2005,84.14,2.012,4034.141,13.686
VAR_02_FAST_VELOCITY,BEAR_SLOT_1,BEAR,2032,83.86,2.0493,4164.184,13.696
VAR_02_FAST_VELOCITY,BEAR_SLOT_2,BEAR,1977,84.57,2.0335,4020.171,14.181
VAR_02_FAST_VELOCITY,NEUTRAL_SLOT_1,NEUTRAL,2104,83.84,2.0189,4247.818,13.494
VAR_02_FAST_VELOCITY,NEUTRAL_SLOT_2,NEUTRAL,2109,82.69,1.9471,4106.507,12.251
VAR_03_HIGH_VELOCITY,BULL_SLOT_1,BULL,825,83.76,2.1499,1773.65,14.236
VAR_03_HIGH_VELOCITY,BULL_SLOT_2,BULL,831,85.56,2.1813,1812.665,16.106
VAR_03_HIGH_VELOCITY,BEAR_SLOT_1,BEAR,818,83.25,2.1324,1744.263,13.732
VAR_03_HIGH_VELOCITY,BEAR_SLOT_2,BEAR,826,85.96,2.145,1771.768,16.274
VAR_03_HIGH_VELOCITY,NEUTRAL_SLOT_1,NEUTRAL,887,82.41,2.0589,1826.267,12.707
VAR_03_HIGH_VELOCITY,NEUTRAL_SLOT_2,NEUTRAL,923,82.67,2.0533,1895.168,12.845
VAR_04_TRAPPED_SHORT_3D_PDH,BULL_SLOT_1,BULL,523,100.0,3.2117,1679.734,99.0
VAR_04_TRAPPED_SHORT_3D_PDH,BULL_SLOT_2,BULL,480,100.0,3.1201,1497.662,99.0
VAR_04_TRAPPED_SHORT_3D_PDH,BEAR_SLOT_1,BEAR,468,100.0,3.1979,1496.615,99.0
VAR_04_TRAPPED_SHORT_3D_PDH,BEAR_SLOT_2,BEAR,466,100.0,3.1162,1452.158,99.0
VAR_04_TRAPPED_SHORT_3D_PDH,NEUTRAL_SLOT_1,NEUTRAL,510,100.0,3.1695,1616.456,99.0
VAR_04_TRAPPED_SHORT_3D_PDH,NEUTRAL_SLOT_2,NEUTRAL,503,100.0,3.1095,1564.077,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,BULL_SLOT_1,BULL,187,100.0,3.2495,607.652,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,BULL_SLOT_2,BULL,186,100.0,3.2883,611.629,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,BEAR_SLOT_1,BEAR,181,100.0,3.4068,616.637,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,BEAR_SLOT_2,BEAR,191,100.0,3.2333,617.569,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,NEUTRAL_SLOT_1,NEUTRAL,196,100.0,3.2849,643.845,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,NEUTRAL_SLOT_2,NEUTRAL,201,100.0,3.1367,630.467,99.0
VAR_06_ORH_FIRST_BREAK,BULL_SLOT_1,BULL,960,100.0,3.1093,2984.916,99.0
VAR_06_ORH_FIRST_BREAK,BULL_SLOT_2,BULL,941,100.0,3.1016,2918.625,99.0
VAR_06_ORH_FIRST_BREAK,BEAR_SLOT_1,BEAR,968,100.0,3.1541,3053.179,99.0
VAR_06_ORH_FIRST_BREAK,BEAR_SLOT_2,BEAR,984,100.0,3.0969,3047.35,99.0
VAR_06_ORH_FIRST_BREAK,NEUTRAL_SLOT_1,NEUTRAL,1015,100.0,3.0941,3140.518,99.0
VAR_06_ORH_FIRST_BREAK,NEUTRAL_SLOT_2,NEUTRAL,990,100.0,3.0315,3001.228,99.0
VAR_07_ORH_RETEST_HOLD,BULL_SLOT_1,BULL,555,100.0,2.8746,1595.405,99.0
VAR_07_ORH_RETEST_HOLD,BULL_SLOT_2,BULL,538,100.0,2.9067,1563.779,99.0
VAR_07_ORH_RETEST_HOLD,BEAR_SLOT_1,BEAR,531,100.0,2.9313,1556.542,99.0
VAR_07_ORH_RETEST_HOLD,BEAR_SLOT_2,BEAR,569,100.0,2.907,1654.101,99.0
VAR_07_ORH_RETEST_HOLD,NEUTRAL_SLOT_1,NEUTRAL,574,100.0,2.9116,1671.277,99.0
VAR_07_ORH_RETEST_HOLD,NEUTRAL_SLOT_2,NEUTRAL,587,100.0,2.7807,1632.276,99.0
VAR_08_PURE_OI_ACCELERATION,BULL_SLOT_1,BULL,572,83.04,2.5239,1443.658,15.883
VAR_08_PURE_OI_ACCELERATION,BULL_SLOT_2,BULL,558,86.02,2.5201,1406.22,19.028
VAR_08_PURE_OI_ACCELERATION,BEAR_SLOT_1,BEAR,579,83.07,2.4929,1443.382,15.728
VAR_08_PURE_OI_ACCELERATION,BEAR_SLOT_2,BEAR,570,86.14,2.4934,1421.242,18.99
VAR_08_PURE_OI_ACCELERATION,NEUTRAL_SLOT_1,NEUTRAL,592,82.6,2.4668,1460.36,15.178
VAR_08_PURE_OI_ACCELERATION,NEUTRAL_SLOT_2,NEUTRAL,605,82.15,2.346,1419.357,14.142
VAR_09_DIURNAL_TOD_VELOCITY,BULL_SLOT_1,BULL,411,83.7,2.272,933.785,14.937
VAR_09_DIURNAL_TOD_VELOCITY,BULL_SLOT_2,BULL,421,85.51,2.3169,975.414,16.99
VAR_09_DIURNAL_TOD_VELOCITY,BEAR_SLOT_1,BEAR,395,82.03,2.2513,889.28,13.525
VAR_09_DIURNAL_TOD_VELOCITY,BEAR_SLOT_2,BEAR,410,87.32,2.429,995.896,20.152
VAR_09_DIURNAL_TOD_VELOCITY,NEUTRAL_SLOT_1,NEUTRAL,412,83.5,2.2369,921.609,14.553
VAR_09_DIURNAL_TOD_VELOCITY,NEUTRAL_SLOT_2,NEUTRAL,448,83.04,2.1404,958.903,13.617
VAR_10_COMPOSITE_APEX,BULL_SLOT_1,BULL,101,100.0,4.9874,503.723,99.0
VAR_10_COMPOSITE_APEX,BULL_SLOT_2,BULL,101,100.0,4.9595,500.912,99.0
VAR_10_COMPOSITE_APEX,BEAR_SLOT_1,BEAR,99,100.0,5.1795,512.771,99.0
VAR_10_COMPOSITE_APEX,BEAR_SLOT_2,BEAR,95,100.0,4.9836,473.443,99.0
VAR_10_COMPOSITE_APEX,NEUTRAL_SLOT_1,NEUTRAL,116,100.0,4.8976,568.127,99.0
VAR_10_COMPOSITE_APEX,NEUTRAL_SLOT_2,NEUTRAL,114,100.0,4.7892,545.972,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,BULL_SLOT_1,BULL,38,100.0,5.1757,196.676,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,BULL_SLOT_2,BULL,33,100.0,4.8535,160.165,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,BEAR_SLOT_1,BEAR,35,100.0,5.0971,178.398,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,BEAR_SLOT_2,BEAR,42,100.0,5.3389,224.232,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,NEUTRAL_SLOT_1,NEUTRAL,44,100.0,5.0201,220.886,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,NEUTRAL_SLOT_2,NEUTRAL,32,100.0,4.6178,147.771,99.0
VAR_12_EARLY_MOMENTUM_SCALP,BULL_SLOT_1,BULL,627,84.05,2.1892,1372.598,14.726
VAR_12_EARLY_MOMENTUM_SCALP,BULL_SLOT_2,BULL,591,84.6,2.1102,1247.138,14.705
VAR_12_EARLY_MOMENTUM_SCALP,BEAR_SLOT_1,BEAR,600,84.5,2.1706,1302.343,15.004
VAR_12_EARLY_MOMENTUM_SCALP,BEAR_SLOT_2,BEAR,621,85.51,2.0958,1301.48,15.461
VAR_12_EARLY_MOMENTUM_SCALP,NEUTRAL_SLOT_1,NEUTRAL,656,83.38,2.0976,1376.006,13.624
VAR_12_EARLY_MOMENTUM_SCALP,NEUTRAL_SLOT_2,NEUTRAL,678,81.56,2.0462,1387.342,12.099
