variant_id,name,total_alerts,win_rate,expectancy_r,total_r,profit_factor,max_dd,rate_3r,rate_5r,rate_10r,avg_time_5r,bull_pf,bear_pf,neutral_pf,min_slot_pf
VAR_01_BASELINE,Variant 1: Existing Production Baseline,8465,73.05,1.5862,13427.182,7.055,6.63,54.49,10.99,3.28,53.2,7.361,7.1,6.737,6.418
VAR_02_FAST_VELOCITY,Variant 2: VWAP + Moderate Velocity (RVOL 2.0x),12211,83.83,2.0174,24634.953,13.48,5.0,65.71,10.37,2.28,58.6,13.73,13.929,12.85,12.251
VAR_03_HIGH_VELOCITY,Variant 3: VWAP + High Velocity (RVOL 3.5x),5110,83.89,2.1182,10823.781,14.152,4.0,66.03,13.42,3.86,54.0,15.119,14.897,12.777,12.707
VAR_04_TRAPPED_SHORT_3D_PDH,Variant 4: Trapped Short 3D + PDH Snap,2950,100.0,3.1548,9306.702,99.0,0.0,85.46,25.12,9.42,49.0,99.0,99.0,99.0,99.0
VAR_05_TRAPPED_SHORT_5D_SWING,Variant 5: Trapped Short 5D + 3D Swing High Reclaim,1142,100.0,3.2643,3727.799,99.0,0.0,85.2,30.12,10.68,48.8,99.0,99.0,99.0,99.0
VAR_06_ORH_FIRST_BREAK,Variant 6: 15m Opening Range Squeeze (First Break),5858,100.0,3.0976,18145.816,99.0,0.0,83.44,13.38,3.04,58.7,99.0,99.0,99.0,99.0
VAR_07_ORH_RETEST_HOLD,Variant 7: 15m Opening Range Squeeze (Retest & Continuation),3354,100.0,2.8841,9673.38,99.0,0.0,83.87,17.68,5.31,54.3,99.0,99.0,99.0,99.0
VAR_08_PURE_OI_ACCELERATION,Variant 8: Pure Heavy OI Unwind Acceleration,3476,83.8,2.4724,8594.219,16.265,4.0,68.15,20.77,8.0,48.0,17.285,17.184,14.648,14.142
VAR_09_DIURNAL_TOD_VELOCITY,Variant 9: Diurnal Time-of-Day Normalized Velocity,2497,84.18,2.2727,5674.887,15.367,5.0,67.08,17.74,5.89,50.3,15.916,16.327,14.059,13.525
VAR_10_COMPOSITE_APEX,Variant 10: Composite Apex Squeeze Ignition (Champion),626,100.0,4.96,3104.948,99.0,0.0,93.45,68.53,32.27,41.9,99.0,99.0,99.0,99.0
VAR_11_CONSERVATIVE_CONFLUENCE,Variant 11: Ultra-Conservative Multi-Confluence Squeeze,224,100.0,5.0363,1128.128,99.0,0.0,95.54,70.09,32.59,42.9,99.0,99.0,99.0,99.0
VAR_12_EARLY_MOMENTUM_SCALP,Variant 12: 30-Minute Opening Velocity Scalp,3773,83.89,2.1169,7986.907,14.136,4.0,66.5,13.6,3.9,54.7,14.716,15.229,12.809,12.099
