event_id,slot_id,session_date,trigger_time,symbol,sector,regime,bear_days,rvol,clv,oi_delta_pct,entry_price_rs,sl_price_rs,risk_rs,target_1_rs,target_2_rs,target_3_rs,mfe_price_rs,mfe_r,realized_r,realized_pnl_per_share_rs,time_to_mfe_min
EVT_750_0000024,BULL_SLOT_1,2023-01-02,09:37:00,TATAELXSI_597,NIFTY_REALTY,BULL,3,4.04,0.955,-0.81,7400.0,7359.3,40.7,7522.1,7603.5,7807.0,7976.31,14.16,7.498,305.17,29
EVT_750_0000053,BULL_SLOT_1,2023-01-02,09:30:00,BAJFINANCE_737,NIFTY_IT,BULL,3,4.62,0.845,-1.97,7150.0,7110.68,39.32,7267.96,7346.6,7543.2,7645.04,12.59,6.932,272.57,27
EVT_750_0000127,BULL_SLOT_1,2023-01-04,10:11:00,HAL_159,NIFTY_FIN_SERVICE,BULL,6,5.13,0.938,-1.32,4650.0,4624.43,25.57,4726.71,4777.85,4905.7,4844.08,7.59,5.132,131.23,61
EVT_750_0000155,BULL_SLOT_1,2023-01-04,09:38:00,ONGC_264,NIFTY_CONSUMPTION,BULL,4,5.12,0.879,-2.4,295.0,293.38,1.62,299.86,303.1,311.2,302.08,4.37,3.548,5.75,40
EVT_750_0000253,BULL_SLOT_1,2023-01-06,09:34:00,JSWENERGY_335,NIFTY_INFRA,BULL,4,4.51,0.869,-2.05,680.0,676.26,3.74,691.22,698.7,717.4,705.84,6.91,4.888,18.28,47
EVT_750_0000302,BULL_SLOT_1,2023-01-09,09:28:00,AMBER_592,NIFTY_FMCG,BULL,6,3.26,0.869,-2.35,4850.0,4823.33,26.67,4930.01,4983.35,5116.7,5062.56,7.97,5.269,140.52,63
EVT_750_0000537,BULL_SLOT_1,2023-01-16,09:59:00,TCS_130,NIFTY_ENERGY,BULL,3,4.71,0.926,-0.64,4280.0,4256.46,23.54,4350.62,4397.7,4515.4,4386.64,4.53,3.612,85.03,119
EVT_750_0000733,BULL_SLOT_1,2023-01-19,09:44:00,BHEL,NIFTY_MEDIA,BULL,6,3.3,0.933,-2.04,270.0,268.5,1.5,274.5,277.5,285.0,286.34,10.89,6.32,9.48,47
EVT_750_0000869,BULL_SLOT_1,2023-01-24,09:41:00,TATAPOWER_572,NIFTY_PHARMA,BULL,3,4.42,0.815,-0.71,420.0,417.69,2.31,426.93,431.55,443.1,429.49,4.11,3.444,7.96,28
EVT_750_0000929,BULL_SLOT_1,2023-01-25,09:31:00,KAYNES_233,NIFTY_IT,BULL,3,5.46,0.941,-1.61,5200.0,5171.4,28.6,5285.8,5343.0,5486.0,5403.06,7.1,4.956,141.74,58
EVT_750_0000959,BULL_SLOT_1,2023-01-25,09:22:00,BIOCON_183,NIFTY_FIN_SERVICE,BULL,4,3.66,0.883,-1.29,345.0,343.1,1.9,350.7,354.5,364.0,360.92,8.38,5.417,10.29,52
EVT_750_0000967,BULL_SLOT_1,2023-01-26,09:33:00,LTTS_238,NIFTY_ENERGY,BULL,3,4.79,0.915,-0.65,5400.0,5370.3,29.7,5489.1,5548.5,5697.0,5732.64,11.2,6.432,191.03,46
EVT_750_0001029,BULL_SLOT_1,2023-01-27,09:33:00,BHEL_342,NIFTY_MEDIA,BULL,3,3.78,0.888,-1.1,270.0,268.5,1.5,274.5,277.5,285.0,276.39,4.26,3.504,5.26,113
EVT_750_0001054,BULL_SLOT_1,2023-01-27,09:30:00,KALPATPOWR_705,NIFTY_REALTY,BULL,4,4.42,0.879,-1.43,1280.0,1272.96,7.04,1301.12,1315.2,1350.4,1303.51,3.34,3.136,22.08,106
EVT_750_0001198,BULL_SLOT_1,2023-02-01,10:13:00,HINDUNILVR_634,NIFTY_ENERGY,BULL,6,3.63,0.966,-0.74,2690.0,2675.21,14.79,2734.37,2763.95,2837.9,2830.06,9.47,5.809,85.92,34
EVT_750_0001220,BULL_SLOT_1,2023-02-01,09:19:00,TORNTPHARM_664,NIFTY_FMCG,BULL,6,5.17,0.939,-1.43,3250.0,3232.12,17.88,3303.64,3339.4,3428.8,3360.68,6.19,4.628,82.75,36
EVT_750_0001232,BULL_SLOT_1,2023-02-02,09:45:00,SBIN_368,NIFTY_PHARMA,BULL,3,3.19,0.977,-1.06,825.0,820.46,4.54,838.62,847.7,870.4,851.65,5.87,4.513,20.49,24
EVT_750_0001242,BULL_SLOT_1,2023-02-02,09:59:00,ZOMATO_170,NIFTY_BANK,BULL,5,4.34,0.853,-1.03,265.0,263.5,1.5,269.5,272.5,280.0,278.86,9.24,5.726,8.59,48
EVT_750_0001293,BULL_SLOT_1,2023-02-03,10:15:00,KOTAKBANK_324,NIFTY_CONSUMPTION,BULL,3,3.92,0.907,-1.86,1780.0,1770.21,9.79,1809.37,1828.95,1877.9,1893.27,11.57,6.565,64.27,36
EVT_750_0001328,BULL_SLOT_1,2023-02-03,10:09:00,ANGELONE_329,NIFTY_IT,BULL,5,5.09,0.949,-1.03,2600.0,2585.7,14.3,2642.9,2671.5,2743.0,2691.95,6.43,4.715,67.42,54
EVT_750_0001379,BULL_SLOT_1,2023-02-06,09:47:00,PFC_550,NIFTY_ENERGY,BULL,4,4.31,0.964,-2.04,385.0,382.88,2.12,391.36,395.6,406.2,390.6,2.64,1.056,2.24,86
EVT_750_0001509,BULL_SLOT_1,2023-02-09,09:48:00,SIEMENS_403,NIFTY_METAL,BULL,6,4.52,0.916,-2.21,6700.0,6663.15,36.85,6810.55,6884.25,7068.5,7128.2,11.62,6.583,242.58,41
EVT_750_0001543,BULL_SLOT_1,2023-02-09,10:03:00,ABB_404,NIFTY_PHARMA,BULL,4,4.1,0.874,-0.98,7800.0,7757.1,42.9,7928.7,8014.5,8229.0,8022.65,5.19,4.268,183.1,107
EVT_750_0001553,BULL_SLOT_1,2023-02-09,09:29:00,DLF,NIFTY_IT,BULL,4,4.69,0.866,-2.3,830.0,825.44,4.56,843.68,852.8,875.6,861.69,6.95,4.902,22.35,59
EVT_750_0001872,BULL_SLOT_1,2023-02-17,10:14:00,SBIN_248,NIFTY_PHARMA,BULL,3,5.46,0.807,-0.87,825.0,820.46,4.54,838.62,847.7,870.4,890.01,14.32,7.555,34.3,38
EVT_750_0001885,BULL_SLOT_1,2023-02-17,09:32:00,HUDCO_433,NIFTY_AUTO,BULL,6,4.49,0.891,-1.77,220.0,218.5,1.5,224.5,227.5,235.0,230.15,6.77,4.837,7.26,62
EVT_750_0001948,BULL_SLOT_1,2023-02-20,10:12:00,TATAMOTORS,NIFTY_INFRA,BULL,4,3.04,0.837,-0.8,985.0,979.58,5.42,1001.26,1012.1,1039.2,1028.03,7.94,5.258,28.5,45
EVT_750_0001999,BULL_SLOT_1,2023-02-20,09:28:00,CROMPTON,NIFTY_BANK,BULL,6,5.19,0.854,-1.38,410.0,407.75,2.25,416.75,421.25,432.5,422.69,5.64,4.43,9.97,55
EVT_750_0002046,BULL_SLOT_1,2023-02-21,10:01:00,ADANIPOWER_694,NIFTY_ENERGY,BULL,5,5.14,0.946,-1.86,640.0,636.48,3.52,650.56,657.6,675.2,656.72,4.75,3.7,13.02,44
EVT_750_0002074,BULL_SLOT_1,2023-02-22,09:47:00,KALPATPOWR_225,NIFTY_REALTY,BULL,3,4.27,0.932,-1.06,1280.0,1272.96,7.04,1301.12,1315.2,1350.4,1372.79,13.18,7.145,50.3,18
EVT_750_0002096,BULL_SLOT_1,2023-02-22,09:54:00,IEX_330,NIFTY_MEDIA,BULL,4,4.5,0.963,-1.18,195.0,193.5,1.5,199.5,202.5,210.0,211.39,10.93,6.335,9.5,64
EVT_750_0002103,BULL_SLOT_1,2023-02-23,09:39:00,RECLTD,NIFTY_INFRA,BULL,4,3.24,0.964,-1.2,480.0,477.36,2.64,487.92,493.2,506.4,489.5,3.6,3.24,8.55,85
EVT_750_0002135,BULL_SLOT_1,2023-02-23,09:28:00,RECLTD_431,NIFTY_INFRA,BULL,5,4.23,0.979,-1.01,480.0,477.36,2.64,487.92,493.2,506.4,502.65,8.58,5.489,14.49,23
EVT_750_0002202,BULL_SLOT_1,2023-02-24,09:59:00,ADANIGREEN,NIFTY_REALTY,BULL,4,4.76,0.935,-0.55,1820.0,1809.99,10.01,1850.03,1870.05,1920.1,1867.15,4.71,3.684,36.88,104
EVT_750_0002213,BULL_SLOT_1,2023-02-27,10:11:00,BAJFINANCE_617,NIFTY_IT,BULL,3,3.95,0.807,-0.72,7150.0,7110.68,39.32,7267.96,7346.6,7543.2,7585.27,11.07,6.385,251.06,44
EVT_750_0002291,BULL_SLOT_1,2023-02-28,09:32:00,HINDUNILVR_754,NIFTY_ENERGY,BULL,6,4.24,0.922,-1.03,2690.0,2675.21,14.79,2734.37,2763.95,2837.9,2856.24,11.24,6.446,95.34,34
EVT_750_0002607,BULL_SLOT_1,2023-03-07,09:19:00,BRITANNIA_756,NIFTY_CONSUMPTION,BULL,3,4.42,0.802,-1.36,5800.0,5768.1,31.9,5895.7,5959.5,6119.0,6058.71,8.11,5.32,169.71,19
EVT_750_0002627,BULL_SLOT_1,2023-03-08,09:25:00,COFORGE_240,NIFTY_CONSUMPTION,BULL,4,4.76,0.844,-1.55,7200.0,7160.4,39.6,7318.8,7398.0,7596.0,7547.29,8.77,5.557,220.06,21
EVT_750_0002661,BULL_SLOT_1,2023-03-09,09:25:00,IEX_330,NIFTY_MEDIA,BULL,4,4.79,0.819,-1.85,195.0,193.5,1.5,199.5,202.5,210.0,208.62,9.08,5.669,8.5,28
EVT_750_0002692,BULL_SLOT_1,2023-03-09,09:24:00,PIDILITIND_642,NIFTY_MEDIA,BULL,6,5.41,0.939,-2.46,3050.0,3033.23,16.77,3100.31,3133.85,3217.7,3286.62,14.11,7.48,125.44,63
EVT_750_0002698,BULL_SLOT_1,2023-03-09,09:25:00,MAXHEALTH,NIFTY_REALTY,BULL,3,4.7,0.936,-1.87,940.0,934.83,5.17,955.51,965.85,991.7,1007.26,13.01,7.084,36.62,47
EVT_750_0002819,BULL_SLOT_1,2023-03-13,09:39:00,CYIENT_715,NIFTY_METAL,BULL,3,4.29,0.842,-2.42,1850.0,1839.83,10.17,1880.51,1900.85,1951.7,1937.46,8.6,5.496,55.89,65
EVT_750_0002836,BULL_SLOT_1,2023-03-13,09:46:00,PERSISTENT_168,NIFTY_CONSUMPTION,BULL,5,4.92,0.966,-0.7,5100.0,5071.95,28.05,5184.15,5240.25,5380.5,5488.49,13.85,7.386,207.18,63
EVT_750_0003140,BULL_SLOT_1,2023-03-21,09:36:00,HINDUNILVR_754,NIFTY_ENERGY,BULL,3,3.32,0.889,-0.52,2690.0,2675.21,14.79,2734.37,2763.95,2837.9,2882.57,13.02,7.087,104.82,59
EVT_750_0003374,BULL_SLOT_1,2023-03-28,09:57:00,YESBANK_565,NIFTY_AUTO,BULL,3,4.1,0.823,-0.51,22.0,20.5,1.5,26.5,29.5,37.0,42.05,13.37,7.213,10.82,51
EVT_750_0003487,BULL_SLOT_1,2023-03-30,10:09:00,HAL_639,NIFTY_FIN_SERVICE,BULL,5,4.77,0.883,-0.81,4650.0,4624.43,25.57,4726.71,4777.85,4905.7,4760.97,4.34,3.536,90.42,75
