event_id,session_date,symbol,regime,rvol_5m,clv_5m,oi_change_5m,max_mfe,s1_r,s2_r,s3_r,s4_r,s5_r
EVT_SC_000001,2022-01-03,VBL,NEUTRAL,4.83,0.428,-0.57,4.19,3.143,0.0,2.757,0.0,0.0
EVT_SC_000002,2022-01-03,NESTLEIND,NEUTRAL,1.24,0.956,-2.06,0.85,0.0,0.0,0.0,0.0,0.0
EVT_SC_000003,2022-01-03,ICICIBANK,NEUTRAL,1.52,0.603,-1.62,0.79,-0.95,0.0,0.0,0.0,0.0
EVT_SC_000004,2022-01-03,CHOLAFIN,NEUTRAL,5.23,0.755,-2.02,4.59,3.2,3.403,0.0,1.85,0.0
EVT_SC_000005,2022-01-03,TCS,NEUTRAL,3.19,0.498,0.91,4.94,0.0,0.0,2.982,0.0,0.0
EVT_SC_000006,2022-01-03,MARUTI,NEUTRAL,3.77,0.641,-1.97,0.49,0.0,0.0,0.0,0.0,0.0
EVT_SC_000007,2022-01-03,CIPLA,NEUTRAL,4.69,0.695,0.32,0.61,0.0,0.0,0.0,0.0,0.0
EVT_SC_000008,2022-01-03,RELIANCE,NEUTRAL,4.92,0.91,1.13,4.96,0.0,3.581,0.0,1.85,0.0
EVT_SC_000009,2022-01-03,ABB,NEUTRAL,1.93,0.504,-1.69,0.62,-1.04,0.0,0.0,0.0,0.0
EVT_SC_000010,2022-01-03,TRENT,NEUTRAL,1.89,0.497,-0.3,1.62,0.0,0.0,0.0,0.0,0.0
EVT_SC_000011,2022-01-03,COFORGE,NEUTRAL,2.82,0.959,-0.22,1.04,0.0,0.0,0.0,0.0,0.0
EVT_SC_000012,2022-01-03,HAL,NEUTRAL,1.35,0.912,-0.95,0.45,-0.92,0.0,0.0,0.0,0.0
EVT_SC_000013,2022-01-03,DRREDDY,NEUTRAL,3.65,0.537,-0.19,1.38,0.0,0.0,0.0,0.0,0.0
EVT_SC_000014,2022-01-03,HDFCBANK,NEUTRAL,3.31,0.508,0.58,0.89,0.0,0.0,0.0,0.0,0.0
EVT_SC_000015,2022-01-03,VEDL,NEUTRAL,5.02,0.36,-1.56,1.74,0.0,0.0,0.0,0.0,0.0
EVT_SC_000016,2022-01-03,DIXON,NEUTRAL,3.23,0.399,-0.43,3.15,0.0,0.0,0.0,0.0,0.0
EVT_SC_000017,2022-01-03,BHARTIARTL,NEUTRAL,3.01,0.292,0.71,3.11,0.0,0.0,0.0,0.0,0.0
EVT_SC_000018,2022-01-03,M&M,NEUTRAL,3.07,0.366,-0.55,4.64,3.2,0.0,0.0,0.0,0.0
EVT_SC_000019,2022-01-03,BEL,NEUTRAL,2.1,0.662,0.87,3.98,0.0,0.0,0.0,0.0,0.0
EVT_SC_000020,2022-01-03,DLF,NEUTRAL,3.41,0.795,-0.23,4.4,0.0,3.312,0.0,1.85,0.0
EVT_SC_000021,2022-01-03,ADANIPORTS,NEUTRAL,5.29,0.838,-1.36,3.65,2.737,2.952,0.0,0.0,0.0
EVT_SC_000022,2022-01-03,BAJFINANCE,NEUTRAL,1.84,0.789,-1.26,0.91,-0.97,0.0,0.0,0.0,0.0
EVT_SC_000023,2022-01-03,BRITANNIA,NEUTRAL,2.54,0.799,-0.39,1.54,0.0,0.0,0.0,0.0,0.0
EVT_SC_000024,2022-01-03,SBIN,NEUTRAL,3.34,0.772,-0.51,4.99,3.2,3.595,0.0,1.85,0.0
EVT_SC_000025,2022-01-03,JSWSTEEL,NEUTRAL,4.33,0.857,0.9,1.46,0.0,0.0,0.0,0.0,0.0
EVT_SC_000026,2022-01-03,SUNPHARMA,NEUTRAL,5.11,0.972,-2.33,3.47,2.603,2.866,0.0,0.0,0.0
EVT_SC_000027,2022-01-03,NTPC,NEUTRAL,3.76,0.422,-1.3,1.68,-1.04,0.0,0.0,0.0,0.0
EVT_SC_000028,2022-01-04,DIXON,BULL,1.69,0.88,-0.64,1.41,0.423,0.0,0.0,0.0,0.0
EVT_SC_000029,2022-01-04,SBIN,BULL,4.13,0.605,-2.31,2.74,2.055,0.0,0.0,0.0,0.0
EVT_SC_000030,2022-01-04,NTPC,BULL,2.36,0.791,-1.27,0.69,-1.02,0.0,0.0,0.0,0.0
EVT_SC_000031,2022-01-04,TECHM,BULL,2.52,0.934,1.05,0.94,0.0,0.0,0.0,0.0,0.0
EVT_SC_000032,2022-01-04,GODREJPROP,BULL,5.06,0.64,-1.89,3.71,2.782,0.0,0.0,0.0,0.0
EVT_SC_000033,2022-01-04,CIPLA,BULL,1.57,0.445,-0.6,0.65,-1.05,0.0,0.0,0.0,0.0
EVT_SC_000034,2022-01-04,SIEMENS,BULL,2.43,0.953,1.03,2.73,0.0,0.0,0.0,0.0,0.0
EVT_SC_000035,2022-01-04,HAL,BULL,1.97,0.368,-0.91,1.48,0.0,0.0,0.0,0.0,0.0
EVT_SC_000036,2022-01-04,VEDL,BULL,1.75,0.843,0.44,1.14,0.0,0.0,0.0,0.0,0.0
EVT_SC_000037,2022-01-04,RELIANCE,BULL,1.02,0.367,0.52,1.77,0.0,0.0,0.0,0.0,0.0
EVT_SC_000038,2022-01-04,TATASTEEL,BULL,3.23,0.237,0.81,2.81,0.0,0.0,0.0,0.0,0.0
EVT_SC_000039,2022-01-04,HINDALCO,BULL,2.64,0.394,0.37,4.74,0.0,0.0,2.922,0.0,0.0
EVT_SC_000040,2022-01-04,ABB,BULL,3.43,0.71,-1.15,1.3,0.39,0.52,0.0,0.0,0.0
EVT_SC_000041,2022-01-04,TITAN,BULL,5.44,0.478,-0.75,0.78,0.0,0.0,0.0,0.0,0.0
EVT_SC_000042,2022-01-04,PERSISTENT,BULL,4.86,0.8,-2.23,2.64,1.98,1.056,0.0,1.85,0.0
EVT_SC_000043,2022-01-05,INFY,NEUTRAL,4.57,0.622,-0.91,5.1,3.2,0.0,4.134,0.0,0.0
EVT_SC_000044,2022-01-05,BRITANNIA,NEUTRAL,2.61,0.798,-0.61,1.03,-0.96,0.0,0.0,0.0,0.0
EVT_SC_000045,2022-01-05,ADANIENT,NEUTRAL,3.65,0.551,0.93,0.97,0.0,0.0,0.0,0.0,0.0
EVT_SC_000046,2022-01-05,HDFCBANK,NEUTRAL,2.97,0.503,-0.84,2.69,2.018,0.0,0.0,0.0,0.0
EVT_SC_000047,2022-01-05,CIPLA,NEUTRAL,3.59,0.559,0.87,2.6,0.0,0.0,0.0,0.0,0.0
EVT_SC_000048,2022-01-05,TECHM,NEUTRAL,0.83,0.239,0.11,0.92,0.0,0.0,0.0,0.0,0.0
EVT_SC_000049,2022-01-05,ICICIBANK,NEUTRAL,4.06,0.943,-1.59,3.32,2.49,2.794,0.0,1.85,0.0
EVT_SC_000050,2022-01-05,NESTLEIND,NEUTRAL,1.93,0.889,-1.55,1.75,0.0,0.0,0.0,0.0,0.0
EVT_SC_000051,2022-01-05,NTPC,NEUTRAL,2.36,0.676,0.69,2.62,0.0,0.0,0.0,0.0,0.0
