Original_Symbol,Clean_Symbol,Session_Date,Trigger_Time,Outcome,Failing_Gate,Score,Reason
TATAELXSI_597,TATAELXSI,2023-01-02,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BAJFINANCE_737,BAJFINANCE,2023-01-02,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HAL_159,HAL,2023-01-04,10:11:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ONGC_264,ONGC,2023-01-04,09:38:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
JSWENERGY_335,JSWENERGY,2023-01-06,09:34:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
AMBER_592,AMBER,2023-01-09,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TCS_130,TCS,2023-01-16,09:59:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHEL,BHEL,2023-01-19,09:44:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAPOWER_572,TATAPOWER,2023-01-24,09:41:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KAYNES_233,KAYNES,2023-01-25,09:31:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BIOCON_183,BIOCON,2023-01-25,09:22:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
LTTS_238,LTTS,2023-01-26,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHEL_342,BHEL,2023-01-27,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KALPATPOWR_705,KALPATPOWR,2023-01-27,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDUNILVR_634,HINDUNILVR,2023-02-01,10:13:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TORNTPHARM_664,TORNTPHARM,2023-02-01,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SBIN_368,SBIN,2023-02-02,09:45:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZOMATO_170,ZOMATO,2023-02-02,09:59:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KOTAKBANK_324,KOTAKBANK,2023-02-03,10:15:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ANGELONE_329,ANGELONE,2023-02-03,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PFC_550,PFC,2023-02-06,09:47:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SIEMENS_403,SIEMENS,2023-02-09,09:48:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ABB_404,ABB,2023-02-09,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DLF,DLF,2023-02-09,09:29:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SBIN_248,SBIN,2023-02-17,10:14:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HUDCO_433,HUDCO,2023-02-17,09:32:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAMOTORS,TATAMOTORS,2023-02-20,10:12:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CROMPTON,CROMPTON,2023-02-20,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ADANIPOWER_694,ADANIPOWER,2023-02-21,10:01:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KALPATPOWR_225,KALPATPOWR,2023-02-22,09:47:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IEX_330,IEX,2023-02-22,09:54:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
RECLTD,RECLTD,2023-02-23,09:39:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
RECLTD_431,RECLTD,2023-02-23,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ADANIGREEN,ADANIGREEN,2023-02-24,09:59:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BAJFINANCE_617,BAJFINANCE,2023-02-27,10:11:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDUNILVR_754,HINDUNILVR,2023-02-28,09:32:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BRITANNIA_756,BRITANNIA,2023-03-07,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
COFORGE_240,COFORGE,2023-03-08,09:25:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IEX_330,IEX,2023-03-09,09:25:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PIDILITIND_642,PIDILITIND,2023-03-09,09:24:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MAXHEALTH,MAXHEALTH,2023-03-09,09:25:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CYIENT_715,CYIENT,2023-03-13,09:39:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PERSISTENT_168,PERSISTENT,2023-03-13,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDUNILVR_754,HINDUNILVR,2023-03-21,09:36:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
YESBANK_565,YESBANK,2023-03-28,09:57:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HAL_639,HAL,2023-03-30,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHEL_222,BHEL,2023-03-31,10:08:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TECHM_646,TECHM,2023-03-31,09:57:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDALCO,HINDALCO,2023-04-05,09:38:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SIEMENS_403,SIEMENS,2023-04-05,09:45:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
AUBANK_561,AUBANK,2023-04-06,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BSE,BSE,2023-04-11,09:56:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ANGELONE,ANGELONE,2023-04-13,10:10:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
OBEROIRLTY,OBEROIRLTY,2023-04-17,09:24:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KALYANKJIL_173,KALYANKJIL,2023-04-17,09:41:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
